	client_id	path	sentence	up_votes	age	gender	accent	locale	segment
0	common	common_voice_en_19073078.wav						eng	
1	ChristopherNeural	ChristopherNeural_9.wav						eng	
2	common	common_voice_en_22745110.wav						eng	
3	2112819853	2112819853_eng_13.wav						eng	
4	323966352	323966352_eng_17.wav						eng	
5	1254765304	1254765304_eng_22.wav						eng	
6	MollyNeural	MollyNeural_27.wav						eng	
7	nine	nine_f9af0887_nohash_0.wav						eng	
8	2118597066	2118597066_eng_10.wav						eng	
9	common	common_voice_en_21335654.wav						eng	
10	KevinV3Voice	KevinV3Voice_1.wav						eng	
11	joey	joey_us_0.wav						eng	
12	stop	stop_bbd0bbd0_nohash_0.wav						eng	
13	happy	happy_f7879738_nohash_0.wav						eng	
14	1385338327	1385338327_eng_13.wav						eng	
15	common	common_voice_en_19638625.wav						eng	
16	2121819999	2121819999_eng_22.wav						eng	
17	six	six_9886d8bf_nohash_4.wav						eng	
18	common	common_voice_en_19750342.wav						eng	
19	MitchellNeural	MitchellNeural_1.wav						eng	
20	CraigVoice	CraigVoice_24.wav						eng	
21	no	no_5fadb538_nohash_4.wav						eng	
22	LibbyNeural	LibbyNeural_26.wav						eng	
23	common	common_voice_en_19688887.wav						eng	
24	common	common_voice_en_19800578.wav						eng	
25	US	US_Wavenet_I_cmd9.wav						eng	
26	WayneNeural	WayneNeural_22.wav						eng	
27	common	common_voice_en_18544035.wav						eng	
28	joey	joey_us_10.wav						eng	
29	tree	tree_f174517e_nohash_1.wav						eng	
30	48724485	48724485_eng_19.wav						eng	
31	AU	AU_Standard_D_cmd26.wav						eng	
32	two	two_ec5ab5d5_nohash_2.wav						eng	
33	US	US_Wavenet_H_cmd21.wav						eng	
34	CoraNeural	CoraNeural_4.wav						eng	
35	right	right_6fca237d_nohash_1.wav						eng	
36	JacobNeural	JacobNeural_10.wav						eng	
37	RyanNeural	RyanNeural_24.wav						eng	
38	common	common_voice_en_19730176.wav						eng	
39	914604355	914604355_eng_9.wav						eng	
40	common	common_voice_en_23720753.wav						eng	
41	common	common_voice_en_20879332.wav						eng	
42	left	left_57cb3575_nohash_0.wav						eng	
43	nine	nine_7ea032f3_nohash_3.wav						eng	
44	common	common_voice_en_20527957.wav						eng	
45	Justin	Justin_20.wav						eng	
46	engine3	engine3_voice2_cmd1.wav						eng	
47	right	right_69953f48_nohash_0.wav						eng	
48	seven	seven_cb2929ce_nohash_5.wav						eng	
49	one	one_5f814c23_nohash_0.wav						eng	
50	US	US_Wavenet_A_cmd11.wav						eng	
51	common	common_voice_en_22910201.wav						eng	
52	off	off_b7a6f709_nohash_1.wav						eng	
53	two	two_9e46cfa1_nohash_0.wav						eng	
54	cat	cat_d056d4d8_nohash_0.wav						eng	
55	ConnorNeural	ConnorNeural_1.wav						eng	
56	500947574	500947574_eng_2.wav						eng	
57	dog	dog_1c3f4fac_nohash_1.wav						eng	
58	1254765304	1254765304_eng_0.wav						eng	
59	common	common_voice_en_22777123.wav						eng	
60	common	common_voice_en_21335646.wav						eng	
61	common	common_voice_en_21890185.wav						eng	
62	dog	dog_bbd0bbd0_nohash_0.wav						eng	
63	four	four_6889b21f_nohash_0.wav						eng	
64	nine	nine_7f74626f_nohash_1.wav						eng	
65	common	common_voice_en_20260456.wav						eng	
66	common	common_voice_en_20028024.wav						eng	
67	common	common_voice_en_19277289.wav						eng	
68	right	right_99e6cab8_nohash_1.wav						eng	
69	common	common_voice_en_20957416.wav						eng	
70	2025799315	2025799315_eng_21.wav						eng	
71	133699592	133699592_eng_8.wav						eng	
72	three	three_5d0ab165_nohash_0.wav						eng	
73	GB	GB_Standard_A_cmd23.wav						eng	
74	left	left_89ed36ab_nohash_1.wav						eng	
75	seven	seven_0137b3f4_nohash_0.wav						eng	
76	362625280	362625280_eng_13.wav						eng	
77	694887817	694887817_eng_11.wav						eng	
78	right	right_19e246ad_nohash_0.wav						eng	
79	tree	tree_0fa1e7a9_nohash_1.wav						eng	
80	common	common_voice_en_19945677.wav						eng	
81	marvin	marvin_126403d4_nohash_0.wav						eng	
82	common	common_voice_en_21489989.wav						eng	
83	left	left_179a61b7_nohash_0.wav						eng	
84	eight	eight_27c30960_nohash_0.wav						eng	
85	two	two_173e6bbf_nohash_0.wav						eng	
86	common	common_voice_en_19695632.wav						eng	
87	US	US_Standard_C_cmd15.wav						eng	
88	Russell	Russell_20.wav						eng	
89	common	common_voice_en_18754311.wav						eng	
90	AU	AU_Wavenet_A_cmd12.wav						eng	
91	AnaNeural	AnaNeural_10.wav						eng	
92	no	no_096456f9_nohash_1.wav						eng	
93	common	common_voice_en_19106459.wav						eng	
94	common	common_voice_en_20560597.wav						eng	
95	common	common_voice_en_20688601.wav						eng	
96	Aditi	Aditi_27.wav						eng	
97	engine2	engine2_voice1_cmd19.wav						eng	
98	tree	tree_44c201dd_nohash_0.wav						eng	
99	500947574	500947574_eng_12.wav						eng	
100	common	common_voice_en_21327850.wav						eng	
101	common	common_voice_en_19770153.wav						eng	
102	466977274	466977274_eng_19.wav						eng	
103	engine2	engine2_voice5_cmd19.wav						eng	
104	common	common_voice_en_18638084.wav						eng	
105	AmberNeural	AmberNeural_11.wav						eng	
106	769426504	769426504_eng_10.wav						eng	
107	four	four_0bde966a_nohash_0.wav						eng	
108	common	common_voice_en_18579879.wav						eng	
109	left	left_bca56796_nohash_0.wav						eng	
110	366052369	366052369_eng_17.wav						eng	
111	IN	IN_Standard_B_cmd2.wav						eng	
112	common	common_voice_en_19817.wav						eng	
113	right	right_24ed94ab_nohash_0.wav						eng	
114	common	common_voice_en_19732304.wav						eng	
115	common	common_voice_en_20912990.wav						eng	
116	common	common_voice_en_19638197.wav						eng	
117	five	five_763188c4_nohash_1.wav						eng	
118	AU	AU_Wavenet_C_cmd17.wav						eng	
119	tree	tree_1e412fac_nohash_0.wav						eng	
120	engine2	engine2_voice11_cmd22.wav						eng	
121	BrandonNeural	BrandonNeural_3.wav						eng	
122	US	US_Standard_H_cmd8.wav						eng	
123	four	four_d7a58714_nohash_0.wav						eng	
124	2066516850	2066516850_eng_23.wav						eng	
125	down	down_f5c3de1b_nohash_1.wav						eng	
126	US	US_Standard_J_cmd15.wav						eng	
127	tracy	tracy_us_19.wav						eng	
128	2115610208	2115610208_eng_22.wav						eng	
129	engine7	engine7_voice5_cmd10.wav						eng	
130	nine	nine_3983ba0d_nohash_0.wav						eng	
131	JamesV3Voice	JamesV3Voice_5.wav						eng	
132	common	common_voice_en_19975389.wav						eng	
133	common	common_voice_en_23611707.wav						eng	
134	common	common_voice_en_19348280.wav						eng	
135	tacotron2	tacotron2_uniglow_cmd20.wav						eng	
136	common	common_voice_en_23312515.wav						eng	
137	common	common_voice_en_20182109.wav						eng	
138	karen	karen_us_24.wav						eng	
139	go	go_d6b155a5_nohash_1.wav						eng	
140	yes	yes_c392e01d_nohash_1.wav						eng	
141	Kendra	Kendra_20.wav						eng	
142	stop	stop_5c39594f_nohash_2.wav						eng	
143	marvin	marvin_c86d4fd4_nohash_0.wav						eng	
144	common	common_voice_en_19802540.wav						eng	
145	common	common_voice_en_20282752.wav						eng	
