	client_id	path	sentence	up_votes	age	gender	accent	locale	segment
0	right	right_857366dd_nohash_1.wav						eng	
1	five	five_0b77ee66_nohash_0.wav						eng	
2	dog	dog_5588c7e6_nohash_0.wav						eng	
3	happy	happy_87728a88_nohash_2.wav						eng	
4	one	one_82b99576_nohash_1.wav						eng	
5	up	up_c6ca5d01_nohash_0.wav						eng	
6	common	common_voice_en_18549997.wav						eng	
7	four	four_5677ec77_nohash_1.wav						eng	
8	left	left_4c4d2526_nohash_1.wav						eng	
9	marvin	marvin_840eab5a_nohash_0.wav						eng	
10	seven	seven_19b05529_nohash_1.wav						eng	
11	happy	happy_333784b7_nohash_0.wav						eng	
12	house	house_9cde5de8_nohash_0.wav						eng	
13	four	four_c0445658_nohash_3.wav						eng	
14	stop	stop_333784b7_nohash_3.wav						eng	
15	cat	cat_8bbd98d0_nohash_0.wav						eng	
16	common	common_voice_en_20925709.wav						eng	
17	two	two_8c7c9168_nohash_0.wav						eng	
18	on	on_1df99a8a_nohash_1.wav						eng	
19	yes	yes_57376a4c_nohash_0.wav						eng	
20	marvin	marvin_1746d7b6_nohash_0.wav						eng	
21	three	three_76e53db9_nohash_2.wav						eng	
22	marvin	marvin_abbfc3b4_nohash_0.wav						eng	
23	nine	nine_2151b09a_nohash_4.wav						eng	
24	right	right_129c7d8d_nohash_0.wav						eng	
25	eight	eight_529eda42_nohash_0.wav						eng	
26	three	three_24b82192_nohash_0.wav						eng	
27	bed	bed_65f2531f_nohash_0.wav						eng	
28	left	left_21832144_nohash_1.wav						eng	
29	cat	cat_8c7c9168_nohash_1.wav						eng	
30	sheila	sheila_b6ebe225_nohash_0.wav						eng	
31	right	right_26b28ea7_nohash_1.wav						eng	
32	one	one_61e50f62_nohash_0.wav						eng	
33	yes	yes_6846af18_nohash_1.wav						eng	
34	right	right_c634a189_nohash_0.wav						eng	
35	right	right_fac74f6a_nohash_2.wav						eng	
36	six	six_dabd70c2_nohash_0.wav						eng	
37	six	six_2c6d3924_nohash_0.wav						eng	
38	common	common_voice_en_21678377.wav						eng	
39	no	no_e8d562ca_nohash_1.wav						eng	
40	marvin	marvin_c5c60d8d_nohash_1.wav						eng	
41	common	common_voice_en_19788101.wav						eng	
42	up	up_cb8f8307_nohash_3.wav						eng	
43	one	one_4290ca61_nohash_1.wav						eng	
44	go	go_28ef2a01_nohash_1.wav						eng	
45	no	no_f632210f_nohash_0.wav						eng	
46	four	four_e9b61425_nohash_0.wav						eng	
47	cat	cat_e3b64217_nohash_1.wav						eng	
48	go	go_ffd2ba2f_nohash_2.wav						eng	
49	bed	bed_31583d30_nohash_2.wav						eng	
50	nine	nine_b9db6e42_nohash_1.wav						eng	
51	no	no_96c67073_nohash_2.wav						eng	
52	go	go_c93d5e22_nohash_4.wav						eng	
53	cat	cat_69f609ec_nohash_0.wav						eng	
54	bed	bed_a24cf51c_nohash_1.wav						eng	
55	down	down_67fcdb05_nohash_0.wav						eng	
56	six	six_21832144_nohash_1.wav						eng	
57	cat	cat_b0bad4a9_nohash_0.wav						eng	
58	bird	bird_708b8d51_nohash_0.wav						eng	
59	left	left_0b09edd3_nohash_0.wav						eng	
60	on	on_743edf9d_nohash_1.wav						eng	
61	stop	stop_a1cff772_nohash_1.wav						eng	
62	no	no_90b94017_nohash_1.wav						eng	
63	eight	eight_76b58705_nohash_0.wav						eng	
64	eight	eight_e102119e_nohash_0.wav						eng	
65	on	on_38d78313_nohash_2.wav						eng	
66	common	common_voice_en_20260487.wav						eng	
67	common	common_voice_en_20300575.wav						eng	
68	no	no_229978fd_nohash_4.wav						eng	
69	yes	yes_3c257192_nohash_4.wav						eng	
70	common	common_voice_en_20335761.wav						eng	
71	down	down_ce9410da_nohash_0.wav						eng	
72	left	left_d7c60815_nohash_0.wav						eng	
73	five	five_f297e878_nohash_0.wav						eng	
74	happy	happy_a8e25ebb_nohash_0.wav						eng	
75	house	house_f2dd248e_nohash_0.wav						eng	
76	stop	stop_c120e80e_nohash_3.wav						eng	
77	happy	happy_9d8ac38b_nohash_0.wav						eng	
78	wow	wow_3a7d8872_nohash_1.wav						eng	
79	go	go_7be9f58a_nohash_0.wav						eng	
80	dog	dog_5188de0d_nohash_0.wav						eng	
81	common	common_voice_en_22979033.wav						eng	
82	go	go_1e9b215e_nohash_1.wav						eng	
83	happy	happy_3ff840aa_nohash_0.wav						eng	
84	house	house_c4f875a9_nohash_1.wav						eng	
85	common	common_voice_en_19990230.wav						eng	
86	marvin	marvin_6f3458b3_nohash_1.wav						eng	
87	left	left_211ccd2e_nohash_0.wav						eng	
88	dog	dog_cf87b736_nohash_0.wav						eng	
89	happy	happy_964e8cfd_nohash_0.wav						eng	
90	four	four_7eee5973_nohash_0.wav						eng	
91	dog	dog_538e1856_nohash_0.wav						eng	
92	marvin	marvin_01d22d03_nohash_0.wav						eng	
93	common	common_voice_en_22979617.wav						eng	
94	down	down_234ab0fb_nohash_1.wav						eng	
95	wow	wow_a7dd45cf_nohash_0.wav						eng	
96	common	common_voice_en_20252980.wav						eng	
97	five	five_46a153d8_nohash_2.wav						eng	
98	nine	nine_7c75a504_nohash_0.wav						eng	
99	left	left_24694eb6_nohash_1.wav						eng	
100	right	right_ffd2ba2f_nohash_1.wav						eng	
