	client_id	path	sentence	up_votes	age	gender	accent	locale	segment
0	sheila	sheila_4fd4d073_nohash_2.wav						ita	
1	nine	nine_2151b09a_nohash_4.wav						ita	
2	common	common_voice_it_20314492.wav						ita	
3	three	three_b4aa9fef_nohash_3.wav						ita	
4	yes	yes_66cbe2b3_nohash_0.wav						ita	
5	dog	dog_b36c27c2_nohash_1.wav						ita	
6	zero	zero_4b25f620_nohash_1.wav						ita	
7	five	five_10467b06_nohash_1.wav						ita	
8	common	common_voice_it_19878171.wav						ita	
9	marvin	marvin_840eab5a_nohash_1.wav						ita	
10	six	six_541e4079_nohash_0.wav						ita	
11	go	go_7f74626f_nohash_2.wav						ita	
12	happy	happy_4bb1244f_nohash_0.wav						ita	
13	on	on_afe0b87d_nohash_1.wav						ita	
14	two	two_0487ba9b_nohash_0.wav						ita	
15	dog	dog_d8c314c0_nohash_1.wav						ita	
16	six	six_bfbd0e6b_nohash_0.wav						ita	
17	down	down_9f63152b_nohash_0.wav						ita	
18	common	common_voice_it_23987780.wav						ita	
19	house	house_784e281a_nohash_3.wav						ita	
20	left	left_e7ea8b76_nohash_4.wav						ita	
21	sheila	sheila_2039b9c1_nohash_1.wav						ita	
22	four	four_4b25f620_nohash_2.wav						ita	
23	down	down_5d9bb361_nohash_0.wav						ita	
24	left	left_32a19ecf_nohash_0.wav						ita	
25	eight	eight_837f7378_nohash_0.wav						ita	
26	stop	stop_ffd2ba2f_nohash_2.wav						ita	
27	common	common_voice_it_19250671.wav						ita	
28	marvin	marvin_0a9f9af7_nohash_2.wav						ita	
29	bird	bird_51055bda_nohash_0.wav						ita	
30	right	right_ab81c9c8_nohash_0.wav						ita	
31	seven	seven_0137b3f4_nohash_1.wav						ita	
32	common	common_voice_it_19997372.wav						ita	
33	on	on_834f03fe_nohash_0.wav						ita	
34	down	down_a24cf51c_nohash_1.wav						ita	
35	go	go_dce05676_nohash_0.wav						ita	
36	common	common_voice_it_20244877.wav						ita	
37	go	go_6d2d3b0d_nohash_1.wav						ita	
38	down	down_439c84f4_nohash_3.wav						ita	
39	one	one_3c6d55b3_nohash_0.wav						ita	
40	right	right_953fe1ad_nohash_0.wav						ita	
41	go	go_97f493b9_nohash_0.wav						ita	
42	house	house_57376a4c_nohash_0.wav						ita	
43	tree	tree_b8c48ffb_nohash_1.wav						ita	
44	off	off_b665723d_nohash_0.wav						ita	
45	bed	bed_11b1df78_nohash_1.wav						ita	
