,eng
Increase the illumination,35
Decrease the illumination,35
Increase the height,35
Decrease the height,35
Increase the inclination,35
Decrease the inclination,35
Bring me the gun screwdriver,35
Take the gun screwdriver,35
Bring me the elbow screwdriver,35
Take the elbow screwdriver,35
Bring me the hammer,35
Take the hammer,35
Bring me the screwdriver,35
Take the screwdriver,35
Bring me the lever,35
Take the lever,35
Bring me the windows control panel,35
Take the windows control panel,35
Bring me the rearview mirror,35
Take the rearview mirror,35
Release,35
Come here,35
Go,35
Start,35
Stop,35
Move to the right,35
Move to the left,35
Move up,35
Move down,35
Move forward,35
Move backward,35
