,speaker_id,service,path,cmd_index
772,76927ee16e5c423138bcc9447bcd2813b15eee6f95feb27a14de3d351174b4fe4f839f3a77f728ec9bb6345904f7d48e2e980b5f6dce094af06bd1b29e66e052,,/mnt/sdb1/sbini/Speec-Command_Interaction/Model_Augmentation/dataset/FELICE_demo7/reject_plus_common_voice/out/train_id_0/common_voice_en_18522133.wav,7
191,2114178392,real,/mnt/sdb1/sbini/Speec-Command_Interaction/Model_Augmentation/dataset/FELICE_demo7/commands/2114178392/eng/eng_1.wav,1
463,YanNeural,azure,/mnt/sdb1/sbini/Speec-Command_Interaction/Model_Augmentation/dataset/FELICE_demo7/synthetics/azure/neural/eng/YanNeural_4.wav,4
256,2146007936,real,/mnt/sdb1/sbini/Speec-Command_Interaction/Model_Augmentation/dataset/FELICE_demo7/commands/2146007936/eng/eng_1.wav,1
275,208525704,real,/mnt/sdb1/sbini/Speec-Command_Interaction/Model_Augmentation/dataset/FELICE_demo7/commands/208525704/eng/eng_6.wav,6
1122,e5b3981416892931e3807b5b7b1b30dc1cb3ae1b6a0b8a33609e9f98538e1588ec5f82b749da29f9c5a75e4afc5a0330ef16714997a967496785c805d5011ebf,,/mnt/sdb1/sbini/Speec-Command_Interaction/Model_Augmentation/dataset/FELICE_demo7/reject_plus_common_voice/out/train_id_0/common_voice_en_20215441.wav,7
1018,22e4c7f2762cc52f541f864856c84d17950603860b4b808fa5c6c33f12421f2690d5ddd5228e91e5e8f274de5716db6ce75111e7f5555000f7c79aeee98b640d,,/mnt/sdb1/sbini/Speec-Command_Interaction/Model_Augmentation/dataset/FELICE_demo7/reject_plus_common_voice/out/train_id_0/common_voice_en_18983700.wav,7
836,0854599190eb829fb61f699c99bc1e02124488948cdcbb3923c7fc3135898deb648cd6918dac937a42ca3b992e3dd9ab182961d1cb5c56a8df6812387ba2f012,,/mnt/sdb1/sbini/Speec-Command_Interaction/Model_Augmentation/dataset/FELICE_demo7/reject_plus_common_voice/out/train_id_0/common_voice_en_21666319.wav,7
101,322249374,real,/mnt/sdb1/sbini/Speec-Command_Interaction/Model_Augmentation/dataset/FELICE_demo7/commands/322249374/eng/eng_0.wav,0
1311,0d6f2d42a40b792425ee55ddee38901dad765c8e4698183fe99f71cec59507cbf05cbb5eadf1443f1fcec99d2f883432e631b41c330325bec6d5ce6ee8587bdd,,/mnt/sdb1/sbini/Speec-Command_Interaction/Model_Augmentation/dataset/FELICE_demo7/reject_plus_common_voice/out/train_id_0/common_voice_en_20276747.wav,7
238,247786014,real,/mnt/sdb1/sbini/Speec-Command_Interaction/Model_Augmentation/dataset/FELICE_demo7/commands/247786014/eng/eng_6.wav,6
812,6231c5bbdedc9a7cc0075af65e9d8b3728bffb91bcd51987923abc6f8e33caa8368197a47c0476b49ae65b9e3d1fe41ceffe32327b0f1116274de0c53376ad4c,,/mnt/sdb1/sbini/Speec-Command_Interaction/Model_Augmentation/dataset/FELICE_demo7/reject_plus_common_voice/out/train_id_0/common_voice_en_22680910.wav,7
308,fastpitchsqueezewave,nemo,/mnt/sdb1/sbini/Speec-Command_Interaction/Model_Augmentation/dataset/FELICE_demo7/synthetics/nemo/na/eng/fastpitch_squeezewave_cmd1.wav,1
771,96a4cf4bebbf766ca53e38302bafe06c1828379ce742398408e9aa2e29b8e2592322841b2f152384038d146a1915282226589d97e05eb1a70d229e43cddfe9c9,,/mnt/sdb1/sbini/Speec-Command_Interaction/Model_Augmentation/dataset/FELICE_demo7/reject_plus_common_voice/out/train_id_0/common_voice_en_22914957.wav,7
1047,0eac8159345e3aaf434d557fe81893e743ca4a1b97365652c0620c72926e15a28ad16d87e92989a87ef3ddfd37cabe75f04115afae30aebb1b08a7d73aef8136,,/mnt/sdb1/sbini/Speec-Command_Interaction/Model_Augmentation/dataset/FELICE_demo7/reject_plus_common_voice/out/train_id_0/common_voice_en_19607665.wav,7
704,9f09ca390b06054e3d4ff4a0197b57a6fe21cb0f140626e4b4da06b4624b77eae1d10079b2d234db7bb6a873ff9501ea7fe882d47b07f92574a7b0ac079b81ce,,/mnt/sdb1/sbini/Speec-Command_Interaction/Model_Augmentation/dataset/FELICE_demo7/reject_plus_common_voice/out/train_id_0/common_voice_en_18489624.wav,7
29,697081431,real,/mnt/sdb1/sbini/Speec-Command_Interaction/Model_Augmentation/dataset/FELICE_demo7/commands/697081431/eng/eng_3.wav,3
450,MitchellNeural,azure,/mnt/sdb1/sbini/Speec-Command_Interaction/Model_Augmentation/dataset/FELICE_demo7/synthetics/azure/neural/eng/MitchellNeural_3.wav,3
41,1889914753,real,/mnt/sdb1/sbini/Speec-Command_Interaction/Model_Augmentation/dataset/FELICE_demo7/commands/1889914753/eng/eng_1.wav,1
