,path,fname,noise_type
0,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/328753.wav,328753.wav,drill
1,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/274855.wav,274855.wav,drill
2,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/211615.wav,211615.wav,drill
3,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/258044.wav,258044.wav,drill
4,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/139000.wav,139000.wav,drill
5,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/180129.wav,180129.wav,drill
6,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/340241.wav,340241.wav,drill
7,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/199929.wav,199929.wav,drill
8,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/386248.wav,386248.wav,drill
9,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/327048.wav,327048.wav,drill
10,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/387700.wav,387700.wav,drill
11,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/42937.wav,42937.wav,drill
12,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/262002.wav,262002.wav,drill
13,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/322475.wav,322475.wav,drill
14,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/46668.wav,46668.wav,drill
15,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/187863.wav,187863.wav,drill
16,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/333080.wav,333080.wav,drill
17,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/254319.wav,254319.wav,drill
18,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/254325.wav,254325.wav,drill
19,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/84971.wav,84971.wav,drill
20,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/250063.wav,250063.wav,drill
21,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/386266.wav,386266.wav,drill
22,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/382954.wav,382954.wav,drill
23,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/104817.wav,104817.wav,drill
24,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/147019.wav,147019.wav,drill
25,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/328764.wav,328764.wav,drill
26,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/254297.wav,254297.wav,drill
27,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/50413.wav,50413.wav,drill
28,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/157737.wav,157737.wav,drill
29,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/77774.wav,77774.wav,drill
30,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/22962.wav,22962.wav,drill
31,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/382950.wav,382950.wav,drill
32,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/236321.wav,236321.wav,drill
33,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/212845.wav,212845.wav,drill
34,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/89099.wav,89099.wav,drill
35,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/96159.wav,96159.wav,drill
36,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/212397.wav,212397.wav,drill
37,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/386250.wav,386250.wav,drill
38,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/39533.wav,39533.wav,drill
39,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/212396.wav,212396.wav,drill
40,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/50414.wav,50414.wav,drill
41,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/137815.wav,137815.wav,drill
42,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/254324.wav,254324.wav,drill
