,speaker_id,service,path,cmd_index
7662,b7bfda7fb59d57ac0939f4129901dc6ecf2f2312f58a06f950806e6e77f3853276f8143efa833165ed2f77ef70a0dc07f3f458c8f5dbfa94c105b3775cb6eafa,,/user/gdesimone/tesi_-magistrale/dataset/common_voices/out/train_id_7nw250e10/common_voice_en_19826036.wav,28
10691,1e7d40f12b553c47d55e16216543f1b5d0ade1059ddadb1e4b1b482dffe3536333847e8e03afec16a7a3f60740a9ab31f4f90b0590526fa0ce790621a65729c6,,/user/gdesimone/tesi_-magistrale/dataset/common_voices/out/train_id_7nw250e10/common_voice_en_22934100.wav,28
13375,1aac21bdda6938f85613ebd57ed9b41aaa1a6026485cebcfc5538e80b7a4e5b066322f3cbd013ebf4ce6679d0787d1c323274613493ed1abfb6125816ec34479,,/user/gdesimone/tesi_-magistrale/dataset/common_voices/out/train_id_7nw250e10/common_voice_en_19348283.wav,28
1206,282273095,real,/user/gdesimone/tesi_-magistrale/dataset/Dataset_real_conv/282273095/eng/eng_6.wav,6
12552,6681461a94501299d0797083679fef2311c6a0cbe33b51c1ea576de6d79f48f2a35e86bd3a3db0ef563ea53d41bc81c0f7ad74a1c8242763df3861d9be5e99e2,,/user/gdesimone/tesi_-magistrale/dataset/common_voices/out/train_id_7nw250e10/common_voice_en_23380849.wav,28
92,500947574,real,/user/gdesimone/tesi_-magistrale/dataset/Dataset_real_conv/500947574/eng/eng_3.wav,3
6784,050904ca9862043f601e3ac2e1de8a14fb01f97d440f70bda72534d70c6881b321ec37cad3f51e1b483cb8442c627a34876431313f5b82f7042bc967eb40c819,,/user/gdesimone/tesi_-magistrale/dataset/common_voices/out/train_id_7nw250e10/common_voice_en_20028397.wav,28
4867,Matthew,polly,/user/gdesimone/tesi_-magistrale/dataset/Dataset_synth_conv/polly/neural/eng/Matthew_2.wav,2
4569,Salli,polly,/user/gdesimone/tesi_-magistrale/dataset/Dataset_synth_conv/polly/standard/eng/Salli_20.wav,20
10845,14b7cc1f09f19ccf185cf82f84de60c635683a94d30cfbeed92f30497f82622b30e2750d99273737e766ba8d3b1b9ccf1773bf079932e904c5969ce6f99afb73,,/user/gdesimone/tesi_-magistrale/dataset/common_voices/out/train_id_7nw250e10/common_voice_en_19583913.wav,28
