,speaker_id,service,path,cmd_index
3410,engine2voice7,vocalware,/user/gdesimone/tesi_-magistrale/dataset/Dataset_synth_conv/vocalware/na/ita/engine2_voice7_cmd22.wav,22
2277,957543608,real,/user/gdesimone/tesi_-magistrale/dataset/Dataset_real_conv/957543608/ita/ita_9.wav,9
4640,30e0cab896ee7530ebf1bc115a50cb21cdb609551268b0e9aa7875fdde5f4802c34b95e3d186c767793eba082b3c0fc704901743dab40687ff55fc07ff79a69e,,/user/gdesimone/tesi_-magistrale/dataset/common_voices/out/train_id_7nw250i_nope/common_voice_it_20032331.wav,28
3456,engine3voice1,vocalware,/user/gdesimone/tesi_-magistrale/dataset/Dataset_synth_conv/vocalware/na/ita/engine3_voice1_cmd0.wav,0
2926,2115610208,real,/user/gdesimone/tesi_-magistrale/dataset/Dataset_real_conv/2115610208/ita/ita_5.wav,5
446,1525639750,real,/user/gdesimone/tesi_-magistrale/dataset/Dataset_real_conv/1525639750/ita/ita_13.wav,13
2839,2144090201,real,/user/gdesimone/tesi_-magistrale/dataset/Dataset_real_conv/2144090201/ita/ita_2.wav,2
4507,f8468299d0d9259c7a1c272062495abb6155fa3cf868575e75a7b4b3270afce29d5f8c4f89980ec3bb46e08ff0afb7bb6b1ea0c55a14bd07cf50d5cee29d6bba,,/user/gdesimone/tesi_-magistrale/dataset/common_voices/out/train_id_7nw250i_nope/common_voice_it_19976971.wav,28
3266,engine2voice4,vocalware,/user/gdesimone/tesi_-magistrale/dataset/Dataset_synth_conv/vocalware/na/ita/engine2_voice4_cmd14.wav,14
59,556469931,real,/user/gdesimone/tesi_-magistrale/dataset/Dataset_real_conv/556469931/ita/ita_2.wav,2
5668,366d53df157b6da495a235d5e31656d64049a5d0db956a15a21047f8aba4f80e01158c96841cb416464d768b69afc376d32ac326992f8973320339353052f313,,/user/gdesimone/tesi_-magistrale/dataset/common_voices/out/train_id_7nw250i_nope/common_voice_it_25469382.wav,28
