path,type,subtype,speaker,command,noise_path,noise_type,noise_subtype,snr
synthetics/azure/neural/eng/LibbyNeural_10.wav,reject,azure_neural,LibbyNeural,4,,,,
commands/8523766b/eng/eng_24_0.wav,reject,google,8523766b,4,,,,
rejects/eng/happy_d2f4f431_nohash_0.wav,reject,google,d2f4f431,4,,,,
rejects/eng/one_a8cf01bc_nohash_0.wav,reject,google,a8cf01bc,4,,,,
commands/96ab6565/eng/eng_24_3.wav,reject,google,96ab6565,4,,,,
commands/b80d6c5e/eng/eng_24_0.wav,reject,google,b80d6c5e,4,,,,
rejects/eng/common_voice_en_19746559.wav,reject,mozilla,unknown,4,,,,
rejects/eng/two_f34e6f44_nohash_0.wav,reject,google,f34e6f44,4,,,,
rejects/eng/bird_aa233654_nohash_0.wav,reject,google,aa233654,4,,,,
synthetics/azure/neural/eng/JacobNeural_8.wav,reject,azure_neural,JacobNeural,4,,,,
rejects/eng/two_f3210686_nohash_0.wav,reject,google,f3210686,4,,,,
commands/a1cff772/eng/eng_22_4.wav,reject,google,a1cff772,4,,,,
rejects/eng/four_caedb73a_nohash_0.wav,reject,google,caedb73a,4,,,,
rejects/eng/on_569455ff_nohash_0.wav,reject,google,569455ff,4,,,,
synthetics/polly/standard/eng/Kimberly_25.wav,reject,polly_standard,Kimberly,4,,,,
commands/1153299253/eng/eng_14.wav,reject,telegram_bot,1153299253,4,,,,
rejects/eng/common_voice_en_19731811.wav,reject,mozilla,unknown,4,,,,
noises/crf_melfi/production_line/production_line_942_000.wav,reject,production_line,unknown,4,,,,
rejects/eng/common_voice_en_18483956.wav,reject,mozilla,unknown,4,,,,
synthetics/google/neural/eng/US_Standard_C_cmd25.wav,reject,google_neural,google_male,4,,,,
commands/2125472936/eng/eng_24.wav,reject,telegram_bot,2125472936,4,,,,
rejects/eng/one_f35eedd7_nohash_1.wav,reject,google,f35eedd7,4,,,,
rejects/eng/zero_cd7f8c1b_nohash_0.wav,reject,google,cd7f8c1b,4,,,,
commands/630722423/eng/eng_28.wav,reject,telegram_bot,630722423,4,,,,
rejects/eng/five_37d38e44_nohash_1.wav,reject,google,37d38e44,4,,,,
commands/1609876882/eng/eng_22.wav,reject,telegram_bot,1609876882,4,,,,
synthetics/azure/neural/eng/AmberNeural_12.wav,reject,azure_neural,AmberNeural,4,,,,
rejects/eng/four_1d1fe0a0_nohash_0.wav,reject,google,1d1fe0a0,4,,,,
rejects/eng/common_voice_en_19990156.wav,reject,mozilla,unknown,4,,,,
rejects/eng/common_voice_en_18654361.wav,reject,mozilla,unknown,4,,,,
commands/64220627/eng/eng_24_0.wav,reject,google,64220627,4,,,,
synthetics/polly/neural/eng/Amy_20.wav,reject,polly_neural,Amy,4,,,,
commands/580130061/eng/eng_3.wav,command,telegram_bot,580130061,1,,,,
samples/crf_09/clean/eng/eng_29.wav,reject,clean,crf_09,4,,,,
commands/7f74626f/eng/eng_22_0.wav,reject,google,7f74626f,4,,,,
commands/779117346/eng/eng_30.wav,reject,telegram_bot,779117346,4,,,,
commands/b06c19b0/eng/eng_24_0.wav,reject,google,b06c19b0,4,,,,
rejects/eng/common_voice_en_18640738.wav,reject,mozilla,unknown,4,,,,
rejects/eng/common_voice_en_18417931.wav,reject,mozilla,unknown,4,,,,
commands/573888762/eng/eng_3.wav,command,telegram_bot,573888762,1,,,,
rejects/eng/common_voice_en_18161269.wav,reject,mozilla,unknown,4,,,,
commands/1780966140/eng/eng_30.wav,reject,telegram_bot,1780966140,4,,,,
commands/767610558/eng/eng_14.wav,reject,telegram_bot,767610558,4,,,,
rejects/eng/common_voice_en_19721803.wav,reject,mozilla,unknown,4,,,,
rejects/eng/on_17f0e206_nohash_0.wav,reject,google,17f0e206,4,,,,
rejects/eng/yes_ceaadb24_nohash_0.wav,reject,google,ceaadb24,4,,,,
noises/drill/95562_001.wav,reject,unknown,unknown,4,,,,
rejects/eng/four_cd8b1781_nohash_2.wav,reject,google,cd8b1781,4,,,,
rejects/eng/sheila_b959cd0c_nohash_0.wav,reject,google,b959cd0c,4,,,,
rejects/eng/zero_f8f60f59_nohash_1.wav,reject,google,f8f60f59,4,,,,
noises/crf_melfi/production_line/production_line_027_000.wav,reject,production_line,unknown,4,,,,
rejects/eng/marvin_f88f97a7_nohash_1.wav,reject,google,f88f97a7,4,,,,
rejects/eng/common_voice_en_19511532.wav,reject,mozilla,unknown,4,,,,
synthetics/azure/neural/eng/CoraNeural_22.wav,reject,azure_neural,CoraNeural,4,,,,
rejects/eng/common_voice_en_22727303.wav,reject,mozilla,unknown,4,,,,
rejects/eng/bird_e5dadd24_nohash_0.wav,reject,google,e5dadd24,4,,,,
rejects/eng/seven_6a27a9bf_nohash_0.wav,reject,google,6a27a9bf,4,,,,
