path,type,subtype,speaker,command
rejects/eng/common_voice_en_20088894.wav,reject,mozilla,unknown,10
rejects/eng/bed_b6ebe225_nohash_1.wav,reject,google,b6ebe225,10
synthetics/polly/standard/eng/Aditi_3.wav,reject,polly_standard,Aditi,10
commands/6f7724f5/eng/eng_22_0.wav,command,google,6f7724f5,8
synthetics/azure/neural/eng/NatashaNeural_18.wav,reject,azure_neural,NatashaNeural,10
commands/229978fd/eng/eng_24_2.wav,command,google,229978fd,9
rejects/eng/eight_64220627_nohash_3.wav,reject,google,64220627,10
synthetics/azure/neural/eng/AmberNeural_30.wav,reject,azure_neural,AmberNeural,10
commands/977a3be4/eng/eng_24_0.wav,command,google,977a3be4,9
rejects/eng/six_0b09edd3_nohash_2.wav,reject,google,0b09edd3,10
commands/c6ee87a7/eng/eng_22_2.wav,command,google,c6ee87a7,8
rejects/eng/bed_102192fd_nohash_0.wav,reject,google,102192fd,10
rejects/eng/common_voice_en_20302953.wav,reject,mozilla,unknown,10
rejects/eng/two_726382d6_nohash_1.wav,reject,google,726382d6,10
rejects/eng/wow_dbaf8fc6_nohash_1.wav,reject,google,dbaf8fc6,10
rejects/eng/on_de650823_nohash_0.wav,reject,google,de650823,10
synthetics/google/standard/eng/IN_Wavenet_C_cmd11.wav,reject,google_standard,google_male,10
synthetics/polly/neural/eng/Kendra_25.wav,reject,polly_neural,Kendra,10
synthetics/google/neural/eng/GB_Standard_D_cmd10.wav,reject,google_neural,google_male,10
rejects/eng/common_voice_en_20039702.wav,reject,mozilla,unknown,10
samples/crf_06/noisy/eng/eng_4.wav,reject,noisy,crf_06,10
rejects/eng/cat_726382d6_nohash_1.wav,reject,google,726382d6,10
synthetics/vocalware/neural/eng/engine7_voice4_cmd13.wav,reject,vocalware_neural,engine7_voice4,10
commands/9ff2d2f4/eng/eng_22_1.wav,command,google,9ff2d2f4,8
commands/d7467392/eng/eng_24_0.wav,command,google,d7467392,9
synthetics/naturalreaders/neural/eng/charles_en_8.wav,synthetic,naturalreaders_neural,charles,4
rejects/eng/common_voice_en_22735751.wav,reject,mozilla,unknown,10
rejects/eng/bed_2313e093_nohash_0.wav,reject,google,2313e093,10
rejects/eng/four_df280250_nohash_1.wav,reject,google,df280250,10
rejects/eng/common_voice_en_19608552.wav,reject,mozilla,unknown,10
commands/12529547/eng/eng_24_0.wav,command,google,12529547,9
noises/drill/42937_001.wav,reject,unknown,unknown,10
rejects/eng/dog_cd68e997_nohash_1.wav,reject,google,cd68e997,10
commands/9886d8bf/eng/eng_24_0.wav,command,google,9886d8bf,9
synthetics/azure/neural/eng/ClaraNeural_24.wav,synthetic,azure_neural,ClaraNeural,9
rejects/eng/bed_f5c3de1b_nohash_0.wav,reject,google,f5c3de1b,10
rejects/eng/sheila_a97017df_nohash_0.wav,reject,google,a97017df,10
rejects/eng/common_voice_en_19018424.wav,reject,mozilla,unknown,10
commands/8e05039f/eng/eng_24_0.wav,command,google,8e05039f,9
samples/crf_09/noisy/eng/eng_4.wav,reject,noisy,crf_09,10
rejects/eng/common_voice_en_18337300.wav,reject,mozilla,unknown,10
rejects/eng/common_voice_en_19753714.wav,reject,mozilla,unknown,10
samples/crf_08/clean/eng/eng_1.wav,reject,clean,crf_08,10
samples/fr_1/noisy/eng/eng_7.wav,command,noisy,fr_1,3
noises/colpi_ripetuti/pile-driver-pound-hard-slow-to-fast_zJ6wSuVu_NWM_006.wav,reject,unknown,unknown,10
rejects/eng/common_voice_en_21776891.wav,reject,mozilla,unknown,10
commands/7bf801d1/eng/eng_22_1.wav,command,google,7bf801d1,8
rejects/eng/nine_bbd0bbd0_nohash_2.wav,reject,google,bbd0bbd0,10
commands/3e31dffe/eng/eng_22_3.wav,command,google,3e31dffe,8
rejects/eng/common_voice_en_19479324.wav,reject,mozilla,unknown,10
commands/1785329822/eng/eng_28.wav,reject,telegram_bot,1785329822,10
rejects/eng/common_voice_en_18715420.wav,reject,mozilla,unknown,10
rejects/eng/five_8dd788d8_nohash_0.wav,reject,google,8dd788d8,10
commands/2109142388/eng/eng_29.wav,reject,telegram_bot,2109142388,10
synthetics/google/neural/eng/US_Standard_D_cmd26.wav,reject,google_neural,google_male,10
rejects/eng/marvin_6a27a9bf_nohash_0.wav,reject,google,6a27a9bf,10
rejects/eng/common_voice_en_20806040.wav,reject,mozilla,unknown,10
samples/crf_02/noisy/eng/eng_20.wav,command,noisy,crf_02,1
commands/30802c5d/eng/eng_24_0.wav,command,google,30802c5d,9
commands/d8c314c0/eng/eng_22_2.wav,command,google,d8c314c0,8
synthetics/vocalware/neural/eng/engine2_voice3_cmd12.wav,reject,vocalware_neural,engine2_voice3,10
commands/d31d8dd7/eng/eng_24_0.wav,command,google,d31d8dd7,9
rejects/eng/sheila_e0344f60_nohash_0.wav,reject,google,e0344f60,10
commands/2058616/eng/eng_28.wav,reject,telegram_bot,2058616,10
commands/b83c1acf/eng/eng_22_2.wav,command,google,b83c1acf,8
