path,type,subtype,speaker,command
rejects/ita/common_voice_it_20148468.wav,reject,mozilla,unknown,20
noises/colpi_ripetuti/pile-driver-pound-hard-slow-to-fast_zJ6wSuVu_NWM_014.wav,reject,unknown,unknown,20
rejects/ita/common_voice_it_23917068.wav,reject,mozilla,unknown,20
rejects/ita/common_voice_it_25585854.wav,reject,mozilla,unknown,20
noises/hammer/394891_000.wav,reject,unknown,unknown,20
commands/6504731710/ita/ita_16.wav,command,telegram,6504731710,10
noises/crf_melfi/production_line/production_line_783_000.wav,reject,production_line,unknown,20
rejects/ita/tree_659b7fae_nohash_0.wav,reject,google,659b7fae,20
rejects/ita/left_d8a5ace5_nohash_1.wav,reject,google,d8a5ace5,20
commands/268005350/ita/ita_9.wav,command,telegram,268005350,3
noises/crf_melfi/production_line/production_line_652_000.wav,reject,production_line,unknown,20
noises/crf_melfi/robot/felice_robot_049.wav,reject,robot,unknown,20
rejects/ita/common_voice_it_18017189.wav,reject,mozilla,unknown,20
noises/crf_melfi/production_line/production_line_049_000.wav,reject,production_line,unknown,20
commands/1153694021/ita/ita_21.wav,command,telegram,1153694021,15
commands/707549384/ita/ita_21.wav,command,telegram,707549384,15
noises/crf_melfi/production_line/production_line_469_000.wav,reject,production_line,unknown,20
rejects/ita/common_voice_it_25515183.wav,reject,mozilla,unknown,20
rejects/ita/common_voice_it_22704245.wav,reject,mozilla,unknown,20
rejects/ita/three_00b01445_nohash_2.wav,reject,google,00b01445,20
noises/crf_melfi/production_line/production_line_897_000.wav,reject,production_line,unknown,20
commands/604202480/ita/ita_6.wav,command,telegram,604202480,0
commands/160396731/ita/ita_15.wav,command,telegram,160396731,9
rejects/ita/right_324210dd_nohash_2.wav,reject,google,324210dd,20
rejects/ita/right_7fd25f7c_nohash_2.wav,reject,google,7fd25f7c,20
rejects/ita/common_voice_it_26322131.wav,reject,mozilla,unknown,20
commands/5702986369/ita/ita_6.wav,command,telegram,5702986369,0
commands/630722423/ita/ita_10.wav,command,telegram,630722423,4
rejects/ita/common_voice_it_22950764.wav,reject,mozilla,unknown,20
rejects/ita/common_voice_it_24911688.wav,reject,mozilla,unknown,20
rejects/ita/no_459345ea_nohash_0.wav,reject,google,459345ea,20
commands/5754547619/ita/ita_24.wav,command,telegram,5754547619,18
commands/611605718/ita/ita_16.wav,command,telegram,611605718,10
rejects/ita/three_a108341b_nohash_0.wav,reject,google,a108341b,20
rejects/ita/common_voice_it_23882744.wav,reject,mozilla,unknown,20
rejects/ita/common_voice_it_19841898.wav,reject,mozilla,unknown,20
noises/crf_melfi/production_line/production_line_040_000.wav,reject,production_line,unknown,20
commands/1887530209/ita/ita_23.wav,command,telegram,1887530209,17
commands/5434233518/ita/ita_19.wav,command,telegram,5434233518,13
rejects/ita/common_voice_it_26454971.wav,reject,mozilla,unknown,20
noises/strumenti_di_lavoro_lavorazione_metalli/tornio/tornio_024.wav,reject,tornio,unknown,20
rejects/ita/up_3bfd30e6_nohash_0.wav,reject,google,3bfd30e6,20
commands/5434233518/ita/ita_18.wav,command,telegram,5434233518,12
commands/5754547619/ita/ita_21.wav,command,telegram,5754547619,15
noises/colpi_ripetuti/metalurgico_015.wav,reject,unknown,unknown,20
rejects/ita/sheila_9aa21fa9_nohash_0.wav,reject,google,9aa21fa9,20
noises/catena_di_lavoro_robot/car_factory_kia_015.wav,reject,unknown,unknown,20
rejects/ita/common_voice_it_25614255.wav,reject,mozilla,unknown,20
rejects/ita/common_voice_it_26939893.wav,reject,mozilla,unknown,20
noises/crf_melfi/production_line/production_line_131_000.wav,reject,production_line,unknown,20
rejects/ita/up_a60a09cf_nohash_1.wav,reject,google,a60a09cf,20
rejects/ita/common_voice_it_20274748.wav,reject,mozilla,unknown,20
noises/drill/127538_003.wav,reject,unknown,unknown,20
rejects/ita/common_voice_it_17551537.wav,reject,mozilla,unknown,20
commands/611605718/ita/ita_9.wav,command,telegram,611605718,3
rejects/ita/common_voice_it_25906951.wav,reject,mozilla,unknown,20
commands/1693881305/ita/ita_25.wav,command,telegram,1693881305,19
noises/drill/327048_000.wav,reject,unknown,unknown,20
noises/crf_melfi/production_line/production_line_861_000.wav,reject,production_line,unknown,20
rejects/ita/common_voice_it_20255258.wav,reject,mozilla,unknown,20
rejects/ita/common_voice_it_23987359.wav,reject,mozilla,unknown,20
commands/6773519978/ita/ita_18.wav,command,telegram,6773519978,12
commands/120192347/ita/ita_24.wav,command,telegram,120192347,18
rejects/ita/common_voice_it_25890684.wav,reject,mozilla,unknown,20
noises/crf_melfi/production_line/production_line_972_000.wav,reject,production_line,unknown,20
noises/crf_melfi/gun_screwdriver/gun_screwdriver_000_000.wav,reject,gun_screwdriver,unknown,20
noises/crf_melfi/production_line/production_line_002_000.wav,reject,production_line,unknown,20
rejects/ita/common_voice_it_18384019.wav,reject,mozilla,unknown,20
noises/crf_melfi/production_line/production_line_1225_000.wav,reject,production_line,unknown,20
commands/707549384/ita/ita_15.wav,command,telegram,707549384,9
rejects/ita/common_voice_it_18014858.wav,reject,mozilla,unknown,20
noises/crf_melfi/production_line/production_line_220_000.wav,reject,production_line,unknown,20
commands/1254765304/ita/ita_25.wav,command,telegram,1254765304,19
rejects/ita/common_voice_it_17546088.wav,reject,mozilla,unknown,20
commands/6504731710/ita/ita_11.wav,command,telegram,6504731710,5
noises/catena_di_lavoro/SDMechanicalFactoryassemblylineliteINT01-MS_007.wav,reject,unknown,unknown,20
noises/catena_di_lavoro_robot/car_factory_kia_007.wav,reject,unknown,unknown,20
noises/crf_melfi/production_line/production_line_014_000.wav,reject,production_line,unknown,20
rejects/ita/common_voice_it_25743850.wav,reject,mozilla,unknown,20
rejects/ita/common_voice_it_26474736.wav,reject,mozilla,unknown,20
noises/crf_melfi/production_line/production_line_479_000.wav,reject,production_line,unknown,20
rejects/ita/happy_3e3fa7fd_nohash_0.wav,reject,google,3e3fa7fd,20
commands/1693881305/ita/ita_19.wav,command,telegram,1693881305,13
rejects/ita/bed_64220627_nohash_0.wav,reject,google,64220627,20
rejects/ita/common_voice_it_17540568.wav,reject,mozilla,unknown,20
rejects/ita/common_voice_it_18187422.wav,reject,mozilla,unknown,20
noises/crf_melfi/industrial_trolley/industrial_trolley_033_000.wav,reject,industrial_trolley,unknown,20
commands/268005350/ita/ita_18.wav,command,telegram,268005350,12
rejects/ita/eight_71e6ab20_nohash_1.wav,reject,google,71e6ab20,20
noises/catena_di_lavoro/SDMechanicalFactoryconveyorlineINT01-MS_002.wav,reject,unknown,unknown,20
noises/hammer/98859_004.wav,reject,unknown,unknown,20
rejects/ita/common_voice_it_20085124.wav,reject,mozilla,unknown,20
commands/1887530209/ita/ita_10.wav,command,telegram,1887530209,4
rejects/ita/common_voice_it_20255947.wav,reject,mozilla,unknown,20
commands/611605718/ita/ita_11.wav,command,telegram,611605718,5
noises/colpi_ripetuti/pile-driver-pound-hard-slow-to-fast_zJ6wSuVu_NWM_006.wav,reject,unknown,unknown,20
rejects/ita/common_voice_it_20298251.wav,reject,mozilla,unknown,20
rejects/ita/down_d8a5ace5_nohash_2.wav,reject,google,d8a5ace5,20
rejects/ita/common_voice_it_19910092.wav,reject,mozilla,unknown,20
commands/707549384/ita/ita_23.wav,command,telegram,707549384,17
commands/120192347/ita/ita_17.wav,command,telegram,120192347,11
rejects/ita/sheila_64220627_nohash_0.wav,reject,google,64220627,20
rejects/ita/common_voice_it_17546535.wav,reject,mozilla,unknown,20
noises/crf_melfi/production_line/production_line_303_000.wav,reject,production_line,unknown,20
rejects/ita/four_d8a5ace5_nohash_2.wav,reject,google,d8a5ace5,20
rejects/ita/on_5184ed3e_nohash_1.wav,reject,google,5184ed3e,20
noises/strumenti_di_lavoro_lavorazione_metalli/air-ratchet_cricchetto_ad_aria/air-ratchet-turn-on-run-turn-off_fkcvPjNO_NWM_012.wav,reject,air-ratchet_cricchetto_ad_aria,unknown,20
rejects/ita/common_voice_it_19483014.wav,reject,mozilla,unknown,20
commands/618887384/ita/ita_10.wav,command,telegram,618887384,4
rejects/ita/eight_063d48cf_nohash_1.wav,reject,google,063d48cf,20
rejects/ita/common_voice_it_24405631.wav,reject,mozilla,unknown,20
noises/crf_melfi/production_line/production_line_162_000.wav,reject,production_line,unknown,20
rejects/ita/common_voice_it_22950572.wav,reject,mozilla,unknown,20
noises/strumenti_di_lavoro_lavorazione_metalli/grinder_mola/metal-grinder-on-run-off_MyXT7hV__NWM_015.wav,reject,grinder_mola,unknown,20
rejects/ita/marvin_14872d06_nohash_0.wav,reject,google,14872d06,20
commands/268005350/ita/ita_8.wav,command,telegram,268005350,2
commands/616564116/ita/ita_16.wav,command,telegram,616564116,10
noises/catena_di_lavoro/SDMechanicalFactoryconveyorlineINT01-MS_000.wav,reject,unknown,unknown,20
noises/crf_melfi/production_line/production_line_1026_000.wav,reject,production_line,unknown,20
rejects/ita/bed_3efa7ec4_nohash_0.wav,reject,google,3efa7ec4,20
rejects/ita/common_voice_it_25819851.wav,reject,mozilla,unknown,20
rejects/ita/stop_7bae88ed_nohash_0.wav,reject,google,7bae88ed,20
commands/1407029395/ita/ita_18.wav,command,telegram,1407029395,12
rejects/ita/common_voice_it_21377591.wav,reject,mozilla,unknown,20
commands/1254765304/ita/ita_23.wav,command,telegram,1254765304,17
noises/crf_melfi/production_line/production_line_043_000.wav,reject,production_line,unknown,20
noises/crf_melfi/production_line/production_line_673_000.wav,reject,production_line,unknown,20
commands/120192347/ita/ita_20.wav,command,telegram,120192347,14
noises/colpi_ripetuti/metalurgico_037.wav,reject,unknown,unknown,20
noises/catena_di_lavoro/SDMechanicalFactoryassemblyliteINT01-MS_004.wav,reject,unknown,unknown,20
noises/strumenti_di_lavoro_lavorazione_metalli/air-ratchet_cricchetto_ad_aria/air-ratchet-turn-on-run-turn-off_fkcvPjNO_NWM_000.wav,reject,air-ratchet_cricchetto_ad_aria,unknown,20
rejects/ita/common_voice_it_21329464.wav,reject,mozilla,unknown,20
commands/1887530209/ita/ita_16.wav,command,telegram,1887530209,10
noises/crf_melfi/move_arm/move_arm_8_000.wav,reject,move_arm,unknown,20
rejects/ita/common_voice_it_19985695.wav,reject,mozilla,unknown,20
noises/crf_melfi/production_line/production_line_1195_000.wav,reject,production_line,unknown,20
noises/crf_melfi/industrial_trolley/industrial_trolley_025_000.wav,reject,industrial_trolley,unknown,20
rejects/ita/right_c4533c47_nohash_0.wav,reject,google,c4533c47,20
noises/crf_melfi/production_line/production_line_959_000.wav,reject,production_line,unknown,20
noises/drill/250063_000.wav,reject,unknown,unknown,20
rejects/ita/common_voice_it_18088233.wav,reject,mozilla,unknown,20
noises/crf_melfi/production_line/production_line_556_000.wav,reject,production_line,unknown,20
rejects/ita/house_1b755c65_nohash_1.wav,reject,google,1b755c65,20
commands/5702986369/ita/ita_15.wav,command,telegram,5702986369,9
noises/drill/66623_000.wav,reject,unknown,unknown,20
rejects/ita/common_voice_it_20006583.wav,reject,mozilla,unknown,20
rejects/ita/dog_39543cfd_nohash_0.wav,reject,google,39543cfd,20
commands/132745516/ita/ita_15.wav,command,telegram,132745516,9
noises/crf_melfi/production_line/production_line_1145_000.wav,reject,production_line,unknown,20
commands/6434473115/ita/ita_18.wav,command,telegram,6434473115,12
commands/268005350/ita/ita_16.wav,command,telegram,268005350,10
rejects/ita/common_voice_it_19450676.wav,reject,mozilla,unknown,20
noises/strumenti_di_lavoro_lavorazione_metalli/grinder_mola/hand-grinder-start-run-grind-pause-stop_G1LzB_E__NWM_007.wav,reject,grinder_mola,unknown,20
noises/crf_melfi/production_line/production_line_045_000.wav,reject,production_line,unknown,20
rejects/ita/marvin_a60a09cf_nohash_1.wav,reject,google,a60a09cf,20
rejects/ita/common_voice_it_23987807.wav,reject,mozilla,unknown,20
rejects/ita/eight_a108341b_nohash_0.wav,reject,google,a108341b,20
noises/crf_melfi/production_line/production_line_349_000.wav,reject,production_line,unknown,20
noises/crf_melfi/production_line/production_line_1018_000.wav,reject,production_line,unknown,20
noises/crf_melfi/production_line/production_line_167_000.wav,reject,production_line,unknown,20
commands/1254765304/ita/ita_18.wav,command,telegram,1254765304,12
noises/crf_melfi/production_line/production_line_874_000.wav,reject,production_line,unknown,20
rejects/ita/two_c1d39ce8_nohash_3.wav,reject,google,c1d39ce8,20
rejects/ita/common_voice_it_18798801.wav,reject,mozilla,unknown,20
rejects/ita/common_voice_it_18069649.wav,reject,mozilla,unknown,20
commands/1887530209/ita/ita_22.wav,command,telegram,1887530209,16
rejects/ita/common_voice_it_25733859.wav,reject,mozilla,unknown,20
noises/crf_melfi/production_line/production_line_1039_000.wav,reject,production_line,unknown,20
rejects/ita/common_voice_it_19977969.wav,reject,mozilla,unknown,20
commands/707549384/ita/ita_6.wav,command,telegram,707549384,0
rejects/ita/common_voice_it_24744124.wav,reject,mozilla,unknown,20
rejects/ita/five_3bfd30e6_nohash_0.wav,reject,google,3bfd30e6,20
rejects/ita/common_voice_it_17855576.wav,reject,mozilla,unknown,20
noises/crf_melfi/production_line/production_line_225_000.wav,reject,production_line,unknown,20
noises/strumenti_di_lavoro_lavorazione_metalli/saw/table-saw-rigid-10-inch-blade-start-cut-pvc-pipe-power-down_zJlprON__NWM_01_000.wav,reject,saw,unknown,20
commands/1340205463/ita/ita_15.wav,command,telegram,1340205463,9
rejects/ita/no_3e3fa7fd_nohash_0.wav,reject,google,3e3fa7fd,20
rejects/ita/bed_e3e49931_nohash_1.wav,reject,google,e3e49931,20
commands/616564116/ita/ita_21.wav,command,telegram,616564116,15
commands/630722423/ita/ita_19.wav,command,telegram,630722423,13
rejects/ita/common_voice_it_26324100.wav,reject,mozilla,unknown,20
rejects/ita/common_voice_it_20155844.wav,reject,mozilla,unknown,20
commands/618887384/ita/ita_19.wav,command,telegram,618887384,13
rejects/ita/common_voice_it_26577104.wav,reject,mozilla,unknown,20
noises/crf_melfi/production_line/production_line_742_000.wav,reject,production_line,unknown,20
rejects/ita/common_voice_it_25886025.wav,reject,mozilla,unknown,20
noises/crf_melfi/robot/felice_robot_047.wav,reject,robot,unknown,20
rejects/ita/one_1993db46_nohash_1.wav,reject,google,1993db46,20
rejects/ita/seven_659b7fae_nohash_0.wav,reject,google,659b7fae,20
rejects/ita/common_voice_it_17846622.wav,reject,mozilla,unknown,20
rejects/ita/common_voice_it_20077871.wav,reject,mozilla,unknown,20
rejects/ita/left_14872d06_nohash_0.wav,reject,google,14872d06,20
rejects/ita/common_voice_it_25835814.wav,reject,mozilla,unknown,20
rejects/ita/off_bfa63751_nohash_0.wav,reject,google,bfa63751,20
rejects/ita/off_459345ea_nohash_0.wav,reject,google,459345ea,20
noises/crf_melfi/robot/felice_robot_059.wav,reject,robot,unknown,20
commands/1407029395/ita/ita_16.wav,command,telegram,1407029395,10
noises/drill/50414_000.wav,reject,unknown,unknown,20
commands/604202480/ita/ita_10.wav,command,telegram,604202480,4
rejects/ita/down_459345ea_nohash_0.wav,reject,google,459345ea,20
commands/1153694021/ita/ita_17.wav,command,telegram,1153694021,11
commands/6677810513/ita/ita_21.wav,command,telegram,6677810513,15
commands/707549384/ita/ita_14.wav,command,telegram,707549384,8
commands/576705837/ita/ita_19.wav,command,telegram,576705837,13
rejects/ita/eight_459345ea_nohash_0.wav,reject,google,459345ea,20
rejects/ita/common_voice_it_25864421.wav,reject,mozilla,unknown,20
rejects/ita/six_14872d06_nohash_0.wav,reject,google,14872d06,20
commands/1407029395/ita/ita_9.wav,command,telegram,1407029395,3
rejects/ita/common_voice_it_17541273.wav,reject,mozilla,unknown,20
commands/325565871/ita/ita_12.wav,command,telegram,325565871,6
commands/5754547619/ita/ita_10.wav,command,telegram,5754547619,4
commands/618887384/ita/ita_12.wav,command,telegram,618887384,6
rejects/ita/bird_1993db46_nohash_1.wav,reject,google,1993db46,20
rejects/ita/stop_7fa5fa1f_nohash_0.wav,reject,google,7fa5fa1f,20
commands/6677810513/ita/ita_13.wav,command,telegram,6677810513,7
commands/120192347/ita/ita_9.wav,command,telegram,120192347,3
rejects/ita/common_voice_it_19996447.wav,reject,mozilla,unknown,20
noises/drill/127538_001.wav,reject,unknown,unknown,20
rejects/ita/sheila_10c6d873_nohash_1.wav,reject,google,10c6d873,20
commands/132745516/ita/ita_6.wav,command,telegram,132745516,0
noises/catena_di_lavoro/industrial_machine_noise_001.wav,reject,unknown,unknown,20
rejects/ita/four_c1d39ce8_nohash_3.wav,reject,google,c1d39ce8,20
rejects/ita/bird_7bae88ed_nohash_0.wav,reject,google,7bae88ed,20
rejects/ita/tree_1993db46_nohash_1.wav,reject,google,1993db46,20
commands/1254765304/ita/ita_24.wav,command,telegram,1254765304,18
rejects/ita/common_voice_it_18377443.wav,reject,mozilla,unknown,20
rejects/ita/one_7fa5fa1f_nohash_0.wav,reject,google,7fa5fa1f,20
commands/630722423/ita/ita_25.wav,command,telegram,630722423,19
rejects/ita/common_voice_it_20002374.wav,reject,mozilla,unknown,20
noises/fan/fan-blower-run-high_zyAAmn4u_NWM_000.wav,reject,unknown,unknown,20
noises/crf_melfi/production_line/production_line_585_000.wav,reject,production_line,unknown,20
rejects/ita/five_459345ea_nohash_0.wav,reject,google,459345ea,20
rejects/ita/common_voice_it_17972219.wav,reject,mozilla,unknown,20
rejects/ita/common_voice_it_20015039.wav,reject,mozilla,unknown,20
rejects/ita/three_df280250_nohash_1.wav,reject,google,df280250,20
rejects/ita/sheila_f2b8fc18_nohash_0.wav,reject,google,f2b8fc18,20
commands/707549384/ita/ita_10.wav,command,telegram,707549384,4
rejects/ita/seven_1993db46_nohash_1.wav,reject,google,1993db46,20
commands/6504731710/ita/ita_12.wav,command,telegram,6504731710,6
commands/5754547619/ita/ita_15.wav,command,telegram,5754547619,9
rejects/ita/common_voice_it_20271167.wav,reject,mozilla,unknown,20
commands/1304767958/ita/ita_17.wav,command,telegram,1304767958,11
noises/crf_melfi/production_line/production_line_1215_000.wav,reject,production_line,unknown,20
commands/1407029395/ita/ita_24.wav,command,telegram,1407029395,18
rejects/ita/common_voice_it_26615953.wav,reject,mozilla,unknown,20
commands/6677810513/ita/ita_14.wav,command,telegram,6677810513,8
rejects/ita/common_voice_it_25899018.wav,reject,mozilla,unknown,20
rejects/ita/on_7fa5fa1f_nohash_0.wav,reject,google,7fa5fa1f,20
rejects/ita/common_voice_it_25954851.wav,reject,mozilla,unknown,20
rejects/ita/marvin_85834399_nohash_1.wav,reject,google,85834399,20
rejects/ita/common_voice_it_19356341.wav,reject,mozilla,unknown,20
rejects/ita/bird_7fa5fa1f_nohash_0.wav,reject,google,7fa5fa1f,20
rejects/ita/common_voice_it_20297755.wav,reject,mozilla,unknown,20
rejects/ita/up_37fc5d97_nohash_3.wav,reject,google,37fc5d97,20
rejects/ita/five_324210dd_nohash_2.wav,reject,google,324210dd,20
rejects/ita/common_voice_it_20468301.wav,reject,mozilla,unknown,20
commands/681983872/ita/ita_19.wav,command,telegram,681983872,13
rejects/ita/tree_7fa5fa1f_nohash_0.wav,reject,google,7fa5fa1f,20
noises/crf_melfi/production_line/production_line_688_000.wav,reject,production_line,unknown,20
rejects/ita/two_7fd25f7c_nohash_2.wav,reject,google,7fd25f7c,20
commands/616564116/ita/ita_14.wav,command,telegram,616564116,8
rejects/ita/right_459345ea_nohash_0.wav,reject,google,459345ea,20
rejects/ita/off_c1d39ce8_nohash_3.wav,reject,google,c1d39ce8,20
rejects/ita/common_voice_it_23994071.wav,reject,mozilla,unknown,20
noises/crf_melfi/industrial_trolley/industrial_trolley_030_000.wav,reject,industrial_trolley,unknown,20
rejects/ita/common_voice_it_20057654.wav,reject,mozilla,unknown,20
rejects/ita/no_7bae88ed_nohash_0.wav,reject,google,7bae88ed,20
commands/6677810513/ita/ita_24.wav,command,telegram,6677810513,18
noises/crf_melfi/production_line/production_line_344_000.wav,reject,production_line,unknown,20
commands/1304767958/ita/ita_10.wav,command,telegram,1304767958,4
rejects/ita/common_voice_it_25616162.wav,reject,mozilla,unknown,20
commands/1340205463/ita/ita_23.wav,command,telegram,1340205463,17
rejects/ita/common_voice_it_25539171.wav,reject,mozilla,unknown,20
commands/1887530209/ita/ita_8.wav,command,telegram,1887530209,2
rejects/ita/happy_7bae88ed_nohash_0.wav,reject,google,7bae88ed,20
noises/crf_melfi/production_line/production_line_845_000.wav,reject,production_line,unknown,20
rejects/ita/common_voice_it_23747751.wav,reject,mozilla,unknown,20
rejects/ita/common_voice_it_18396861.wav,reject,mozilla,unknown,20
commands/630722423/ita/ita_11.wav,command,telegram,630722423,5
commands/1407029395/ita/ita_19.wav,command,telegram,1407029395,13
rejects/ita/house_c4533c47_nohash_0.wav,reject,google,c4533c47,20
rejects/ita/no_c1d39ce8_nohash_3.wav,reject,google,c1d39ce8,20
rejects/ita/house_3efa7ec4_nohash_0.wav,reject,google,3efa7ec4,20
rejects/ita/tree_9aa21fa9_nohash_0.wav,reject,google,9aa21fa9,20
commands/6413445750/ita/ita_17.wav,command,telegram,6413445750,11
rejects/ita/common_voice_it_25039493.wav,reject,mozilla,unknown,20
commands/630722423/ita/ita_16.wav,command,telegram,630722423,10
commands/604202480/ita/ita_16.wav,command,telegram,604202480,10
rejects/ita/marvin_a108341b_nohash_0.wav,reject,google,a108341b,20
rejects/ita/on_1b755c65_nohash_1.wav,reject,google,1b755c65,20
noises/crf_melfi/production_line/production_line_450_000.wav,reject,production_line,unknown,20
rejects/ita/common_voice_it_25967558.wav,reject,mozilla,unknown,20
commands/1340205463/ita/ita_22.wav,command,telegram,1340205463,16
rejects/ita/common_voice_it_17852164.wav,reject,mozilla,unknown,20
noises/strumenti_di_lavoro_lavorazione_metalli/grinder_mola/metal-grinder-on-run-off_MyXT7hV__NWM_011.wav,reject,grinder_mola,unknown,20
