path,type,subtype,speaker,command
rejects/ita/bed_3bfd30e6_nohash_0.wav,reject,google,3bfd30e6,20
rejects/ita/bed_f35eedd7_nohash_1.wav,reject,google,f35eedd7,20
rejects/ita/bed_1b755c65_nohash_1.wav,reject,google,1b755c65,20
rejects/ita/bed_bfa63751_nohash_0.wav,reject,google,bfa63751,20
rejects/ita/bed_94e6864f_nohash_0.wav,reject,google,94e6864f,20
rejects/ita/bed_7fa5fa1f_nohash_0.wav,reject,google,7fa5fa1f,20
rejects/ita/bed_d8a5ace5_nohash_1.wav,reject,google,d8a5ace5,20
rejects/ita/bed_a108341b_nohash_0.wav,reject,google,a108341b,20
rejects/ita/bed_14872d06_nohash_0.wav,reject,google,14872d06,20
rejects/ita/bed_533c6564_nohash_0.wav,reject,google,533c6564,20
rejects/ita/bed_e3e49931_nohash_1.wav,reject,google,e3e49931,20
rejects/ita/bed_bed06fac_nohash_2.wav,reject,google,bed06fac,20
rejects/ita/bed_f34e6f44_nohash_2.wav,reject,google,f34e6f44,20
rejects/ita/bed_063d48cf_nohash_1.wav,reject,google,063d48cf,20
rejects/ita/bed_3efa7ec4_nohash_0.wav,reject,google,3efa7ec4,20
rejects/ita/bed_64220627_nohash_0.wav,reject,google,64220627,20
rejects/ita/bed_3e3fa7fd_nohash_0.wav,reject,google,3e3fa7fd,20
rejects/ita/bird_7bae88ed_nohash_0.wav,reject,google,7bae88ed,20
rejects/ita/bird_3bfd30e6_nohash_0.wav,reject,google,3bfd30e6,20
rejects/ita/bird_df280250_nohash_1.wav,reject,google,df280250,20
rejects/ita/bird_bfa63751_nohash_0.wav,reject,google,bfa63751,20
rejects/ita/bird_7fa5fa1f_nohash_0.wav,reject,google,7fa5fa1f,20
rejects/ita/bird_c5c60d8d_nohash_1.wav,reject,google,c5c60d8d,20
rejects/ita/bird_d1453a87_nohash_1.wav,reject,google,d1453a87,20
rejects/ita/bird_533c6564_nohash_0.wav,reject,google,533c6564,20
rejects/ita/bird_1993db46_nohash_1.wav,reject,google,1993db46,20
rejects/ita/bird_8a5acefd_nohash_1.wav,reject,google,8a5acefd,20
rejects/ita/bird_459345ea_nohash_0.wav,reject,google,459345ea,20
rejects/ita/bird_3efa7ec4_nohash_0.wav,reject,google,3efa7ec4,20
rejects/ita/bird_a60a09cf_nohash_1.wav,reject,google,a60a09cf,20
rejects/ita/bird_c4533c47_nohash_0.wav,reject,google,c4533c47,20
rejects/ita/bird_64220627_nohash_0.wav,reject,google,64220627,20
rejects/ita/bird_659b7fae_nohash_0.wav,reject,google,659b7fae,20
rejects/ita/bird_9aa21fa9_nohash_0.wav,reject,google,9aa21fa9,20
rejects/ita/cat_7bae88ed_nohash_0.wav,reject,google,7bae88ed,20
rejects/ita/cat_3bfd30e6_nohash_0.wav,reject,google,3bfd30e6,20
rejects/ita/cat_0e5193e6_nohash_1.wav,reject,google,0e5193e6,20
rejects/ita/cat_39543cfd_nohash_0.wav,reject,google,39543cfd,20
rejects/ita/cat_f35eedd7_nohash_1.wav,reject,google,f35eedd7,20
rejects/ita/cat_bfa63751_nohash_0.wav,reject,google,bfa63751,20
rejects/ita/cat_7fa5fa1f_nohash_0.wav,reject,google,7fa5fa1f,20
rejects/ita/cat_d8a5ace5_nohash_1.wav,reject,google,d8a5ace5,20
rejects/ita/cat_26b28ea7_nohash_1.wav,reject,google,26b28ea7,20
rejects/ita/cat_10c6d873_nohash_1.wav,reject,google,10c6d873,20
rejects/ita/cat_a108341b_nohash_0.wav,reject,google,a108341b,20
rejects/ita/cat_14872d06_nohash_0.wav,reject,google,14872d06,20
rejects/ita/cat_533c6564_nohash_0.wav,reject,google,533c6564,20
rejects/ita/cat_1993db46_nohash_1.wav,reject,google,1993db46,20
rejects/ita/cat_8a5acefd_nohash_1.wav,reject,google,8a5acefd,20
rejects/ita/cat_d8a5ace5_nohash_2.wav,reject,google,d8a5ace5,20
rejects/ita/cat_f34e6f44_nohash_2.wav,reject,google,f34e6f44,20
rejects/ita/dog_7bae88ed_nohash_0.wav,reject,google,7bae88ed,20
rejects/ita/dog_3bfd30e6_nohash_0.wav,reject,google,3bfd30e6,20
rejects/ita/dog_0e5193e6_nohash_1.wav,reject,google,0e5193e6,20
rejects/ita/dog_b0f24c9b_nohash_2.wav,reject,google,b0f24c9b,20
rejects/ita/dog_39543cfd_nohash_0.wav,reject,google,39543cfd,20
rejects/ita/dog_94e6864f_nohash_0.wav,reject,google,94e6864f,20
