path,type,subtype,speaker,command,noise_path,noise_type,noise_subtype,snr
commands/395387919/ita/ita_23.wav,command,telegram_bot,395387919,0,,,,
synthetics/google/standard/ita/IT_Wavenet_D_cmd23.wav,synthetic,google_standard,IT_Wavenet_D,0,,,,
commands/34805883/ita/ita_24_0.wav,command,google,34805883,9,,,,
rejects/ita/seven_88120683_nohash_0.wav,reject,google,88120683,10,,,,
commands/1483207948/ita/ita_7.wav,command,telegram_bot,1483207948,3,,,,
commands/1770776685/ita/ita_29.wav,reject,telegram_bot,1770776685,10,,,,
commands/580130061/ita/ita_20.wav,command,telegram_bot,580130061,1,,,,
commands/3402e488/ita/ita_24_2.wav,command,google,3402e488,9,,,,
rejects/ita/nine_7e783e3f_nohash_0.wav,reject,google,7e783e3f,10,,,,
commands/7f74626f/ita/ita_24_3.wav,command,google,7f74626f,9,,,,
rejects/ita/house_d1d3e64d_nohash_0.wav,reject,google,d1d3e64d,10,,,,
rejects/ita/happy_8fce59ff_nohash_0.wav,reject,google,8fce59ff,10,,,,
commands/1cbcc7a7/ita/ita_24_0.wav,command,google,1cbcc7a7,9,,,,
commands/388942547/ita/ita_14.wav,reject,telegram_bot,388942547,10,,,,
commands/48724485/ita/ita_8.wav,command,telegram_bot,48724485,4,,,,
commands/2b3f509b/ita/ita_24_0.wav,command,google,2b3f509b,9,,,,
commands/964e8cfd/ita/ita_24_4.wav,command,google,964e8cfd,9,,,,
rejects/ita/yes_6a497f80_nohash_0.wav,reject,google,6a497f80,10,,,,
commands/5195f0ec/ita/ita_24_0.wav,command,google,5195f0ec,9,,,,
commands/1889914753/ita/ita_4.wav,reject,telegram_bot,1889914753,10,,,,
rejects/ita/three_2643992f_nohash_1.wav,reject,google,2643992f,10,,,,
commands/1230421796/ita/ita_27.wav,reject,telegram_bot,1230421796,10,,,,
rejects/ita/seven_02746d24_nohash_0.wav,reject,google,02746d24,10,,,,
rejects/ita/zero_ab5ae445_nohash_1.wav,reject,google,ab5ae445,10,,,,
commands/366052369/ita/ita_8.wav,command,telegram_bot,366052369,4,,,,
rejects/ita/two_c948d727_nohash_2.wav,reject,google,c948d727,10,,,,
commands/1364524938/ita/eng_23.wav,command,telegram_bot,1364524938,0,,,,
rejects/ita/cat_7106d229_nohash_0.wav,reject,google,7106d229,10,,,,
commands/1306913040/ita/ita_11.wav,reject,telegram_bot,1306913040,10,,,,
rejects/ita/eight_a40c62f1_nohash_1.wav,reject,google,a40c62f1,10,,,,
rejects/ita/five_0132a06d_nohash_3.wav,reject,google,0132a06d,10,,,,
rejects/ita/three_0b40aa8e_nohash_0.wav,reject,google,0b40aa8e,10,,,,
commands/1609876882/ita/ita_12.wav,reject,telegram_bot,1609876882,10,,,,
rejects/ita/no_86f12ac0_nohash_1.wav,reject,google,86f12ac0,10,,,,
commands/c948d727/ita/ita_24_0.wav,command,google,c948d727,9,,,,
rejects/ita/marvin_4c841771_nohash_0.wav,reject,google,4c841771,10,,,,
rejects/ita/dog_37d38e44_nohash_1.wav,reject,google,37d38e44,10,,,,
commands/483e2a6f/ita/ita_24_0.wav,command,google,483e2a6f,9,,,,
commands/352792887/ita/ita_30.wav,reject,telegram_bot,352792887,10,,,,
commands/2055098585/ita/ita_23.wav,command,telegram_bot,2055098585,0,,,,
rejects/ita/on_7fa5fa1f_nohash_0.wav,reject,google,7fa5fa1f,10,,,,
rejects/ita/seven_7014b07e_nohash_0.wav,reject,google,7014b07e,10,,,,
commands/a9abc695/ita/ita_24_0.wav,command,google,a9abc695,9,,,,
synthetics/azure/neural/ita/DiegoNeural_16.wav,synthetic,azure_neural,DiegoNeural,6,,,,
rejects/ita/bird_413bcfe1_nohash_0.wav,reject,google,413bcfe1,10,,,,
rejects/ita/right_17f0e206_nohash_0.wav,reject,google,17f0e206,10,,,,
commands/2025799315/ita/eng_23.wav,command,telegram_bot,2025799315,0,,,,
commands/91223b83/ita/ita_24_0.wav,command,google,91223b83,9,,,,
rejects/ita/sheila_90b94017_nohash_0.wav,reject,google,90b94017,10,,,,
commands/637c702a/ita/ita_24_0.wav,command,google,637c702a,9,,,,
rejects/ita/two_01b4757a_nohash_1.wav,reject,google,01b4757a,10,,,,
rejects/ita/marvin_9ff2d2f4_nohash_0.wav,reject,google,9ff2d2f4,10,,,,
commands/580130061/ita/ita_4.wav,reject,telegram_bot,580130061,10,,,,
rejects/ita/left_ad63d93c_nohash_3.wav,reject,google,ad63d93c,10,,,,
commands/c120e80e/ita/ita_24_1.wav,command,google,c120e80e,9,,,,
commands/738867743/ita/ita_14.wav,reject,telegram_bot,738867743,10,,,,
rejects/ita/one_c1d39ce8_nohash_3.wav,reject,google,c1d39ce8,10,,,,
commands/0f3f64d5/ita/ita_24_1.wav,command,google,0f3f64d5,9,,,,
rejects/ita/yes_0ff728b5_nohash_2.wav,reject,google,0ff728b5,10,,,,
rejects/ita/up_b5d1e505_nohash_0.wav,reject,google,b5d1e505,10,,,,
rejects/ita/right_4bb1244f_nohash_1.wav,reject,google,4bb1244f,10,,,,
rejects/ita/one_d9b8fab2_nohash_1.wav,reject,google,d9b8fab2,10,,,,
commands/47565088/ita/ita_24_1.wav,command,google,47565088,9,,,,
rejects/ita/house_0f3f64d5_nohash_2.wav,reject,google,0f3f64d5,10,,,,
commands/407575728/ita/ita_22.wav,command,telegram_bot,407575728,8,,,,
commands/48724485/ita/ita_26.wav,reject,telegram_bot,48724485,10,,,,
commands/199231711/ita/eng_23.wav,command,telegram_bot,199231711,0,,,,
rejects/ita/five_7f74626f_nohash_4.wav,reject,google,7f74626f,10,,,,
commands/443061286/ita/ita_16.wav,command,telegram_bot,443061286,6,,,,
rejects/ita/off_d90b4138_nohash_1.wav,reject,google,d90b4138,10,,,,
rejects/ita/tree_68effe85_nohash_0.wav,reject,google,68effe85,10,,,,
rejects/ita/bird_ff63ab0b_nohash_2.wav,reject,google,ff63ab0b,10,,,,
rejects/ita/cat_2643992f_nohash_1.wav,reject,google,2643992f,10,,,,
rejects/ita/wow_ab353673_nohash_2.wav,reject,google,ab353673,10,,,,
rejects/ita/happy_0bd689d7_nohash_1.wav,reject,google,0bd689d7,10,,,,
rejects/ita/cat_e10e2cbb_nohash_0.wav,reject,google,e10e2cbb,10,,,,
rejects/ita/on_591d32f3_nohash_0.wav,reject,google,591d32f3,10,,,,
rejects/ita/cat_45adf84a_nohash_0.wav,reject,google,45adf84a,10,,,,
rejects/ita/bird_3fb8c268_nohash_2.wav,reject,google,3fb8c268,10,,,,
commands/563aa4e6/ita/ita_24_2.wav,command,google,563aa4e6,9,,,,
rejects/ita/zero_f953e1af_nohash_4.wav,reject,google,f953e1af,10,,,,
rejects/ita/seven_ed0720f1_nohash_0.wav,reject,google,ed0720f1,10,,,,
commands/c0445658/ita/ita_24_4.wav,command,google,c0445658,9,,,,
commands/406576777/ita/ita_0.wav,reject,telegram_bot,406576777,10,,,,
rejects/ita/zero_82e7204d_nohash_2.wav,reject,google,82e7204d,10,,,,
rejects/ita/sheila_a3255f5c_nohash_3.wav,reject,google,a3255f5c,10,,,,
commands/1095491263/ita/ita_9.wav,command,telegram_bot,1095491263,5,,,,
commands/208525704/ita/ita_4.wav,reject,telegram_bot,208525704,10,,,,
rejects/ita/three_dea820ce_nohash_4.wav,reject,google,dea820ce,10,,,,
rejects/ita/wow_eb76bc68_nohash_1.wav,reject,google,eb76bc68,10,,,,
commands/0135f3f2/ita/ita_24_1.wav,command,google,0135f3f2,9,,,,
commands/184960439/ita/ita_26.wav,reject,telegram_bot,184960439,10,,,,
commands/2131190666/ita/ita_4.wav,reject,telegram_bot,2131190666,10,,,,
commands/2112819853/ita/ita_6.wav,command,telegram_bot,2112819853,2,,,,
rejects/ita/bed_1aed7c6d_nohash_0.wav,reject,google,1aed7c6d,10,,,,
rejects/ita/nine_2bdbe5f7_nohash_4.wav,reject,google,2bdbe5f7,10,,,,
commands/222556755/ita/ita_3.wav,reject,telegram_bot,222556755,10,,,,
synthetics/google/neural/ita/IT_Standard_A_cmd13.wav,reject,google_neural,IT_Standard_A,10,,,,
rejects/ita/wow_bfa63751_nohash_0.wav,reject,google,bfa63751,10,,,,
commands/630722423/ita/ita_21.wav,reject,telegram_bot,630722423,10,,,,
commands/1299468493/ita/ita_19.wav,reject,telegram_bot,1299468493,10,,,,
rejects/ita/three_13d7b8c9_nohash_0.wav,reject,google,13d7b8c9,10,,,,
rejects/ita/seven_17f0e206_nohash_0.wav,reject,google,17f0e206,10,,,,
rejects/ita/two_413bcfe1_nohash_0.wav,reject,google,413bcfe1,10,,,,
rejects/ita/seven_24b82192_nohash_0.wav,reject,google,24b82192,10,,,,
commands/1863268171/ita/ita_14.wav,reject,telegram_bot,1863268171,10,,,,
rejects/ita/sheila_30802c5d_nohash_0.wav,reject,google,30802c5d,10,,,,
rejects/ita/zero_ad6a46f1_nohash_0.wav,reject,google,ad6a46f1,10,,,,
commands/652b3da7/ita/ita_24_0.wav,command,google,652b3da7,9,,,,
rejects/ita/left_7211390b_nohash_3.wav,reject,google,7211390b,10,,,,
commands/5062859821/ita/ita_29.wav,reject,telegram_bot,5062859821,10,,,,
commands/2080397916/ita/ita_3.wav,reject,telegram_bot,2080397916,10,,,,
commands/2058616/ita/ita_6.wav,command,telegram_bot,2058616,2,,,,
rejects/ita/six_eb3f7d82_nohash_3.wav,reject,google,eb3f7d82,10,,,,
rejects/ita/tree_e3e49931_nohash_1.wav,reject,google,e3e49931,10,,,,
rejects/ita/sheila_042ea76c_nohash_0.wav,reject,google,042ea76c,10,,,,
rejects/ita/go_41474817_nohash_0.wav,reject,google,41474817,10,,,,
commands/366052369/ita/ita_11.wav,reject,telegram_bot,366052369,10,,,,
commands/190682718/ita/ita_24.wav,command,telegram_bot,190682718,9,,,,
commands/1254765304/ita/ita_12.wav,reject,telegram_bot,1254765304,10,,,,
commands/43fc47a7/ita/ita_24_1.wav,command,google,43fc47a7,9,,,,
rejects/ita/go_30137d34_nohash_2.wav,reject,google,30137d34,10,,,,
commands/1064283897/ita/ita_2.wav,reject,telegram_bot,1064283897,10,,,,
rejects/ita/five_ae04cdbe_nohash_0.wav,reject,google,ae04cdbe,10,,,,
commands/a6d586b7/ita/ita_24_0.wav,command,google,a6d586b7,9,,,,
rejects/ita/nine_2cec1d47_nohash_1.wav,reject,google,2cec1d47,10,,,,
rejects/ita/seven_b3327675_nohash_1.wav,reject,google,b3327675,10,,,,
commands/1237313710/ita/ita_11.wav,reject,telegram_bot,1237313710,10,,,,
commands/322245354/ita/ita_26.wav,reject,telegram_bot,322245354,10,,,,
rejects/ita/two_dea820ce_nohash_4.wav,reject,google,dea820ce,10,,,,
commands/1202998179/ita/ita_6.wav,command,telegram_bot,1202998179,2,,,,
commands/686d030b/ita/ita_24_4.wav,command,google,686d030b,9,,,,
rejects/ita/up_569455ff_nohash_0.wav,reject,google,569455ff,10,,,,
rejects/ita/off_29fb33da_nohash_3.wav,reject,google,29fb33da,10,,,,
rejects/ita/no_6ac35824_nohash_1.wav,reject,google,6ac35824,10,,,,
commands/132762273/ita/ita_11.wav,reject,telegram_bot,132762273,10,,,,
rejects/ita/tree_2643992f_nohash_0.wav,reject,google,2643992f,10,,,,
rejects/ita/zero_e72aa705_nohash_1.wav,reject,google,e72aa705,10,,,,
commands/950255171/ita/ita_15.wav,reject,telegram_bot,950255171,10,,,,
commands/1005594640/ita/ita_21.wav,reject,telegram_bot,1005594640,10,,,,
commands/507870188/ita/ita_3.wav,reject,telegram_bot,507870188,10,,,,
rejects/ita/marvin_6a861f21_nohash_0.wav,reject,google,6a861f21,10,,,,
rejects/ita/on_863880b7_nohash_0.wav,reject,google,863880b7,10,,,,
commands/937390897/ita/ita_27.wav,reject,telegram_bot,937390897,10,,,,
rejects/ita/seven_10ace7eb_nohash_4.wav,reject,google,10ace7eb,10,,,,
commands/37d38e44/ita/ita_24_1.wav,command,google,37d38e44,9,,,,
rejects/ita/off_cdbd6969_nohash_0.wav,reject,google,cdbd6969,10,,,,
commands/340310580/ita/ita_22.wav,command,telegram_bot,340310580,8,,,,
commands/1064283897/ita/ita_23.wav,command,telegram_bot,1064283897,0,,,,
rejects/ita/three_35d1b6ee_nohash_1.wav,reject,google,35d1b6ee,10,,,,
commands/232282882/ita/ita_29.wav,reject,telegram_bot,232282882,10,,,,
commands/8442ea62/ita/ita_24_0.wav,command,google,8442ea62,9,,,,
rejects/ita/bed_d2f4f431_nohash_0.wav,reject,google,d2f4f431,10,,,,
commands/7f74626f/ita/ita_24_1.wav,command,google,7f74626f,9,,,,
rejects/ita/yes_eb3f7d82_nohash_3.wav,reject,google,eb3f7d82,10,,,,
rejects/ita/tree_80b8eab4_nohash_1.wav,reject,google,80b8eab4,10,,,,
rejects/ita/no_7e783e3f_nohash_0.wav,reject,google,7e783e3f,10,,,,
commands/233601088/ita/ita_14.wav,reject,telegram_bot,233601088,10,,,,
rejects/ita/two_10ace7eb_nohash_4.wav,reject,google,10ace7eb,10,,,,
commands/1908394421/ita/ita_4.wav,reject,telegram_bot,1908394421,10,,,,
commands/1525639750/ita/ita_3.wav,reject,telegram_bot,1525639750,10,,,,
rejects/ita/wow_5628d7b7_nohash_2.wav,reject,google,5628d7b7,10,,,,
commands/267561261/ita/ita_13.wav,reject,telegram_bot,267561261,10,,,,
rejects/ita/off_41474817_nohash_0.wav,reject,google,41474817,10,,,,
commands/1483207948/ita/ita_23.wav,command,telegram_bot,1483207948,0,,,,
rejects/ita/cat_24b82192_nohash_0.wav,reject,google,24b82192,10,,,,
commands/352792887/ita/ita_2.wav,reject,telegram_bot,352792887,10,,,,
rejects/ita/two_41474817_nohash_0.wav,reject,google,41474817,10,,,,
commands/a4ca3afe/ita/ita_24_1.wav,command,google,a4ca3afe,9,,,,
commands/2123570996/ita/ita_11.wav,reject,telegram_bot,2123570996,10,,,,
commands/190682718/ita/ita_0.wav,reject,telegram_bot,190682718,10,,,,
commands/1525639750/ita/ita_9.wav,command,telegram_bot,1525639750,5,,,,
commands/985961747/ita/ita_5.wav,reject,telegram_bot,985961747,10,,,,
rejects/ita/right_acfd3bc3_nohash_0.wav,reject,google,acfd3bc3,10,,,,
rejects/ita/seven_1706c35f_nohash_0.wav,reject,google,1706c35f,10,,,,
rejects/ita/on_7bae88ed_nohash_0.wav,reject,google,7bae88ed,10,,,,
commands/727092146/ita/mc_ita_16.wav,command,google,727092146,6,,,,
rejects/ita/cat_48bdc11c_nohash_0.wav,reject,google,48bdc11c,10,,,,
rejects/ita/tree_f42e234b_nohash_2.wav,reject,google,f42e234b,10,,,,
rejects/ita/off_f804cbb3_nohash_0.wav,reject,google,f804cbb3,10,,,,
rejects/ita/marvin_0132a06d_nohash_0.wav,reject,google,0132a06d,10,,,,
commands/142490997/ita/ita_6.wav,command,telegram_bot,142490997,2,,,,
rejects/ita/three_1df99a8a_nohash_1.wav,reject,google,1df99a8a,10,,,,
rejects/ita/cat_d9e9f554_nohash_0.wav,reject,google,d9e9f554,10,,,,
rejects/ita/two_ffd2ba2f_nohash_0.wav,reject,google,ffd2ba2f,10,,,,
rejects/ita/right_8134f43f_nohash_3.wav,reject,google,8134f43f,10,,,,
commands/133699592/ita/ita_30.wav,reject,telegram_bot,133699592,10,,,,
synthetics/polly/standard/ita/Bianca_6.wav,synthetic,polly_standard,Bianca,2,,,,
commands/94638325/ita/ita_4.wav,reject,telegram_bot,94638325,10,,,,
commands/2112819853/ita/eng_23.wav,command,telegram_bot,2112819853,0,,,,
rejects/ita/three_39025b21_nohash_0.wav,reject,google,39025b21,10,,,,
rejects/ita/one_726382d6_nohash_1.wav,reject,google,726382d6,10,,,,
rejects/ita/wow_a1a59b72_nohash_0.wav,reject,google,a1a59b72,10,,,,
commands/1237313710/ita/ita_21.wav,reject,telegram_bot,1237313710,10,,,,
commands/26e573a9/ita/ita_24_0.wav,command,google,26e573a9,9,,,,
commands/2128855261/ita/ita_28.wav,reject,telegram_bot,2128855261,10,,,,
commands/aa109cfb/ita/ita_24_0.wav,command,google,aa109cfb,9,,,,
rejects/ita/bird_43691f67_nohash_1.wav,reject,google,43691f67,10,,,,
commands/556469931/ita/ita_11.wav,reject,telegram_bot,556469931,10,,,,
commands/9b402bc2/ita/ita_24_0.wav,command,google,9b402bc2,9,,,,
commands/352792887/ita/ita_20.wav,command,telegram_bot,352792887,1,,,,
commands/5093320195/ita/ita_9.wav,command,telegram_bot,5093320195,5,,,,
commands/2118597066/ita/ita_14.wav,reject,telegram_bot,2118597066,10,,,,
synthetics/vocalware/neural/ita/engine2_voice1_cmd28.wav,reject,vocalware_neural,engine2,10,,,,
commands/296821092/ita/ita_16.wav,command,telegram_bot,296821092,6,,,,
commands/5fadb538/ita/ita_24_3.wav,command,google,5fadb538,9,,,,
rejects/ita/sheila_67c7fecb_nohash_1.wav,reject,google,67c7fecb,10,,,,
synthetics/vocalware/neural/ita/engine2_voice7_cmd5.wav,reject,vocalware_neural,engine2,10,,,,
rejects/ita/eight_3d53244b_nohash_2.wav,reject,google,3d53244b,10,,,,
rejects/ita/nine_c93d5e22_nohash_0.wav,reject,google,c93d5e22,10,,,,
rejects/ita/five_92037d73_nohash_0.wav,reject,google,92037d73,10,,,,
commands/2080397916/ita/ita_1.wav,reject,telegram_bot,2080397916,10,,,,
rejects/ita/go_30137d34_nohash_1.wav,reject,google,30137d34,10,,,,
commands/1035156532/ita/ita_11.wav,reject,telegram_bot,1035156532,10,,,,
commands/132762273/ita/ita_8.wav,command,telegram_bot,132762273,4,,,,
synthetics/vocalware/neural/ita/engine2_voice3_cmd1.wav,reject,vocalware_neural,engine2,10,,,,
rejects/ita/wow_9e46cfa1_nohash_2.wav,reject,google,9e46cfa1,10,,,,
rejects/ita/bird_9a8d8d34_nohash_1.wav,reject,google,9a8d8d34,10,,,,
commands/2109142388/ita/ita_4.wav,reject,telegram_bot,2109142388,10,,,,
rejects/ita/left_acfd3bc3_nohash_0.wav,reject,google,acfd3bc3,10,,,,
synthetics/polly/standard/ita/Carla_12.wav,reject,polly_standard,Carla,10,,,,
rejects/ita/go_659b7fae_nohash_0.wav,reject,google,659b7fae,10,,,,
commands/56cd307a/ita/ita_24_1.wav,command,google,56cd307a,9,,,,
rejects/ita/right_5d9bb361_nohash_0.wav,reject,google,5d9bb361,10,,,,
rejects/ita/up_4f781a59_nohash_1.wav,reject,google,4f781a59,10,,,,
rejects/ita/seven_df1d5024_nohash_4.wav,reject,google,df1d5024,10,,,,
synthetics/vocalware/neural/ita/engine2_voice1_cmd22.wav,synthetic,vocalware_neural,engine2,8,,,,
rejects/ita/no_e6515415_nohash_0.wav,reject,google,e6515415,10,,,,
commands/436294034/ita/eng_23.wav,command,telegram_bot,436294034,0,,,,
rejects/ita/off_82c6d220_nohash_0.wav,reject,google,82c6d220,10,,,,
commands/2114791016/ita/ita_5.wav,reject,telegram_bot,2114791016,10,,,,
commands/1936687856/ita/ita_3.wav,reject,telegram_bot,1936687856,10,,,,
commands/9ff1b8b6/ita/ita_24_1.wav,command,google,9ff1b8b6,9,,,,
rejects/ita/yes_48bdc11c_nohash_0.wav,reject,google,48bdc11c,10,,,,
rejects/ita/up_ae04cdbe_nohash_0.wav,reject,google,ae04cdbe,10,,,,
rejects/ita/off_a9abc695_nohash_0.wav,reject,google,a9abc695,10,,,,
rejects/ita/seven_b433332a_nohash_1.wav,reject,google,b433332a,10,,,,
synthetics/vocalware/neural/ita/engine7_voice1_cmd4.wav,reject,vocalware_neural,engine7,10,,,,
commands/1908497562/ita/ita_10.wav,reject,telegram_bot,1908497562,10,,,,
synthetics/polly/standard/ita/Bianca_15.wav,reject,polly_standard,Bianca,10,,,,
commands/282273095/ita/ita_7.wav,command,telegram_bot,282273095,3,,,,
rejects/ita/bird_f618568f_nohash_0.wav,reject,google,f618568f,10,,,,
commands/340310580/ita/ita_13.wav,reject,telegram_bot,340310580,10,,,,
commands/911154958/ita/ita_30.wav,reject,telegram_bot,911154958,10,,,,
rejects/ita/happy_bd061bef_nohash_0.wav,reject,google,bd061bef,10,,,,
rejects/ita/wow_97f493b9_nohash_2.wav,reject,google,97f493b9,10,,,,
rejects/ita/sheila_c93d5e22_nohash_0.wav,reject,google,c93d5e22,10,,,,
rejects/ita/six_7e6bd776_nohash_0.wav,reject,google,7e6bd776,10,,,,
rejects/ita/nine_48a9f771_nohash_1.wav,reject,google,48a9f771,10,,,,
commands/1212263007/ita/ita_25.wav,reject,telegram_bot,1212263007,10,,,,
commands/611850050/ita/ita_15.wav,reject,telegram_bot,611850050,10,,,,
commands/556469931/ita/ita_2.wav,reject,telegram_bot,556469931,10,,,,
commands/269423705/ita/ita_28.wav,reject,telegram_bot,269423705,10,,,,
commands/298552117/ita/ita_0.wav,reject,telegram_bot,298552117,10,,,,
synthetics/google/neural/ita/IT_Standard_D_cmd13.wav,reject,google_neural,IT_Standard_D,10,,,,
commands/8d5d076d/ita/ita_24_1.wav,command,google,8d5d076d,9,,,,
rejects/ita/happy_a583c5b0_nohash_0.wav,reject,google,a583c5b0,10,,,,
rejects/ita/bed_f5c3de1b_nohash_0.wav,reject,google,f5c3de1b,10,,,,
rejects/ita/bird_e3411931_nohash_0.wav,reject,google,e3411931,10,,,,
rejects/ita/cat_c013fe4d_nohash_1.wav,reject,google,c013fe4d,10,,,,
rejects/ita/bed_541e4079_nohash_0.wav,reject,google,541e4079,10,,,,
commands/8bf6acb9/ita/ita_24_1.wav,command,google,8bf6acb9,9,,,,
commands/5062859821/ita/ita_15.wav,reject,telegram_bot,5062859821,10,,,,
rejects/ita/three_4a1e736b_nohash_2.wav,reject,google,4a1e736b,10,,,,
