path,type,subtype,speaker,label
google_speech_commands_v1/sheila/52bfbce8_nohash_1.wav,reject,google_speech,52bfbce8,8
google_speech_commands_v1/six/e54a0f16_nohash_1.wav,reject,google_speech,e54a0f16,8
synthetics/polly/standard/eng/Joey_20.wav,synthetic,polly_standard,Joey,1
synthetics/google/neural/eng/IN_Standard_D_cmd20.wav,synthetic,google_neural,IN_Standard_D,1
google_speech_commands_v1/six/264f471d_nohash_3.wav,reject,google_speech,264f471d,8
commands/352792887/eng/ita_23.wav,command,telegram_bot,352792887,0
synthetics/nemo/neural/eng/fastspeech2_uniglow_cmd16.wav,synthetic,nemo_neural,fastspeech2_uniglow,6
google_speech_commands_v1/two/e6e29c47_nohash_0.wav,reject,google_speech,e6e29c47,8
synthetics/naturalreaders/neural/eng/lisa_au_6.wav,synthetic,naturalreaders_neural,lisa,2
commands/222556755/eng/ita_23.wav,command,telegram_bot,222556755,0
synthetics/nemo/neural/eng/fastpitch_melgan_cmd8.wav,synthetic,nemo_neural,fastpitch_melgan,4
commands/134001349/eng/eng_6.wav,command,telegram_bot,134001349,2
google_speech_commands_v1/two/bdee441c_nohash_4.wav,reject,google_speech,bdee441c,8
commands/2127261933/eng/eng_7.wav,command,telegram_bot,2127261933,3
synthetics/google/neural/eng/US_Standard_F_cmd16.wav,synthetic,google_neural,US_Standard_F,6
google_speech_commands_v1/three/2ce7534c_nohash_0.wav,reject,google_speech,2ce7534c,8
google_speech_commands_v1/sheila/e63b69c5_nohash_0.wav,reject,google_speech,e63b69c5,8
commands/224710733/eng/ita_23.wav,command,telegram_bot,224710733,0
commands/1230421796/eng/eng_6.wav,command,telegram_bot,1230421796,2
google_speech_commands_v1/three/dbb40d24_nohash_1.wav,reject,google_speech,dbb40d24,8
google_speech_commands_v1/six/9cde5de8_nohash_0.wav,reject,google_speech,9cde5de8,8
synthetics/nemo/neural/eng/glowtts_hifigan_cmd23.wav,synthetic,nemo_neural,glowtts_hifigan,0
synthetics/azure/neural/eng/SamNeural_8.wav,synthetic,azure_neural,SamNeural,4
google_speech_commands_v1/yes/7fd25f7c_nohash_2.wav,reject,google_speech,7fd25f7c,8
synthetics/google/standard/eng/US_Wavenet_E_cmd16.wav,synthetic,google_standard,US_Wavenet_E,6
google_speech_commands_v1/zero/060cd039_nohash_0.wav,reject,google_speech,060cd039,8
synthetics/google/standard/eng/GB_Wavenet_A_cmd8.wav,synthetic,google_standard,GB_Wavenet_A,4
google_speech_commands_v1/six/dbb40d24_nohash_2.wav,reject,google_speech,dbb40d24,8
google_speech_commands_v1/wow/7117fb6d_nohash_0.wav,reject,google_speech,7117fb6d,8
google_speech_commands_v1/zero/c4e1f6e0_nohash_1.wav,reject,google_speech,c4e1f6e0,8
synthetics/google/standard/eng/GB_Wavenet_A_cmd7.wav,synthetic,google_standard,GB_Wavenet_A,3
google_speech_commands_v1/three/b1426003_nohash_0.wav,reject,google_speech,b1426003,8
synthetics/polly/neural/eng/Ivy_6.wav,synthetic,polly_neural,Ivy,2
commands/436294034/eng/eng_23.wav,command,telegram_bot,436294034,0
google_speech_commands_v1/two/591d32f3_nohash_0.wav,reject,google_speech,591d32f3,8
google_speech_commands_v1/up/5fadb538_nohash_4.wav,reject,google_speech,5fadb538,8
commands/1299468493/eng/eng_23.wav,command,telegram_bot,1299468493,0
google_speech_commands_v1/seven/6c0f6493_nohash_3.wav,reject,google_speech,6c0f6493,8
synthetics/vocalware/neural/eng/engine2_voice10_cmd8.wav,synthetic,vocalware_neural,engine2,4
synthetics/polly/standard/eng/Joanna_8.wav,synthetic,polly_standard,Joanna,4
synthetics/azure/neural/eng/NeerjaNeural_8.wav,synthetic,azure_neural,NeerjaNeural,4
google_speech_commands_v1/tree/2ce7534c_nohash_3.wav,reject,google_speech,2ce7534c,8
google_speech_commands_v1/seven/e8c3c5ca_nohash_0.wav,reject,google_speech,e8c3c5ca,8
commands/2123568595/eng/eng_7.wav,command,telegram_bot,2123568595,3
google_speech_commands_v1/yes/c2d15ea5_nohash_3.wav,reject,google_speech,c2d15ea5,8
google_speech_commands_v1/up/7c1d8533_nohash_0.wav,reject,google_speech,7c1d8533,8
google_speech_commands_v1/right/c6ee87a7_nohash_4.wav,reject,google_speech,c6ee87a7,8
synthetics/google/neural/eng/GB_Standard_D_cmd17.wav,synthetic,google_neural,GB_Standard_D,7
google_speech_commands_v1/six/f17be97f_nohash_4.wav,reject,google_speech,f17be97f,8
google_speech_commands_v1/six/22aa3665_nohash_0.wav,reject,google_speech,22aa3665,8
google_speech_commands_v1/yes/c6ee87a7_nohash_0.wav,reject,google_speech,c6ee87a7,8
google_speech_commands_v1/zero/56eb74ae_nohash_0.wav,reject,google_speech,56eb74ae,8
google_speech_commands_v1/yes/29b81b73_nohash_0.wav,reject,google_speech,29b81b73,8
synthetics/azure/neural/eng/NatashaNeural_9.wav,synthetic,azure_neural,NatashaNeural,5
synthetics/google/standard/eng/US_Neural2_A_cmd8.wav,synthetic,google_standard,US_Neural2_A,4
google_speech_commands_v1/seven/ec74a8a5_nohash_0.wav,reject,google_speech,ec74a8a5,8
google_speech_commands_v1/tree/8335f893_nohash_0.wav,reject,google_speech,8335f893,8
commands/5520968966/eng/eng_8.wav,command,telegram_bot,5520968966,4
synthetics/nemo/neural/eng/fastspeech2_uniglow_cmd20.wav,synthetic,nemo_neural,fastspeech2_uniglow,1
google_speech_commands_v1/three/8910e5ef_nohash_1.wav,reject,google_speech,8910e5ef,8
synthetics/naturalreaders/neural/eng/sharon_us_8.wav,synthetic,naturalreaders_neural,sharon,4
google_speech_commands_v1/six/6c0f6493_nohash_2.wav,reject,google_speech,6c0f6493,8
google_speech_commands_v1/stop/dbb40d24_nohash_2.wav,reject,google_speech,dbb40d24,8
google_speech_commands_v1/wow/439c84f4_nohash_0.wav,reject,google_speech,439c84f4,8
google_speech_commands_v1/seven/c6ee87a7_nohash_4.wav,reject,google_speech,c6ee87a7,8
google_speech_commands_v1/wow/e6db3894_nohash_0.wav,reject,google_speech,e6db3894,8
google_speech_commands_v1/yes/f17be97f_nohash_0.wav,reject,google_speech,f17be97f,8
google_speech_commands_v1/wow/6d0ad764_nohash_0.wav,reject,google_speech,6d0ad764,8
google_speech_commands_v1/six/8335f893_nohash_0.wav,reject,google_speech,8335f893,8
synthetics/polly/neural/eng/Joanna_17.wav,synthetic,polly_neural,Joanna,7
synthetics/naturalreaders/neural/eng/peter_en_16.wav,synthetic,naturalreaders_neural,peter,6
google_speech_commands_v1/stop/0e17f595_nohash_1.wav,reject,google_speech,0e17f595,8
