path,type,subtype
noises/crf_melfi/production_line/production_line_153_000.wav,crf_melfi,production_line
noises/strumenti_di_lavoro_lavorazione_metalli/grinder_mola/pialla_elettrica_011.wav,strumenti_di_lavoro_lavorazione_metalli,grinder_mola
noises/crf_melfi/robot/felice_robot_040.wav,crf_melfi,robot
noises/strumenti_di_lavoro_lavorazione_metalli/tornio/tornio_015.wav,strumenti_di_lavoro_lavorazione_metalli,tornio
noises/crf_melfi/production_line/production_line_528_000.wav,crf_melfi,production_line
noises/crf_melfi/gun_screwdriver/gun_screwdriver_002_000.wav,crf_melfi,gun_screwdriver
noises/crf_melfi/production_line/production_line_340_000.wav,crf_melfi,production_line
noises/crf_melfi/human_talk/human_talk_1_000.wav,crf_melfi,human_talk
noises/crf_melfi/production_line/production_line_916_000.wav,crf_melfi,production_line
noises/crf_melfi/robot/felice_robot_046.wav,crf_melfi,robot
noises/drill/250057_000.wav,drill,unknown
noises/drill/408703_001.wav,drill,unknown
noises/hammer/68696_002.wav,hammer,unknown
noises/strumenti_di_lavoro_lavorazione_metalli/saw/black-and-decker-electric-jigsaw-run_G1nXuoVd_NWM_005.wav,strumenti_di_lavoro_lavorazione_metalli,saw
noises/crf_melfi/move/move_9_000.wav,crf_melfi,move
noises/fan/fan-paint-booth-on-off_G1X4EOVd_NWM_01_000.wav,fan,unknown
noises/crf_melfi/production_line/production_line_805_000.wav,crf_melfi,production_line
noises/crf_melfi/production_line/production_line_816_000.wav,crf_melfi,production_line
noises/crf_melfi/move/move_5_000.wav,crf_melfi,move
noises/crf_melfi/production_line/production_line_639_000.wav,crf_melfi,production_line
noises/crf_melfi/production_line/production_line_1252_000.wav,crf_melfi,production_line
noises/crf_melfi/robot/felice_robot_031.wav,crf_melfi,robot
noises/strumenti_di_lavoro_lavorazione_metalli/saw/jigsaw-black-and-decker-run_M162Ds4__NWM_001.wav,strumenti_di_lavoro_lavorazione_metalli,saw
noises/strumenti_di_lavoro_lavorazione_metalli/saw/black-and-decker-electric-jigsaw-run_G1nXuoVd_NWM_003.wav,strumenti_di_lavoro_lavorazione_metalli,saw
noises/crf_melfi/production_line/production_line_534_000.wav,crf_melfi,production_line
noises/crf_melfi/production_line/production_line_356_000.wav,crf_melfi,production_line
noises/strumenti_di_lavoro_lavorazione_metalli/air-ratchet_cricchetto_ad_aria/air-ratchet-buzz-multiple_fyi9E_N__NWM_004.wav,strumenti_di_lavoro_lavorazione_metalli,air-ratchet_cricchetto_ad_aria
noises/crf_melfi/production_line/production_line_098_000.wav,crf_melfi,production_line
noises/crf_melfi/production_line/production_line_366_000.wav,crf_melfi,production_line
noises/strumenti_di_lavoro_lavorazione_metalli/macchina_per_incidere/engraving-machine-on-off_MyNfS_VO_NWM_01_008.wav,strumenti_di_lavoro_lavorazione_metalli,macchina_per_incidere
noises/crf_melfi/production_line/production_line_629_000.wav,crf_melfi,production_line
noises/crf_melfi/production_line/production_line_059_000.wav,crf_melfi,production_line
noises/strumenti_di_lavoro_lavorazione_metalli/saldatrice/welder-run-sparks-long_MydlE3Ed_NWM_01_001.wav,strumenti_di_lavoro_lavorazione_metalli,saldatrice
noises/colpi_ripetuti/pile-driver-pound-hard-long_M1TUSONd_NWM_003.wav,colpi_ripetuti,unknown
noises/crf_melfi/production_line/production_line_1061_000.wav,crf_melfi,production_line
noises/drill/137815_005.wav,drill,unknown
noises/drill/333080_002.wav,drill,unknown
noises/crf_melfi/production_line/production_line_133_000.wav,crf_melfi,production_line
noises/crf_melfi/production_line/production_line_724_000.wav,crf_melfi,production_line
noises/catena_di_lavoro_robot/bmw_car_071.wav,catena_di_lavoro_robot,unknown
noises/crf_melfi/production_line/production_line_1235_000.wav,crf_melfi,production_line
noises/crf_melfi/production_line/production_line_264_000.wav,crf_melfi,production_line
noises/drill/333080_001.wav,drill,unknown
noises/crf_melfi/production_line/production_line_1209_000.wav,crf_melfi,production_line
noises/crf_melfi/production_line/production_line_1022_000.wav,crf_melfi,production_line
noises/crf_melfi/production_line/production_line_994_000.wav,crf_melfi,production_line
noises/drill/39533_000.wav,drill,unknown
noises/crf_melfi/production_line/production_line_799_000.wav,crf_melfi,production_line
noises/catena_di_lavoro/SDMechanicalFactoryassemblylineliteINT01-MS_005.wav,catena_di_lavoro,unknown
noises/crf_melfi/robot/felice_robot_074.wav,crf_melfi,robot
noises/drill/50416_000.wav,drill,unknown
noises/hammer/363169_001.wav,hammer,unknown
noises/crf_melfi/move_arm/move_arm_22_000.wav,crf_melfi,move_arm
noises/catena_di_lavoro_robot/car_factory_kia_004.wav,catena_di_lavoro_robot,unknown
noises/crf_melfi/production_line/production_line_1091_000.wav,crf_melfi,production_line
noises/crf_melfi/production_line/production_line_656_000.wav,crf_melfi,production_line
noises/crf_melfi/production_line/production_line_1001_000.wav,crf_melfi,production_line
noises/strumenti_di_lavoro_lavorazione_metalli/tornio/tornio_011.wav,strumenti_di_lavoro_lavorazione_metalli,tornio
noises/strumenti_di_lavoro_lavorazione_metalli/compressore/337446__ivolipa__compressor-motor-in-workshop_000.wav,strumenti_di_lavoro_lavorazione_metalli,compressore
noises/crf_melfi/production_line/production_line_268_000.wav,crf_melfi,production_line
