path,type,subtype,speaker,command
samples/crf_07/clean/eng/eng_17.wav,command,clean,crf_07,17
samples/crf_07/clean/eng/eng_29.wav,command,clean,crf_07,29
samples/crf_07/clean/eng/eng_1.wav,command,clean,crf_07,1
samples/crf_07/clean/eng/eng_14.wav,command,clean,crf_07,14
samples/crf_07/clean/eng/eng_15.wav,command,clean,crf_07,15
samples/crf_07/clean/eng/eng_22.wav,command,clean,crf_07,22
samples/crf_07/clean/eng/eng_9.wav,command,clean,crf_07,9
samples/crf_07/clean/eng/eng_4.wav,command,clean,crf_07,4
samples/crf_07/clean/eng/eng_12.wav,command,clean,crf_07,12
samples/crf_07/clean/eng/eng_23.wav,command,clean,crf_07,23
samples/crf_07/clean/eng/eng_2.wav,command,clean,crf_07,2
samples/crf_07/clean/eng/eng_25.wav,command,clean,crf_07,25
samples/crf_07/clean/eng/eng_16.wav,command,clean,crf_07,16
samples/crf_07/clean/eng/eng_18.wav,command,clean,crf_07,18
samples/crf_07/clean/eng/eng_6.wav,command,clean,crf_07,6
samples/crf_07/clean/eng/eng_3.wav,command,clean,crf_07,3
samples/crf_07/clean/eng/eng_13.wav,command,clean,crf_07,13
samples/crf_07/clean/eng/eng_28.wav,command,clean,crf_07,28
samples/crf_07/clean/eng/eng_5.wav,command,clean,crf_07,5
samples/crf_07/clean/eng/eng_26.wav,command,clean,crf_07,26
samples/crf_07/clean/eng/eng_7.wav,command,clean,crf_07,7
samples/crf_07/clean/eng/eng_11.wav,command,clean,crf_07,11
samples/crf_07/clean/eng/eng_30.wav,command,clean,crf_07,30
samples/crf_07/clean/eng/eng_0.wav,command,clean,crf_07,0
samples/crf_07/clean/eng/eng_27.wav,command,clean,crf_07,27
samples/crf_07/clean/eng/eng_21.wav,command,clean,crf_07,21
samples/crf_07/clean/eng/eng_19.wav,command,clean,crf_07,19
samples/crf_07/clean/eng/eng_20.wav,command,clean,crf_07,20
samples/crf_07/clean/eng/eng_24.wav,command,clean,crf_07,24
samples/crf_07/clean/eng/eng_8.wav,command,clean,crf_07,8
samples/crf_07/clean/eng/eng_10.wav,command,clean,crf_07,10
samples/crf_06/clean/eng/eng_17.wav,command,clean,crf_06,17
samples/crf_06/clean/eng/eng_29.wav,command,clean,crf_06,29
samples/crf_06/clean/eng/eng_1.wav,command,clean,crf_06,1
samples/crf_06/clean/eng/eng_14.wav,command,clean,crf_06,14
samples/crf_06/clean/eng/eng_15.wav,command,clean,crf_06,15
samples/crf_06/clean/eng/eng_22.wav,command,clean,crf_06,22
samples/crf_06/clean/eng/eng_9.wav,command,clean,crf_06,9
samples/crf_06/clean/eng/eng_4.wav,command,clean,crf_06,4
samples/crf_06/clean/eng/eng_12.wav,command,clean,crf_06,12
samples/crf_06/clean/eng/eng_23.wav,command,clean,crf_06,23
samples/crf_06/clean/eng/eng_2.wav,command,clean,crf_06,2
samples/crf_06/clean/eng/eng_25.wav,command,clean,crf_06,25
samples/crf_06/clean/eng/eng_16.wav,command,clean,crf_06,16
samples/crf_06/clean/eng/eng_18.wav,command,clean,crf_06,18
samples/crf_06/clean/eng/eng_6.wav,command,clean,crf_06,6
samples/crf_06/clean/eng/eng_3.wav,command,clean,crf_06,3
samples/crf_06/clean/eng/eng_13.wav,command,clean,crf_06,13
samples/crf_06/clean/eng/eng_28.wav,command,clean,crf_06,28
samples/crf_06/clean/eng/eng_5.wav,command,clean,crf_06,5
samples/crf_06/clean/eng/eng_26.wav,command,clean,crf_06,26
samples/crf_06/clean/eng/eng_7.wav,command,clean,crf_06,7
samples/crf_06/clean/eng/eng_11.wav,command,clean,crf_06,11
samples/crf_06/clean/eng/eng_30.wav,command,clean,crf_06,30
samples/crf_06/clean/eng/eng_0.wav,command,clean,crf_06,0
samples/crf_06/clean/eng/eng_27.wav,command,clean,crf_06,27
samples/crf_06/clean/eng/eng_21.wav,command,clean,crf_06,21
samples/crf_06/clean/eng/eng_19.wav,command,clean,crf_06,19
samples/crf_06/clean/eng/eng_20.wav,command,clean,crf_06,20
samples/crf_06/clean/eng/eng_24.wav,command,clean,crf_06,24
samples/crf_06/clean/eng/eng_8.wav,command,clean,crf_06,8
samples/crf_06/clean/eng/eng_10.wav,command,clean,crf_06,10
samples/crf_02/clean/eng/eng_17.wav,command,clean,crf_02,17
samples/crf_02/clean/eng/eng_29.wav,command,clean,crf_02,29
samples/crf_02/clean/eng/eng_1.wav,command,clean,crf_02,1
samples/crf_02/clean/eng/eng_14.wav,command,clean,crf_02,14
samples/crf_02/clean/eng/eng_15.wav,command,clean,crf_02,15
samples/crf_02/clean/eng/eng_22.wav,command,clean,crf_02,22
samples/crf_02/clean/eng/eng_9.wav,command,clean,crf_02,9
samples/crf_02/clean/eng/eng_4.wav,command,clean,crf_02,4
samples/crf_02/clean/eng/eng_12.wav,command,clean,crf_02,12
samples/crf_02/clean/eng/eng_23.wav,command,clean,crf_02,23
samples/crf_02/clean/eng/eng_2.wav,command,clean,crf_02,2
samples/crf_02/clean/eng/eng_25.wav,command,clean,crf_02,25
samples/crf_02/clean/eng/eng_16.wav,command,clean,crf_02,16
samples/crf_02/clean/eng/eng_18.wav,command,clean,crf_02,18
samples/crf_02/clean/eng/eng_6.wav,command,clean,crf_02,6
samples/crf_02/clean/eng/eng_3.wav,command,clean,crf_02,3
samples/crf_02/clean/eng/eng_13.wav,command,clean,crf_02,13
samples/crf_02/clean/eng/eng_28.wav,command,clean,crf_02,28
samples/crf_02/clean/eng/eng_5.wav,command,clean,crf_02,5
samples/crf_02/clean/eng/eng_26.wav,command,clean,crf_02,26
samples/crf_02/clean/eng/eng_7.wav,command,clean,crf_02,7
samples/crf_02/clean/eng/eng_11.wav,command,clean,crf_02,11
