path,type,subtype,speaker,command
sample/crf_07/noisy/eng/eng_17.wav,command,noisy,crf_07,17
sample/crf_07/noisy/eng/eng_29.wav,command,noisy,crf_07,29
sample/crf_07/noisy/eng/eng_1.wav,command,noisy,crf_07,1
sample/crf_07/noisy/eng/eng_14.wav,command,noisy,crf_07,14
sample/crf_07/noisy/eng/eng_15.wav,command,noisy,crf_07,15
sample/crf_07/noisy/eng/eng_22.wav,command,noisy,crf_07,22
sample/crf_07/noisy/eng/eng_9.wav,command,noisy,crf_07,9
sample/crf_07/noisy/eng/eng_4.wav,command,noisy,crf_07,4
sample/crf_07/noisy/eng/eng_12.wav,command,noisy,crf_07,12
sample/crf_07/noisy/eng/eng_23.wav,command,noisy,crf_07,23
sample/crf_07/noisy/eng/eng_2.wav,command,noisy,crf_07,2
sample/crf_07/noisy/eng/eng_25.wav,command,noisy,crf_07,25
sample/crf_07/noisy/eng/eng_16.wav,command,noisy,crf_07,16
sample/crf_07/noisy/eng/eng_18.wav,command,noisy,crf_07,18
sample/crf_07/noisy/eng/eng_6.wav,command,noisy,crf_07,6
sample/crf_07/noisy/eng/eng_3.wav,command,noisy,crf_07,3
sample/crf_07/noisy/eng/eng_13.wav,command,noisy,crf_07,13
sample/crf_07/noisy/eng/eng_28.wav,command,noisy,crf_07,28
sample/crf_07/noisy/eng/eng_5.wav,command,noisy,crf_07,5
sample/crf_07/noisy/eng/eng_26.wav,command,noisy,crf_07,26
sample/crf_07/noisy/eng/eng_7.wav,command,noisy,crf_07,7
sample/crf_07/noisy/eng/eng_11.wav,command,noisy,crf_07,11
sample/crf_07/noisy/eng/eng_30.wav,command,noisy,crf_07,30
sample/crf_07/noisy/eng/eng_0.wav,command,noisy,crf_07,0
sample/crf_07/noisy/eng/eng_27.wav,command,noisy,crf_07,27
sample/crf_07/noisy/eng/eng_21.wav,command,noisy,crf_07,21
sample/crf_07/noisy/eng/eng_19.wav,command,noisy,crf_07,19
sample/crf_07/noisy/eng/eng_20.wav,command,noisy,crf_07,20
sample/crf_07/noisy/eng/eng_24.wav,command,noisy,crf_07,24
sample/crf_07/noisy/eng/eng_8.wav,command,noisy,crf_07,8
sample/crf_07/noisy/eng/eng_10.wav,command,noisy,crf_07,10
sample/fr_1/noisy/eng/eng_17.wav,command,noisy,fr_1,17
sample/fr_1/noisy/eng/eng_29.wav,command,noisy,fr_1,29
sample/fr_1/noisy/eng/eng_1.wav,command,noisy,fr_1,1
sample/fr_1/noisy/eng/eng_14.wav,command,noisy,fr_1,14
sample/fr_1/noisy/eng/eng_15.wav,command,noisy,fr_1,15
sample/fr_1/noisy/eng/eng_22.wav,command,noisy,fr_1,22
sample/fr_1/noisy/eng/eng_9.wav,command,noisy,fr_1,9
sample/fr_1/noisy/eng/eng_4.wav,command,noisy,fr_1,4
sample/fr_1/noisy/eng/eng_12.wav,command,noisy,fr_1,12
sample/fr_1/noisy/eng/eng_23.wav,command,noisy,fr_1,23
sample/fr_1/noisy/eng/eng_2.wav,command,noisy,fr_1,2
sample/fr_1/noisy/eng/eng_25.wav,command,noisy,fr_1,25
sample/fr_1/noisy/eng/eng_16.wav,command,noisy,fr_1,16
sample/fr_1/noisy/eng/eng_18.wav,command,noisy,fr_1,18
sample/fr_1/noisy/eng/eng_6.wav,command,noisy,fr_1,6
sample/fr_1/noisy/eng/eng_3.wav,command,noisy,fr_1,3
sample/fr_1/noisy/eng/eng_13.wav,command,noisy,fr_1,13
sample/fr_1/noisy/eng/eng_28.wav,command,noisy,fr_1,28
sample/fr_1/noisy/eng/eng_5.wav,command,noisy,fr_1,5
sample/fr_1/noisy/eng/eng_26.wav,command,noisy,fr_1,26
sample/fr_1/noisy/eng/eng_7.wav,command,noisy,fr_1,7
sample/fr_1/noisy/eng/eng_11.wav,command,noisy,fr_1,11
sample/fr_1/noisy/eng/eng_30.wav,command,noisy,fr_1,30
sample/fr_1/noisy/eng/eng_0.wav,command,noisy,fr_1,0
sample/fr_1/noisy/eng/eng_27.wav,command,noisy,fr_1,27
sample/fr_1/noisy/eng/eng_21.wav,command,noisy,fr_1,21
sample/fr_1/noisy/eng/eng_19.wav,command,noisy,fr_1,19
sample/fr_1/noisy/eng/eng_20.wav,command,noisy,fr_1,20
sample/fr_1/noisy/eng/eng_24.wav,command,noisy,fr_1,24
sample/fr_1/noisy/eng/eng_8.wav,command,noisy,fr_1,8
sample/fr_1/noisy/eng/eng_10.wav,command,noisy,fr_1,10
sample/crf_06/noisy/eng/eng_17.wav,command,noisy,crf_06,17
sample/crf_06/noisy/eng/eng_29.wav,command,noisy,crf_06,29
sample/crf_06/noisy/eng/eng_1.wav,command,noisy,crf_06,1
sample/crf_06/noisy/eng/eng_14.wav,command,noisy,crf_06,14
sample/crf_06/noisy/eng/eng_15.wav,command,noisy,crf_06,15
sample/crf_06/noisy/eng/eng_22.wav,command,noisy,crf_06,22
sample/crf_06/noisy/eng/eng_9.wav,command,noisy,crf_06,9
sample/crf_06/noisy/eng/eng_4.wav,command,noisy,crf_06,4
sample/crf_06/noisy/eng/eng_12.wav,command,noisy,crf_06,12
sample/crf_06/noisy/eng/eng_23.wav,command,noisy,crf_06,23
sample/crf_06/noisy/eng/eng_2.wav,command,noisy,crf_06,2
sample/crf_06/noisy/eng/eng_25.wav,command,noisy,crf_06,25
sample/crf_06/noisy/eng/eng_16.wav,command,noisy,crf_06,16
sample/crf_06/noisy/eng/eng_18.wav,command,noisy,crf_06,18
sample/crf_06/noisy/eng/eng_6.wav,command,noisy,crf_06,6
sample/crf_06/noisy/eng/eng_3.wav,command,noisy,crf_06,3
sample/crf_06/noisy/eng/eng_13.wav,command,noisy,crf_06,13
sample/crf_06/noisy/eng/eng_28.wav,command,noisy,crf_06,28
sample/crf_06/noisy/eng/eng_5.wav,command,noisy,crf_06,5
sample/crf_06/noisy/eng/eng_26.wav,command,noisy,crf_06,26
sample/crf_06/noisy/eng/eng_7.wav,command,noisy,crf_06,7
sample/crf_06/noisy/eng/eng_11.wav,command,noisy,crf_06,11
sample/crf_06/noisy/eng/eng_30.wav,command,noisy,crf_06,30
sample/crf_06/noisy/eng/eng_0.wav,command,noisy,crf_06,0
sample/crf_06/noisy/eng/eng_27.wav,command,noisy,crf_06,27
sample/crf_06/noisy/eng/eng_21.wav,command,noisy,crf_06,21
sample/crf_06/noisy/eng/eng_19.wav,command,noisy,crf_06,19
sample/crf_06/noisy/eng/eng_20.wav,command,noisy,crf_06,20
sample/crf_06/noisy/eng/eng_24.wav,command,noisy,crf_06,24
sample/crf_06/noisy/eng/eng_8.wav,command,noisy,crf_06,8
sample/crf_06/noisy/eng/eng_10.wav,command,noisy,crf_06,10
