path,type,subtype,speaker,command
samples/crf_07/noisy/eng/eng_17.wav,command,noisy,crf_07,17
samples/crf_07/noisy/eng/eng_29.wav,command,noisy,crf_07,29
samples/crf_07/noisy/eng/eng_1.wav,command,noisy,crf_07,1
samples/crf_07/noisy/eng/eng_14.wav,command,noisy,crf_07,14
samples/crf_07/noisy/eng/eng_15.wav,command,noisy,crf_07,15
samples/crf_07/noisy/eng/eng_22.wav,command,noisy,crf_07,22
samples/crf_07/noisy/eng/eng_9.wav,command,noisy,crf_07,9
samples/crf_07/noisy/eng/eng_4.wav,command,noisy,crf_07,4
samples/crf_07/noisy/eng/eng_12.wav,command,noisy,crf_07,12
samples/crf_07/noisy/eng/eng_23.wav,command,noisy,crf_07,23
samples/crf_07/noisy/eng/eng_2.wav,command,noisy,crf_07,2
samples/crf_07/noisy/eng/eng_25.wav,command,noisy,crf_07,25
samples/crf_07/noisy/eng/eng_16.wav,command,noisy,crf_07,16
samples/crf_07/noisy/eng/eng_18.wav,command,noisy,crf_07,18
samples/crf_07/noisy/eng/eng_6.wav,command,noisy,crf_07,6
samples/crf_07/noisy/eng/eng_3.wav,command,noisy,crf_07,3
samples/crf_07/noisy/eng/eng_13.wav,command,noisy,crf_07,13
samples/crf_07/noisy/eng/eng_28.wav,command,noisy,crf_07,28
samples/crf_07/noisy/eng/eng_5.wav,command,noisy,crf_07,5
samples/crf_07/noisy/eng/eng_26.wav,command,noisy,crf_07,26
samples/crf_07/noisy/eng/eng_7.wav,command,noisy,crf_07,7
samples/crf_07/noisy/eng/eng_11.wav,command,noisy,crf_07,11
samples/crf_07/noisy/eng/eng_30.wav,command,noisy,crf_07,30
samples/crf_07/noisy/eng/eng_0.wav,command,noisy,crf_07,0
samples/crf_07/noisy/eng/eng_27.wav,command,noisy,crf_07,27
samples/crf_07/noisy/eng/eng_21.wav,command,noisy,crf_07,21
samples/crf_07/noisy/eng/eng_19.wav,command,noisy,crf_07,19
samples/crf_07/noisy/eng/eng_20.wav,command,noisy,crf_07,20
samples/crf_07/noisy/eng/eng_24.wav,command,noisy,crf_07,24
samples/crf_07/noisy/eng/eng_8.wav,command,noisy,crf_07,8
samples/crf_07/noisy/eng/eng_10.wav,command,noisy,crf_07,10
samples/fr_1/noisy/eng/eng_17.wav,command,noisy,fr_1,17
samples/fr_1/noisy/eng/eng_29.wav,command,noisy,fr_1,29
samples/fr_1/noisy/eng/eng_1.wav,command,noisy,fr_1,1
samples/fr_1/noisy/eng/eng_14.wav,command,noisy,fr_1,14
samples/fr_1/noisy/eng/eng_15.wav,command,noisy,fr_1,15
samples/fr_1/noisy/eng/eng_22.wav,command,noisy,fr_1,22
samples/fr_1/noisy/eng/eng_9.wav,command,noisy,fr_1,9
samples/fr_1/noisy/eng/eng_4.wav,command,noisy,fr_1,4
samples/fr_1/noisy/eng/eng_12.wav,command,noisy,fr_1,12
samples/fr_1/noisy/eng/eng_23.wav,command,noisy,fr_1,23
samples/fr_1/noisy/eng/eng_2.wav,command,noisy,fr_1,2
samples/fr_1/noisy/eng/eng_25.wav,command,noisy,fr_1,25
samples/fr_1/noisy/eng/eng_16.wav,command,noisy,fr_1,16
samples/fr_1/noisy/eng/eng_18.wav,command,noisy,fr_1,18
samples/fr_1/noisy/eng/eng_6.wav,command,noisy,fr_1,6
samples/fr_1/noisy/eng/eng_3.wav,command,noisy,fr_1,3
samples/fr_1/noisy/eng/eng_13.wav,command,noisy,fr_1,13
samples/fr_1/noisy/eng/eng_28.wav,command,noisy,fr_1,28
samples/fr_1/noisy/eng/eng_5.wav,command,noisy,fr_1,5
samples/fr_1/noisy/eng/eng_26.wav,command,noisy,fr_1,26
samples/fr_1/noisy/eng/eng_7.wav,command,noisy,fr_1,7
samples/fr_1/noisy/eng/eng_11.wav,command,noisy,fr_1,11
samples/fr_1/noisy/eng/eng_30.wav,command,noisy,fr_1,30
samples/fr_1/noisy/eng/eng_0.wav,command,noisy,fr_1,0
samples/fr_1/noisy/eng/eng_27.wav,command,noisy,fr_1,27
samples/fr_1/noisy/eng/eng_21.wav,command,noisy,fr_1,21
samples/fr_1/noisy/eng/eng_19.wav,command,noisy,fr_1,19
samples/fr_1/noisy/eng/eng_20.wav,command,noisy,fr_1,20
samples/fr_1/noisy/eng/eng_24.wav,command,noisy,fr_1,24
samples/fr_1/noisy/eng/eng_8.wav,command,noisy,fr_1,8
samples/fr_1/noisy/eng/eng_10.wav,command,noisy,fr_1,10
samples/crf_06/noisy/eng/eng_17.wav,command,noisy,crf_06,17
samples/crf_06/noisy/eng/eng_29.wav,command,noisy,crf_06,29
samples/crf_06/noisy/eng/eng_1.wav,command,noisy,crf_06,1
samples/crf_06/noisy/eng/eng_14.wav,command,noisy,crf_06,14
samples/crf_06/noisy/eng/eng_15.wav,command,noisy,crf_06,15
samples/crf_06/noisy/eng/eng_22.wav,command,noisy,crf_06,22
samples/crf_06/noisy/eng/eng_9.wav,command,noisy,crf_06,9
samples/crf_06/noisy/eng/eng_4.wav,command,noisy,crf_06,4
samples/crf_06/noisy/eng/eng_12.wav,command,noisy,crf_06,12
samples/crf_06/noisy/eng/eng_23.wav,command,noisy,crf_06,23
samples/crf_06/noisy/eng/eng_2.wav,command,noisy,crf_06,2
samples/crf_06/noisy/eng/eng_25.wav,command,noisy,crf_06,25
samples/crf_06/noisy/eng/eng_16.wav,command,noisy,crf_06,16
samples/crf_06/noisy/eng/eng_18.wav,command,noisy,crf_06,18
samples/crf_06/noisy/eng/eng_6.wav,command,noisy,crf_06,6
samples/crf_06/noisy/eng/eng_3.wav,command,noisy,crf_06,3
