path,type,subtype,speaker,command,snr
samples/crf_07/noisy/ita/ita_28.wav,command,noisy,crf_07,28,-9
samples/crf_07/noisy/ita/ita_25.wav,command,noisy,crf_07,25,-3
samples/crf_07/noisy/ita/ita_14.wav,command,noisy,crf_07,14,-10
samples/crf_07/noisy/ita/ita_19.wav,command,noisy,crf_07,19,-9
samples/crf_07/noisy/ita/ita_23.wav,command,noisy,crf_07,23,1
samples/crf_07/noisy/ita/ita_22.wav,command,noisy,crf_07,22,0
samples/crf_07/noisy/ita/ita_11.wav,command,noisy,crf_07,11,-5
samples/crf_07/noisy/ita/ita_4.wav,command,noisy,crf_07,4,-2
samples/crf_07/noisy/ita/ita_12.wav,command,noisy,crf_07,12,-2
samples/crf_07/noisy/ita/ita_29.wav,command,noisy,crf_07,29,-2
samples/crf_07/noisy/ita/ita_9.wav,command,noisy,crf_07,9,-4
samples/crf_07/noisy/ita/ita_21.wav,command,noisy,crf_07,21,-3
samples/crf_07/noisy/ita/ita_30.wav,command,noisy,crf_07,30,-1
samples/crf_07/noisy/ita/ita_26.wav,command,noisy,crf_07,26,-5
samples/crf_07/noisy/ita/ita_7.wav,command,noisy,crf_07,7,-7
samples/crf_07/noisy/ita/ita_15.wav,command,noisy,crf_07,15,-10
samples/crf_07/noisy/ita/ita_8.wav,command,noisy,crf_07,8,0
samples/crf_07/noisy/ita/ita_18.wav,command,noisy,crf_07,18,-3
samples/crf_07/noisy/ita/ita_0.wav,command,noisy,crf_07,0,-3
samples/crf_07/noisy/ita/ita_2.wav,command,noisy,crf_07,2,-5
samples/crf_07/noisy/ita/ita_16.wav,command,noisy,crf_07,16,-7
samples/crf_07/noisy/ita/ita_5.wav,command,noisy,crf_07,5,-7
samples/crf_07/noisy/ita/ita_10.wav,command,noisy,crf_07,10,-5
samples/crf_07/noisy/ita/ita_6.wav,command,noisy,crf_07,6,-9
samples/crf_07/noisy/ita/ita_27.wav,command,noisy,crf_07,27,-5
samples/crf_07/noisy/ita/ita_13.wav,command,noisy,crf_07,13,-13
samples/crf_07/noisy/ita/ita_20.wav,command,noisy,crf_07,20,1
samples/crf_07/noisy/ita/ita_24.wav,command,noisy,crf_07,24,-18
samples/crf_07/noisy/ita/ita_17.wav,command,noisy,crf_07,17,-2
samples/crf_07/noisy/ita/ita_1.wav,command,noisy,crf_07,1,-3
samples/crf_07/noisy/ita/ita_3.wav,command,noisy,crf_07,3,-6
samples/crf_07/clean/ita/ita_28.wav,command,clean,crf_07,28,17
samples/crf_07/clean/ita/ita_25.wav,command,clean,crf_07,25,15
samples/crf_07/clean/ita/ita_14.wav,command,clean,crf_07,14,18
samples/crf_07/clean/ita/ita_19.wav,command,clean,crf_07,19,16
samples/crf_07/clean/ita/ita_23.wav,command,clean,crf_07,23,0
samples/crf_07/clean/ita/ita_22.wav,command,clean,crf_07,22,19
samples/crf_07/clean/ita/ita_11.wav,command,clean,crf_07,11,17
samples/crf_07/clean/ita/ita_4.wav,command,clean,crf_07,4,16
samples/crf_07/clean/ita/ita_12.wav,command,clean,crf_07,12,12
samples/crf_07/clean/ita/ita_29.wav,command,clean,crf_07,29,19
samples/crf_07/clean/ita/ita_9.wav,command,clean,crf_07,9,16
samples/crf_07/clean/ita/ita_21.wav,command,clean,crf_07,21,25
samples/crf_07/clean/ita/ita_30.wav,command,clean,crf_07,30,17
samples/crf_07/clean/ita/ita_26.wav,command,clean,crf_07,26,14
samples/crf_07/clean/ita/ita_7.wav,command,clean,crf_07,7,16
samples/crf_07/clean/ita/ita_15.wav,command,clean,crf_07,15,21
samples/crf_07/clean/ita/ita_8.wav,command,clean,crf_07,8,14
samples/crf_07/clean/ita/ita_18.wav,command,clean,crf_07,18,16
