,eng
Increase the illumination,29
Decrease the illumination,29
Increase the height,29
Decrease the height,29
Increase the inclination,29
Decrease the inclination,29
Bring me the gun screwdriver,29
Take the gun screwdriver,29
Bring me the elbow screwdriver,29
Take the elbow screwdriver,29
Bring me the hammer,29
Take the hammer,29
Bring me the screwdriver,29
Take the screwdriver,29
Bring me the lever,29
Take the lever,29
Bring me the windows control panel,29
Take the windows control panel,29
Bring me the rearview mirror,29
Take the rearview mirror,29
Release,29
Come here,29
Go,29
Start,29
Stop,29
Move to the right,29
Move to the left,29
Move up,29
Move down,29
Move forward,29
Move backward,29
