,eng
Increase the illumination,17
Decrease the illumination,17
Increase the height,17
Decrease the height,17
Increase the inclination,17
Decrease the inclination,17
Bring me the gun screwdriver,17
Take the gun screwdriver,17
Bring me the elbow screwdriver,17
Take the elbow screwdriver,17
Bring me the hammer,17
Take the hammer,17
Bring me the screwdriver,17
Take the screwdriver,17
Bring me the lever,17
Take the lever,17
Bring me the windows control panel,12
Take the windows control panel,12
Bring me the rearview mirror,12
Take the rearview mirror,12
Release,12
Come here,10
Go,11
Start,9
Stop,11
Move to the right,9
Move to the left,17
Move up,17
Move down,17
Move forward,17
Move backward,17
