,ita
Più luce,3
Meno luce,3
Più alto,3
Più basso,3
Più inclinato,3
Meno inclinato,3
Portami l'avvitatore elettrico,3
Prendi l'avvitatore elettrico,3
Portami l'avvitatore a gomito,3
Prendi l'avvitatore a gomito,3
Portami il martello,3
Prendi il martello,3
Portami il cacciavite,3
Prendi il cacciavite,3
Portami la leva,3
Prendi la leva,3
Portami la mostrina comandi,3
Prendi la mostrina comandi,3
Portami lo specchietto retrovisore,3
Prendi lo specchietto retrovisore,3
Rilascia,3
Vieni,2
Libero,2
Start,0
Stop,2
Vai a destra,2
Vai a sinistra,3
Vai su,3
Vai giù,3
Vai avanti,3
Vai indietro,3
