path,type,subtype,speaker,command
rejects/eng/common_voice_en_18826620.wav,reject,mozilla,unknown,31
rejects/eng/common_voice_en_19152197.wav,reject,mozilla,unknown,31
rejects/eng/common_voice_en_21890185.wav,reject,mozilla,unknown,31
rejects/eng/common_voice_en_19652859.wav,reject,mozilla,unknown,31
rejects/eng/common_voice_en_20021227.wav,reject,mozilla,unknown,31
rejects/eng/common_voice_en_18314945.wav,reject,mozilla,unknown,31
rejects/eng/common_voice_en_23359260.wav,reject,mozilla,unknown,31
rejects/eng/common_voice_en_18971105.wav,reject,mozilla,unknown,31
rejects/eng/common_voice_en_19724483.wav,reject,mozilla,unknown,31
rejects/eng/common_voice_en_20235884.wav,reject,mozilla,unknown,31
rejects/eng/common_voice_en_20689205.wav,reject,mozilla,unknown,31
rejects/eng/common_voice_en_19959626.wav,reject,mozilla,unknown,31
rejects/eng/common_voice_en_20296812.wav,reject,mozilla,unknown,31
rejects/eng/common_voice_en_22970883.wav,reject,mozilla,unknown,31
rejects/eng/common_voice_en_22854628.wav,reject,mozilla,unknown,31
rejects/eng/common_voice_en_19764961.wav,reject,mozilla,unknown,31
rejects/eng/common_voice_en_19993268.wav,reject,mozilla,unknown,31
rejects/eng/common_voice_en_19783423.wav,reject,mozilla,unknown,31
rejects/eng/common_voice_en_19603794.wav,reject,mozilla,unknown,31
rejects/eng/common_voice_en_21307210.wav,reject,mozilla,unknown,31
rejects/eng/common_voice_en_19608204.wav,reject,mozilla,unknown,31
rejects/eng/common_voice_en_22745795.wav,reject,mozilla,unknown,31
rejects/eng/common_voice_en_19596562.wav,reject,mozilla,unknown,31
rejects/eng/common_voice_en_23380849.wav,reject,mozilla,unknown,31
rejects/eng/common_voice_en_20023597.wav,reject,mozilla,unknown,31
rejects/eng/common_voice_en_213861.wav,reject,mozilla,unknown,31
rejects/eng/common_voice_en_203749.wav,reject,mozilla,unknown,31
rejects/eng/common_voice_en_218409.wav,reject,mozilla,unknown,31
rejects/eng/common_voice_en_20303883.wav,reject,mozilla,unknown,31
rejects/eng/common_voice_en_18554437.wav,reject,mozilla,unknown,31
rejects/eng/common_voice_en_19184941.wav,reject,mozilla,unknown,31
rejects/eng/common_voice_en_21297248.wav,reject,mozilla,unknown,31
rejects/eng/common_voice_en_19802538.wav,reject,mozilla,unknown,31
rejects/eng/common_voice_en_20905661.wav,reject,mozilla,unknown,31
rejects/eng/common_voice_en_19638753.wav,reject,mozilla,unknown,31
rejects/eng/common_voice_en_19723332.wav,reject,mozilla,unknown,31
