speaker,gender,age,eng_cmds,ita_cmds
1299468493,Female,['20-30'],2,31
1883652161,Female,['40-50'],2,26
1248322316,Female,['20-30'],0,0
714497549,Male,['20-30'],0,0
2123570996,Female,['40-50'],2,26
769426504,Female,['30-40'],29,30
1237313710,Female,['20-30'],2,26
551316026,Male,['20-30'],2,26
366052369,Male,['20-30'],31,31
694611773,['20-30'],['20-30'],2,26
492297965,Female,['50-60'],2,26
2104479730,,,0,0
2126502572,Male,['60-70'],26,2
466977274,Male,['20-30'],26,26
159219157,,,0,0
2112819853,Male,['20-30'],26,28
1520141330,Male,['20-30'],31,31
696351228,Male,['20-30'],21,23
1936687856,Female,['20-30'],26,26
932926412,,,0,0
911154958,Male,['40-50'],26,26
691062738,,,0,0
573888762,Male,['10-20'],26,27
145347160,Male,['20-30'],2,26
198584602,Female,['20-30'],2,31
1086043658,Female,['20-30'],26,26
2115610208,Female,['50-60'],26,26
899529674,Female,['20-30'],2,26
1005594640,Male,['20-30'],2,31
408741209,,,0,0
2145431989,Male,['40-50'],26,26
767610558,Female,['20-30'],26,28
914604355,Female,['10-20'],26,28
500947574,Male,['20-30'],26,28
2140135041,Female,['20-30'],26,2
858931616,Male,['20-30'],0,0
235766480,both,Male,0,0
132762273,Male,['20-30'],26,28
1145359176,Female,['40-50'],2,26
232282882,Male,['10-20'],26,26
1944030722,Female,['40-50'],2,26
179847597,Male,['20-30'],2,31
538507591,Male,['20-30'],31,31
432184911,Male,['20-30'],31,31
1908497562,Male,['10-20'],26,28
2144627614,Female,['30-40'],26,26
398950440,,,0,0
298552117,Male,['20-30'],2,31
571275450,Female,['20-30'],2,31
1284329670,Female,['20-30'],2,28
440886599,,,0,0
1124862293,Female,['10-20'],0,0
802314253,Male,['20-30'],2,26
184960439,Male,['20-30'],2,26
698176020,both,Female,31,31
692151419,Female,['20-30'],26,26
1780966140,Female,['30-40'],26,26
238808563,both,Male,1,21
2129142900,Male,['20-30'],26,2
111941969,,,0,0
388942547,Male,['20-30'],31,31
1691433332,ita,['10-20'],0,0
202738934,Male,['20-30'],26,26
1609876882,Female,['20-30'],26,26
2045192328,Male,['50-60'],26,26
5006572278,Male,['40-50'],2,31
757577790,Male,['20-30'],16,16
937390897,Female,['30-40'],2,31
29503691,Male,['20-30'],26,26
592391617,Male,['30-40'],25,26
323966352,Male,['20-30'],26,26
30368201,Female,['20-30'],2,28
1415529430,Female,['20-30'],2,26
370932516,Male,['20-30'],1,15
168283555,,,0,0
2107613029,,,0,0
1230421796,Male,['20-30'],26,27
1108558952,,,0,0
2114178392,Female,['50-60'],26,2
924061663,Male,['20-30'],1,24
279297158,Female,['20-30'],2,26
1169965382,Male,['20-30'],0,0
445686566,Female,['20-30'],2,26
611850050,Male,['20-30'],1,6
1863268171,Female,['20-30'],26,26
2127261933,Female,['20-30'],26,2
2146007936,Female,['40-50'],26,26
690728394,ita,Male,2,31
222556755,Male,['20-30'],26,28
547151431,Male,['20-30'],0,0
1430746625,Female,['20-30'],2,26
5093320195,Female,['20-30'],2,28
2128855261,Female,['50-60'],26,26
617568216,Male,['10-20'],31,31
190987356,Male,['20-30'],2,26
48724485,Male,['20-30'],2,31
1770776685,Male,['40-50'],26,26
5097115863,Male,['50-60'],2,26
1477981437,Female,['20-30'],0,0
1314783113,Male,['20-30'],26,26
133699592,Male,['20-30'],26,26
322249374,Male,['20-30'],26,28
1095491263,ita,Female,2,26
862086657,Male,['20-30'],0,0
199231711,Male,['20-30'],2,26
282583630,,,0,0
1525639750,Female,['20-30'],26,26
697081431,Female,['30-40'],31,31
2123568595,Female,['40-50'],27,28
1953034279,Male,['20-30'],2,26
269423705,Female,['20-30'],26,26
450792836,Male,['10-20'],0,5
268005350,Male,['20-30'],31,31
2055098585,Male,['70-80'],26,26
1028780533,Male,['20-30'],2,26
1285823216,,,0,0
190682718,Male,['20-30'],2,31
706553514,Male,['20-30'],24,26
1552509924,Female,['20-30'],0,0
673586351,Male,['10-20'],2,26
443061286,Female,Female,26,28
891999531,Female,['20-30'],2,31
1304767958,Male,['20-30'],2,31
1018280957,Female,['20-30'],0,6
1240446866,Male,['20-30'],2,26
950255171,Female,['20-30'],26,26
946730582,Male,['20-30'],31,31
985961747,Female,['40-50'],2,26
1674211275,,,0,0
2118597066,Female,['40-50'],26,28
621434009,Male,['20-30'],3,2
765587623,Female,['20-30'],2,31
554250630,ita,Female,0,0
1620513764,,,0,0
2143985449,Female,['40-50'],2,26
407575728,Male,['20-30'],26,26
444849738,Male,['20-30'],0,0
580130061,Male,['20-30'],31,31
623691937,Female,['20-30'],2,31
757906339,Male,['20-30'],2,26
556469931,Male,['20-30'],2,31
121876938,Male,['60-70'],1,5
1357309131,Female,['60-70'],0,0
279763508,Female,['20-30'],26,26
583884562,Male,['70-80'],0,0
5062859821,Female,['50-60'],2,28
2144585557,ita,ita,0,0
1630728501,Female,['10-20'],26,27
2144090201,Female,['30-40'],26,26
1216559213,Female,['40-50'],0,0
779117346,Male,Male,26,26
802288530,Male,['30-40'],31,31
1785329822,Female,['50-60'],26,26
1067240777,Female,['20-30'],10,7
406576777,Male,['20-30'],31,31
1069744512,Male,['50-60'],2,26
436294034,Male,['20-30'],2,28
282273095,Male,['20-30'],31,31
1483207948,Male,['40-50'],26,26
842899160,Female,['20-30'],5,6
1254765304,Male,['20-30'],31,31
347330299,ita,['80-90'],2,26
630722423,Male,['20-30'],31,31
409714222,Male,['20-30'],2,31
63445529,Male,['20-30'],26,28
5003958420,Male,['20-30'],31,2
163426269,Male,['20-30'],0,0
604202480,Male,['20-30'],26,26
334596431,both,Female,31,31
1310061555,Female,['60-70'],2,1
1385338327,Female,['40-50'],26,26
892001330,Male,['20-30'],2,31
352792887,Male,['20-30'],31,31
1035156532,Female,['30-40'],2,28
1323114146,both,Female,2,28
589084963,Male,['20-30'],8,10
1615114759,Female,['20-30'],0,0
395387919,Female,['20-30'],2,26
233601088,Female,['40-50'],2,26
1153299253,Female,['30-40'],26,28
238016822,Male,['20-30'],2,28
166000575,Male,['20-30'],31,31
122704679,Male,['20-30'],3,3
2012725217,,,0,0
957543608,Male,['30-40'],26,26
1092209077,Male,['20-30'],3,2
377989503,,,0,0
539069251,Male,['20-30'],8,8
2114682518,Female,['50-60'],2,28
738867743,Male,['10-20'],26,26
247786014,Male,['20-30'],2,31
559248021,Male,['20-30'],26,28
1064283897,Female,['20-30'],2,26
2125472936,Female,['50-60'],2,26
827299942,Female,['20-30'],0,0
927800987,Male,['20-30'],2,31
523906610,Male,['30-40'],31,31
1700542692,Female,['20-30'],1,20
340310580,Male,['20-30'],2,31
834582285,Male,['20-30'],5,5
365307573,Male,['20-30'],31,31
2025799315,Female,['40-50'],22,22
727092146,Male,['20-30'],2,31
867055321,Female,['20-30'],15,17
224710733,Male,['20-30'],26,28
2129470480,Male,['60-70'],2,26
1306913040,Male,['10-20'],26,26
709629456,ita,['20-30'],0,0
267561261,Male,['20-30'],26,26
1908394421,Female,Female,26,26
799304191,both,both,0,0
189585663,Male,['50-60'],0,0
1286262491,Female,['10-20'],0,0
1864451770,Female,['20-30'],0,10
445789300,Female,['20-30'],2,31
357011102,ita,Male,2,26
954034949,Male,Male,0,0
2121819999,Female,Female,26,28
694887817,Male,['20-30'],26,26
142490997,Male,['20-30'],26,26
134001349,Male,['20-30'],26,26
362625280,Male,['20-30'],29,30
377577537,Female,['50-60'],2,5
649434306,Female,['10-20'],0,0
1212263007,Male,['20-30'],2,28
1179001292,both,Male,31,31
540534542,Male,['30-40'],15,16
1506793015,Female,['60-70'],26,26
296821092,Male,['20-30'],29,31
2120045280,Female,['30-40'],1,5
1544136214,Female,['50-60'],2,31
67354644,,,0,0
573851046,,,0,0
924592135,,,0,0
881567288,Male,['30-40'],2,28
507870188,Female,['10-20'],2,28
2109142388,Female,['40-50'],26,26
2114791016,Female,['10-20'],31,31
747267779,Male,['30-40'],31,31
787588380,Female,['20-30'],26,26
179492157,Male,['20-30'],31,31
2144719944,Female,['40-50'],0,8
2104392071,ita,Male,2,26
1202998179,Female,['10-20'],26,26
2080397916,Female,['20-30'],31,31
1784612953,Female,['20-30'],26,28
1153694021,Male,['30-40'],31,31
719438104,Male,['20-30'],26,26
873992744,Male,['20-30'],26,26
322245354,Male,['20-30'],14,15
2112358607,Female,['40-50'],9,9
1364524938,Female,['20-30'],2,28
482000749,Male,['20-30'],26,28
97417730,Male,['20-30'],6,5
208525704,both,Male,2,28
568501332,both,Female,0,0
1132842894,Female,['40-50'],26,26
94638325,Male,['20-30'],26,26
2066516850,Male,['40-50'],26,26
2058616,Male,['30-40'],26,26
225920774,Male,['20-30'],2,13
1659685150,Female,['10-20'],2,31
2089995001,Female,['40-50'],26,28
1238418523,Female,['60-70'],0,0
2131190666,Female,['20-30'],2,26
5520968966,Male,['20-30'],31,2
1224730345,Male,Male,26,26
1069977120,Male,['20-30'],0,0
189947376,Male,['20-30'],14,16
1889914753,Female,['20-30'],26,26
1276203341,Female,['20-30'],2,28
