path,type,subtype,speaker,command,gender,age
commands/0d2bcf9d/eng/eng_24_1.wav,command,google,0d2bcf9d,24,,
synthetics/azure/neural/eng/MollyNeural_15.wav,synthetic,azure_neural,MollyNeural,15,Female,
synthetics/google/neural/eng/US_Standard_J_cmd24.wav,synthetic,google_neural,google_male,24,Male,
commands/589084963/eng/eng_25.wav,command,telegram_bot,589084963,25,Male,['20-30']
synthetics/polly/neural/eng/Ivy_8.wav,synthetic,polly_neural,Ivy,8,Female,
synthetics/polly/standard/eng/Ivy_25.wav,synthetic,polly_standard,Ivy,25,Female,
rejects/eng/dog_d91a159e_nohash_0.wav,reject,google,d91a159e,31,,
rejects/eng/eight_89f3ab7d_nohash_0.wav,reject,google,89f3ab7d,31,,
commands/8012c69d/eng/eng_24_2.wav,command,google,8012c69d,24,,
rejects/eng/on_951cac20_nohash_1.wav,reject,google,951cac20,31,,
rejects/eng/sheila_41dce6f5_nohash_0.wav,reject,google,41dce6f5,31,,
rejects/eng/no_471a0925_nohash_4.wav,reject,google,471a0925,31,,
rejects/eng/four_caedb73a_nohash_0.wav,reject,google,caedb73a,31,,
commands/40115b19/eng/eng_22_0.wav,command,google,40115b19,22,,
synthetics/google/standard/eng/IN_Wavenet_B_cmd17.wav,synthetic,google_standard,google_male,17,Male,
synthetics/google/standard/eng/GB_Neural2_C_cmd28.wav,synthetic,google_standard,google_male,28,Male,
rejects/eng/seven_a8ee11c7_nohash_0.wav,reject,google,a8ee11c7,31,,
rejects/eng/common_voice_en_19676435.wav,reject,mozilla,unknown,31,,
rejects/eng/common_voice_en_19238911.wav,reject,mozilla,unknown,31,,
rejects/eng/common_voice_en_19767406.wav,reject,mozilla,unknown,31,,
rejects/eng/six_d9d6559e_nohash_0.wav,reject,google,d9d6559e,31,,
commands/2146007936/eng/eng_12.wav,command,telegram_bot,2146007936,12,Female,['40-50']
commands/2127261933/eng/eng_27.wav,command,telegram_bot,2127261933,27,Female,['20-30']
rejects/eng/bed_f104f742_nohash_2.wav,reject,google,f104f742,31,,
rejects/eng/common_voice_en_20994102.wav,reject,mozilla,unknown,31,,
rejects/eng/happy_f4c77b26_nohash_1.wav,reject,google,f4c77b26,31,,
synthetics/azure/neural/eng/EricNeural_20.wav,synthetic,azure_neural,EricNeural,20,Female,
synthetics/azure/neural/eng/JennyNeural_7.wav,synthetic,azure_neural,JennyNeural,7,Female,
commands/8c3c4715/eng/eng_24_0.wav,command,google,8c3c4715,24,,
rejects/eng/marvin_ab5ae445_nohash_1.wav,reject,google,ab5ae445,31,,
commands/282273095/eng/eng_3.wav,command,telegram_bot,282273095,3,Male,['20-30']
rejects/eng/common_voice_en_19944696.wav,reject,mozilla,unknown,31,,
rejects/eng/common_voice_en_19964439.wav,reject,mozilla,unknown,31,,
commands/7cf14c54/eng/eng_24_0.wav,command,google,7cf14c54,24,,
synthetics/naturalreaders/neural/eng/mike_us_22.wav,synthetic,naturalreaders_neural,mike,22,Female,
commands/5c8af87a/eng/eng_24_3.wav,command,google,5c8af87a,24,,
commands/61a9f72a/eng/eng_24_0.wav,command,google,61a9f72a,24,,
commands/d933bf5e/eng/eng_22_1.wav,command,google,d933bf5e,22,,
