path,type,subtype,speaker,command
rejects/eng/sheila_d1d3e64d_nohash_0.wav,reject,google,d1d3e64d,31
synthetics/vocalware/neural/eng/engine2_voice5_cmd18.wav,synthetic,vocalware_neural,engine2,18
commands/118261a9/eng/eng_22_1.wav,command,google,118261a9,22
rejects/eng/five_bfbd0e6b_nohash_1.wav,reject,google,bfbd0e6b,31
rejects/eng/marvin_d53e25ba_nohash_0.wav,reject,google,d53e25ba,31
synthetics/polly/standard/eng/Emma_30.wav,synthetic,polly_standard,Emma,30
commands/2114178392/eng/eng_13.wav,command,telegram_bot,2114178392,13
commands/c1d39ce8/eng/eng_22_9.wav,command,google,c1d39ce8,22
synthetics/google/neural/eng/GB_Standard_C_cmd20.wav,synthetic,google_neural,GB_Standard_C,20
synthetics/naturalreaders/neural/eng/peter_en_27.wav,synthetic,naturalreaders_neural,peter,27
commands/41777abb/eng/eng_22_0.wav,command,google,41777abb,22
commands/5be23def/eng/eng_22_0.wav,command,google,5be23def,22
commands/17c94b23/eng/eng_22_0.wav,command,google,17c94b23,22
rejects/eng/seven_9f22307d_nohash_0.wav,reject,google,9f22307d,31
commands/98447c43/eng/eng_24_1.wav,command,google,98447c43,24
rejects/eng/zero_dbaf8fc6_nohash_0.wav,reject,google,dbaf8fc6,31
commands/1a6eca98/eng/eng_24_0.wav,command,google,1a6eca98,24
synthetics/vocalware/neural/eng/engine2_voice11_cmd30.wav,synthetic,vocalware_neural,engine2,30
commands/2144090201/eng/eng_23.wav,command,telegram_bot,2144090201,23
rejects/eng/six_8c7f81df_nohash_1.wav,reject,google,8c7f81df,31
commands/ad1429cf/eng/eng_22_2.wav,command,google,ad1429cf,22
commands/28e47b1a/eng/eng_22_4.wav,command,google,28e47b1a,22
commands/333784b7/eng/eng_22_1.wav,command,google,333784b7,22
rejects/eng/bird_f804cbb3_nohash_0.wav,reject,google,f804cbb3,31
commands/1202998179/eng/eng_1.wav,command,telegram_bot,1202998179,1
rejects/eng/seven_acde7e73_nohash_0.wav,reject,google,acde7e73,31
rejects/eng/six_b5d1e505_nohash_0.wav,reject,google,b5d1e505,31
synthetics/naturalreaders/neural/eng/heather_us_18.wav,synthetic,naturalreaders_neural,heather,18
commands/2129142900/eng/eng_9.wav,command,telegram_bot,2129142900,9
rejects/eng/one_f618568f_nohash_0.wav,reject,google,f618568f,31
rejects/eng/dog_dabf67d9_nohash_1.wav,reject,google,dabf67d9,31
rejects/eng/three_c256377f_nohash_1.wav,reject,google,c256377f,31
commands/482000749/eng/eng_11.wav,command,telegram_bot,482000749,11
synthetics/google/standard/eng/GB_Wavenet_A_cmd6.wav,synthetic,google_standard,GB_Wavenet_A,6
