path,type,subtype,speaker,command
commands/4249c833/ita/ita_24_0.wav,command,google,4249c833,24
commands/988e2f9a/ita/ita_24_0.wav,command,google,988e2f9a,24
commands/eb76bc68/ita/ita_24_0.wav,command,google,eb76bc68,24
commands/eb76bc68/ita/ita_24_1.wav,command,google,eb76bc68,24
commands/a24582a0/ita/ita_24_0.wav,command,google,a24582a0,24
commands/c53b335a/ita/ita_24_0.wav,command,google,c53b335a,24
commands/6794a793/ita/ita_24_0.wav,command,google,6794a793,24
commands/1b459024/ita/ita_24_0.wav,command,google,1b459024,24
commands/c2d74084/ita/ita_24_0.wav,command,google,c2d74084,24
commands/63996b7c/ita/ita_24_0.wav,command,google,63996b7c,24
commands/63996b7c/ita/ita_24_1.wav,command,google,63996b7c,24
commands/189947376/ita/ita_28.wav,command,telegram_bot,189947376,28
commands/189947376/ita/ita_14.wav,command,telegram_bot,189947376,14
commands/189947376/ita/ita_23.wav,command,telegram_bot,189947376,23
commands/189947376/ita/ita_22.wav,command,telegram_bot,189947376,22
commands/189947376/ita/mc_ita_17.wav,command,google,189947376,17
commands/189947376/ita/ita_4.wav,command,telegram_bot,189947376,4
commands/189947376/ita/eng_23.wav,command,telegram_bot,189947376,23
commands/189947376/ita/ita_29.wav,command,telegram_bot,189947376,29
commands/189947376/ita/ita_30.wav,command,telegram_bot,189947376,30
commands/189947376/ita/ita_7.wav,command,telegram_bot,189947376,7
commands/189947376/ita/ita_15.wav,command,telegram_bot,189947376,15
commands/189947376/ita/ita_18.wav,command,telegram_bot,189947376,18
commands/189947376/ita/ita_10.wav,command,telegram_bot,189947376,10
commands/189947376/ita/ita_6.wav,command,telegram_bot,189947376,6
commands/189947376/ita/ita_27.wav,command,telegram_bot,189947376,27
commands/189947376/ita/ita_20.wav,command,telegram_bot,189947376,20
commands/189947376/ita/ita_17.wav,command,telegram_bot,189947376,17
commands/189947376/ita/ita_1.wav,command,telegram_bot,189947376,1
commands/ce9410da/ita/ita_24_0.wav,command,google,ce9410da,24
commands/ce9410da/ita/ita_24_1.wav,command,google,ce9410da,24
commands/437455be/ita/ita_24_0.wav,command,google,437455be,24
commands/2114178392/ita/ita_23.wav,command,telegram_bot,2114178392,23
commands/2114178392/ita/eng_23.wav,command,telegram_bot,2114178392,23
