path,type,subtype,speaker,command
commands/26b28ea7/ita/ita_24_0.wav,command,google,26b28ea7,24
rejects/ita/common_voice_it_24956237.wav,reject,mozilla,unknown,31
rejects/ita/left_d8c314c0_nohash_1.wav,reject,google,d8c314c0,31
rejects/ita/one_db8a3397_nohash_2.wav,reject,google,db8a3397,31
rejects/ita/common_voice_it_24094448.wav,reject,mozilla,unknown,31
commands/1179001292/ita/ita_4.wav,command,telegram_bot,1179001292,4
commands/873992744/ita/ita_30.wav,command,telegram_bot,873992744,30
commands/282273095/ita/ita_22.wav,command,telegram_bot,282273095,22
rejects/ita/four_beb49c22_nohash_0.wav,reject,google,beb49c22,31
rejects/ita/common_voice_it_24959008.wav,reject,mozilla,unknown,31
commands/8830e17f/ita/ita_24_3.wav,command,google,8830e17f,24
rejects/ita/three_6c0f6493_nohash_4.wav,reject,google,6c0f6493,31
commands/340c8b10/ita/ita_24_0.wav,command,google,340c8b10,24
commands/2058616/ita/ita_28.wav,command,telegram_bot,2058616,28
rejects/ita/five_56f8a100_nohash_0.wav,reject,google,56f8a100,31
rejects/ita/six_e7334395_nohash_0.wav,reject,google,e7334395,31
commands/269423705/ita/ita_29.wav,command,telegram_bot,269423705,29
rejects/ita/sheila_063d48cf_nohash_0.wav,reject,google,063d48cf,31
commands/d0faf7e4/ita/ita_24_0.wav,command,google,d0faf7e4,24
commands/268005350/ita/ita_27.wav,command,telegram_bot,268005350,27
commands/432184911/ita/ita_26.wav,command,telegram_bot,432184911,26
commands/4a1e736b/ita/ita_24_2.wav,command,google,4a1e736b,24
commands/fd32732a/ita/ita_24_0.wav,command,google,fd32732a,24
rejects/ita/dog_c6a23ff5_nohash_0.wav,reject,google,c6a23ff5,31
rejects/ita/bird_fc94edb0_nohash_1.wav,reject,google,fc94edb0,31
commands/ea1f888c/ita/ita_24_0.wav,command,google,ea1f888c,24
rejects/ita/off_171b56dc_nohash_0.wav,reject,google,171b56dc,31
rejects/ita/bird_f9bdf10e_nohash_0.wav,reject,google,f9bdf10e,31
rejects/ita/four_f19c1390_nohash_0.wav,reject,google,f19c1390,31
commands/1780966140/ita/ita_4.wav,command,telegram_bot,1780966140,4
rejects/ita/one_8a744054_nohash_0.wav,reject,google,8a744054,31
rejects/ita/dog_bed06fac_nohash_0.wav,reject,google,bed06fac,31
rejects/ita/eight_aa62fdad_nohash_0.wav,reject,google,aa62fdad,31
commands/d3f22f0e/ita/ita_24_0.wav,command,google,d3f22f0e,24
rejects/ita/common_voice_it_19993135.wav,reject,mozilla,unknown,31
rejects/ita/seven_41474817_nohash_0.wav,reject,google,41474817,31
rejects/ita/yes_30802c5d_nohash_0.wav,reject,google,30802c5d,31
rejects/ita/happy_5184ed3e_nohash_1.wav,reject,google,5184ed3e,31
rejects/ita/on_3411cf4b_nohash_0.wav,reject,google,3411cf4b,31
rejects/ita/common_voice_it_27381189.wav,reject,mozilla,unknown,31
commands/dc6e9c04/ita/ita_24_0.wav,command,google,dc6e9c04,24
rejects/ita/common_voice_it_20044388.wav,reject,mozilla,unknown,31
commands/1863268171/ita/ita_25.wav,command,telegram_bot,1863268171,25
rejects/ita/on_742d6431_nohash_1.wav,reject,google,742d6431,31
rejects/ita/house_a709ddd3_nohash_0.wav,reject,google,a709ddd3,31
commands/957543608/ita/ita_14.wav,command,telegram_bot,957543608,14
rejects/ita/marvin_8a744054_nohash_0.wav,reject,google,8a744054,31
rejects/ita/up_6c429c7b_nohash_2.wav,reject,google,6c429c7b,31
rejects/ita/wow_8c3c4715_nohash_0.wav,reject,google,8c3c4715,31
commands/1520141330/ita/ita_19.wav,command,telegram_bot,1520141330,19
commands/2579e514/ita/ita_24_0.wav,command,google,2579e514,24
commands/1132842894/ita/ita_0.wav,command,telegram_bot,1132842894,0
rejects/ita/wow_605ed0ff_nohash_0.wav,reject,google,605ed0ff,31
rejects/ita/three_840c366d_nohash_0.wav,reject,google,840c366d,31
rejects/ita/yes_3aa6f4e2_nohash_0.wav,reject,google,3aa6f4e2,31
commands/296821092/ita/ita_8.wav,command,telegram_bot,296821092,8
commands/5af0ca83/ita/ita_24_1.wav,command,google,5af0ca83,24
rejects/ita/common_voice_it_20312647.wav,reject,mozilla,unknown,31
commands/7f17667c/ita/ita_24_0.wav,command,google,7f17667c,24
rejects/ita/up_2250f5f2_nohash_0.wav,reject,google,2250f5f2,31
