path,type,subtype,speaker,command,gender,age
rejects/ita/yes_fe5c4a7a_nohash_0.wav,reject,google,fe5c4a7a,31,,
rejects/eng/bird_39c13eed_nohash_1.wav,reject,google,39c13eed,31,,
rejects/ita/four_40115b19_nohash_0.wav,reject,google,40115b19,31,,
rejects/eng/seven_a1a59b72_nohash_0.wav,reject,google,a1a59b72,31,,
commands/697081431/eng/eng_10.wav,command,telegram_bot,697081431,10,Female,['30-40']
rejects/eng/two_b8872c20_nohash_0.wav,reject,google,b8872c20,31,,
commands/757577790/ita/ita_3.wav,command,telegram_bot,757577790,3,Male,['20-30']
synthetics/vocalware/neural/ita/engine2_voice2_cmd21.wav,synthetic,vocalware_neural,engine2_voice2,21,Female,
rejects/ita/common_voice_it_25648698.wav,reject,mozilla,unknown,31,,
rejects/ita/common_voice_it_19878036.wav,reject,mozilla,unknown,31,,
commands/106a6183/eng/eng_22_2.wav,command,google,106a6183,22,,
commands/72aa7259/eng/eng_22_2.wav,command,google,72aa7259,22,,
commands/f5d09ebd/eng/eng_22_0.wav,command,google,f5d09ebd,22,,
rejects/eng/wow_a3255f5c_nohash_2.wav,reject,google,a3255f5c,31,,
commands/2112819853/eng/eng_8.wav,command,telegram_bot,2112819853,8,Male,['20-30']
rejects/eng/wow_823353e5_nohash_0.wav,reject,google,823353e5,31,,
rejects/ita/no_ac7840d8_nohash_1.wav,reject,google,ac7840d8,31,,
rejects/ita/go_b46e8153_nohash_0.wav,reject,google,b46e8153,31,,
commands/757577790/ita/eng_23.wav,command,telegram_bot,757577790,23,Male,['20-30']
commands/17c94b23/eng/eng_22_0.wav,command,google,17c94b23,22,,
rejects/ita/five_ab71c9a7_nohash_0.wav,reject,google,ab71c9a7,31,,
rejects/ita/common_voice_it_21724895.wav,reject,mozilla,unknown,31,,
commands/592391617/eng/eng_11.wav,command,telegram_bot,592391617,11,Male,['30-40']
commands/443061286/ita/ita_5.wav,command,telegram_bot,443061286,5,Female,Female
rejects/eng/bed_5d9bb361_nohash_0.wav,reject,google,5d9bb361,31,,
commands/802288530/ita/ita_23.wav,command,telegram_bot,802288530,23,Male,['30-40']
rejects/ita/common_voice_it_25898723.wav,reject,mozilla,unknown,31,,
commands/735845ab/eng/eng_22_0.wav,command,google,735845ab,22,,
commands/2080397916/ita/ita_20.wav,command,telegram_bot,2080397916,20,Female,['20-30']
commands/39999a0f/eng/eng_22_0.wav,command,google,39999a0f,22,,
rejects/ita/common_voice_it_20035828.wav,reject,mozilla,unknown,31,,
commands/1385338327/ita/ita_23.wav,command,telegram_bot,1385338327,23,Female,['40-50']
rejects/eng/tree_b8872c20_nohash_0.wav,reject,google,b8872c20,31,,
rejects/eng/six_5588c7e6_nohash_2.wav,reject,google,5588c7e6,31,,
commands/88f3719f/eng/eng_24_0.wav,command,google,88f3719f,24,,
commands/2055098585/ita/ita_0.wav,command,telegram_bot,2055098585,0,Male,['70-80']
commands/694611773/ita/ita_30.wav,command,telegram_bot,694611773,30,['20-30'],['20-30']
rejects/eng/common_voice_en_20005891.wav,reject,mozilla,unknown,31,,
commands/573cdb8a/eng/eng_24_0.wav,command,google,573cdb8a,24,,
rejects/eng/common_voice_en_20272974.wav,reject,mozilla,unknown,31,,
rejects/ita/common_voice_it_25339402.wav,reject,mozilla,unknown,31,,
synthetics/azure/neural/eng/NatashaNeural_18.wav,synthetic,azure_neural,NatashaNeural,18,Female,
rejects/eng/common_voice_en_20086540.wav,reject,mozilla,unknown,31,,
rejects/ita/common_voice_it_23722986.wav,reject,mozilla,unknown,31,,
commands/2144627614/eng/eng_7.wav,command,telegram_bot,2144627614,7,Female,['30-40']
rejects/eng/happy_e0322f2c_nohash_0.wav,reject,google,e0322f2c,31,,
synthetics/polly/standard/eng/Russell_18.wav,synthetic,polly_standard,Russell,18,Male,
synthetics/polly/standard/eng/Raveena_20.wav,synthetic,polly_standard,Raveena,20,Female,
rejects/eng/sheila_022cd682_nohash_1.wav,reject,google,022cd682,31,,
rejects/eng/five_659b7fae_nohash_0.wav,reject,google,659b7fae,31,,
commands/697081431/ita/ita_4.wav,command,telegram_bot,697081431,4,Female,['30-40']
