path,type,subtype,speaker,command
commands/1035156532/ita/ita_0.wav,command,telegram_bot,1035156532,0
commands/89ed36ab/ita/ita_24_0.wav,command,google,89ed36ab,24
commands/afd53389/ita/ita_24_0.wav,command,google,afd53389,24
rejects/ita/right_f06190c1_nohash_1.wav,reject,google,f06190c1,31
rejects/ita/up_4c841771_nohash_3.wav,reject,google,4c841771,31
commands/1520141330/ita/ita_21.wav,command,telegram_bot,1520141330,21
commands/563aa4e6/ita/ita_24_1.wav,command,google,563aa4e6,24
commands/093f65a1/ita/ita_24_0.wav,command,google,093f65a1,24
commands/233601088/ita/ita_13.wav,command,telegram_bot,233601088,13
rejects/ita/up_c634a189_nohash_2.wav,reject,google,c634a189,31
commands/184960439/ita/ita_30.wav,command,telegram_bot,184960439,30
commands/538507591/ita/ita_24.wav,command,telegram_bot,538507591,24
commands/2066516850/ita/ita_1.wav,command,telegram_bot,2066516850,1
commands/323966352/ita/ita_27.wav,command,telegram_bot,323966352,27
rejects/ita/wow_ab5ae445_nohash_1.wav,reject,google,ab5ae445,31
commands/b3327675/ita/ita_24_2.wav,command,google,b3327675,24
rejects/ita/nine_7625dcf7_nohash_0.wav,reject,google,7625dcf7,31
rejects/ita/cat_4249c833_nohash_0.wav,reject,google,4249c833,31
commands/2143985449/ita/ita_2.wav,command,telegram_bot,2143985449,2
commands/190682718/ita/ita_11.wav,command,telegram_bot,190682718,11
commands/c1d39ce8/ita/ita_24_3.wav,command,google,c1d39ce8,24
commands/30368201/ita/ita_7.wav,command,telegram_bot,30368201,7
rejects/ita/cat_dbb7723a_nohash_0.wav,reject,google,dbb7723a,31
commands/2131190666/ita/ita_30.wav,command,telegram_bot,2131190666,30
rejects/ita/right_190821dc_nohash_2.wav,reject,google,190821dc,31
rejects/ita/eight_66aa0f29_nohash_0.wav,reject,google,66aa0f29,31
rejects/ita/eight_e10e2cbb_nohash_0.wav,reject,google,e10e2cbb,31
rejects/ita/go_778a4a01_nohash_1.wav,reject,google,778a4a01,31
rejects/ita/happy_cb2929ce_nohash_0.wav,reject,google,cb2929ce,31
commands/1525639750/ita/ita_26.wav,command,telegram_bot,1525639750,26
commands/9ff2d2f4/ita/ita_24_0.wav,command,google,9ff2d2f4,24
rejects/ita/left_d8ed3745_nohash_0.wav,reject,google,d8ed3745,31
commands/1700542692/ita/ita_30.wav,command,telegram_bot,1700542692,30
rejects/ita/on_8e05039f_nohash_3.wav,reject,google,8e05039f,31
rejects/ita/wow_f3957e23_nohash_1.wav,reject,google,f3957e23,31
rejects/ita/five_65d81c54_nohash_0.wav,reject,google,65d81c54,31
commands/145347160/ita/ita_2.wav,command,telegram_bot,145347160,2
rejects/ita/five_02746d24_nohash_0.wav,reject,google,02746d24,31
rejects/ita/no_7cb5c0b7_nohash_1.wav,reject,google,7cb5c0b7,31
commands/bfdb9801/ita/ita_24_0.wav,command,google,bfdb9801,24
commands/551316026/ita/ita_9.wav,command,telegram_bot,551316026,9
rejects/ita/wow_bbd0bbd0_nohash_0.wav,reject,google,bbd0bbd0,31
commands/2055098585/ita/ita_12.wav,command,telegram_bot,2055098585,12
rejects/ita/left_5d9bb361_nohash_0.wav,reject,google,5d9bb361,31
commands/1284329670/ita/ita_0.wav,command,telegram_bot,1284329670,0
commands/179492157/ita/ita_3.wav,command,telegram_bot,179492157,3
commands/782c1305/ita/ita_24_0.wav,command,google,782c1305,24
commands/c2bc4489/ita/ita_24_0.wav,command,google,c2bc4489,24
commands/2118597066/ita/ita_4.wav,command,telegram_bot,2118597066,4
rejects/ita/tree_a4c938ce_nohash_1.wav,reject,google,a4c938ce,31
commands/551316026/ita/ita_23.wav,command,telegram_bot,551316026,23
rejects/ita/nine_f618568f_nohash_0.wav,reject,google,f618568f,31
rejects/ita/nine_324210dd_nohash_0.wav,reject,google,324210dd,31
rejects/ita/go_022cd682_nohash_1.wav,reject,google,022cd682,31
commands/5093320195/ita/ita_23.wav,command,telegram_bot,5093320195,23
rejects/ita/three_17f0e206_nohash_0.wav,reject,google,17f0e206,31
commands/202738934/ita/ita_11.wav,command,telegram_bot,202738934,11
commands/347330299/ita/ita_26.wav,command,telegram_bot,347330299,26
commands/2131190666/ita/ita_28.wav,command,telegram_bot,2131190666,28
rejects/ita/go_7fa5fa1f_nohash_0.wav,reject,google,7fa5fa1f,31
rejects/ita/wow_dabf67d9_nohash_1.wav,reject,google,dabf67d9,31
commands/2125472936/ita/ita_2.wav,command,telegram_bot,2125472936,2
commands/133699592/ita/ita_13.wav,command,telegram_bot,133699592,13
rejects/ita/up_da584bc0_nohash_1.wav,reject,google,da584bc0,31
rejects/ita/down_97f493b9_nohash_2.wav,reject,google,97f493b9,31
rejects/ita/zero_3477fab6_nohash_1.wav,reject,google,3477fab6,31
rejects/ita/cat_19f9c115_nohash_0.wav,reject,google,19f9c115,31
commands/0bd689d7/ita/ita_24_0.wav,command,google,0bd689d7,24
rejects/ita/three_aa233654_nohash_1.wav,reject,google,aa233654,31
commands/1770776685/ita/eng_23.wav,command,telegram_bot,1770776685,23
commands/365307573/ita/ita_27.wav,command,telegram_bot,365307573,27
rejects/ita/one_ad6a46f1_nohash_0.wav,reject,google,ad6a46f1,31
rejects/ita/up_89f3ab7d_nohash_0.wav,reject,google,89f3ab7d,31
rejects/ita/left_a709ddd3_nohash_0.wav,reject,google,a709ddd3,31
rejects/ita/eight_c1d39ce8_nohash_6.wav,reject,google,c1d39ce8,31
commands/07ad9b59/ita/ita_24_0.wav,command,google,07ad9b59,24
commands/1230421796/ita/ita_11.wav,command,telegram_bot,1230421796,11
commands/225920774/ita/ita_29.wav,command,telegram_bot,225920774,29
rejects/ita/left_fd32732a_nohash_0.wav,reject,google,fd32732a,31
commands/571275450/ita/ita_17.wav,command,telegram_bot,571275450,17
rejects/ita/nine_dea820ce_nohash_4.wav,reject,google,dea820ce,31
commands/888a0c49/ita/ita_24_3.wav,command,google,888a0c49,24
rejects/ita/yes_0ac15fe9_nohash_0.wav,reject,google,0ac15fe9,31
rejects/ita/happy_2b3f509b_nohash_0.wav,reject,google,2b3f509b,31
commands/1506793015/ita/ita_15.wav,command,telegram_bot,1506793015,15
rejects/ita/right_0b40aa8e_nohash_0.wav,reject,google,0b40aa8e,31
rejects/ita/tree_cfde27ba_nohash_0.wav,reject,google,cfde27ba,31
rejects/ita/off_2bdbe5f7_nohash_4.wav,reject,google,2bdbe5f7,31
rejects/ita/four_023808be_nohash_0.wav,reject,google,023808be,31
rejects/ita/happy_44715c1c_nohash_1.wav,reject,google,44715c1c,31
rejects/ita/wow_adc216c5_nohash_0.wav,reject,google,adc216c5,31
rejects/ita/right_35d1b6ee_nohash_1.wav,reject,google,35d1b6ee,31
commands/184960439/ita/ita_24.wav,command,telegram_bot,184960439,24
rejects/ita/nine_c634a189_nohash_2.wav,reject,google,c634a189,31
synthetics/polly/standard/ita/Bianca_8.wav,synthetic,polly_standard,Bianca,8
rejects/ita/bird_a0a8d759_nohash_0.wav,reject,google,a0a8d759,31
rejects/ita/house_1afd49bf_nohash_1.wav,reject,google,1afd49bf,31
commands/bb31b82b/ita/ita_24_0.wav,command,google,bb31b82b,24
commands/2104392071/ita/ita_1.wav,command,telegram_bot,2104392071,1
rejects/ita/happy_2796ac50_nohash_0.wav,reject,google,2796ac50,31
commands/322249374/ita/ita_17.wav,command,telegram_bot,322249374,17
rejects/ita/bird_3e7124ba_nohash_0.wav,reject,google,3e7124ba,31
commands/409c962a/ita/ita_24_0.wav,command,google,409c962a,24
rejects/ita/yes_9b6c08ba_nohash_2.wav,reject,google,9b6c08ba,31
rejects/ita/no_6366f61a_nohash_3.wav,reject,google,6366f61a,31
rejects/ita/bird_2fa39636_nohash_0.wav,reject,google,2fa39636,31
commands/551316026/ita/ita_6.wav,command,telegram_bot,551316026,6
commands/1784612953/ita/ita_16.wav,command,telegram_bot,1784612953,16
commands/202738934/ita/ita_6.wav,command,telegram_bot,202738934,6
rejects/ita/no_951cac20_nohash_1.wav,reject,google,951cac20,31
rejects/ita/marvin_80c45ed6_nohash_1.wav,reject,google,80c45ed6,31
commands/8012c69d/ita/ita_24_3.wav,command,google,8012c69d,24
commands/37e8db82/ita/ita_24_0.wav,command,google,37e8db82,24
commands/5093320195/ita/ita_8.wav,command,telegram_bot,5093320195,8
rejects/ita/eight_cb8f8307_nohash_5.wav,reject,google,cb8f8307,31
commands/105e72bb/ita/ita_24_0.wav,command,google,105e72bb,24
commands/1883652161/ita/ita_12.wav,command,telegram_bot,1883652161,12
commands/778a4a01/ita/ita_24_0.wav,command,google,778a4a01,24
commands/334596431/ita/ita_3.wav,command,telegram_bot,334596431,3
rejects/ita/left_ce49cb60_nohash_0.wav,reject,google,ce49cb60,31
rejects/ita/sheila_8f4c551f_nohash_0.wav,reject,google,8f4c551f,31
rejects/ita/marvin_1aeef15e_nohash_0.wav,reject,google,1aeef15e,31
rejects/ita/marvin_422d3197_nohash_0.wav,reject,google,422d3197,31
