,ita
Più luce,14
Meno luce,14
Più alto,14
Più basso,14
Più inclinato,14
Meno inclinato,14
Portami l'avvitatore elettrico,14
Prendi l'avvitatore elettrico,14
Portami l'avvitatore a gomito,14
Prendi l'avvitatore a gomito,14
Portami il martello,14
Prendi il martello,14
Portami il cacciavite,14
Prendi il cacciavite,14
Portami la leva,14
Prendi la leva,14
Portami la mostrina comandi,14
Prendi la mostrina comandi,14
Portami lo specchietto retrovisore,14
Prendi lo specchietto retrovisore,14
Rilascia,14
Vieni,14
Libero,14
Start,14
Stop,14
Vai a destra,14
Vai a sinistra,14
Vai su,14
Vai giù,14
Vai avanti,14
Vai indietro,14
