path,type,subtype,speaker,intent,explicit,implicit,noise_path,noise_type,noise_subtype,snr
commands/6080131387/eng/17_0_1.wav,command,telegram,6080131387,17,59,0,,,,
commands/1153694021/eng/11_3_1.wav,command,telegram,1153694021,11,39,1,,,,
commands/767889938/eng/8_1_1.wav,command,telegram,767889938,8,29,0,,,,
commands/564551272/eng/13_3_0.wav,command,telegram,564551272,13,43,1,,,,
rejects/eng/common_voice_en_20036751.wav,reject,mozilla,unknown,23,71,0,,,,
commands/6269772923/eng/4_0_0.wav,command,telegram,6269772923,4,12,0,,,,
commands/883400960/eng/2_0_0.wav,command,telegram,883400960,2,4,0,,,,
commands/1153694021/eng/14_0_0.wav,command,telegram,1153694021,14,48,0,,,,
commands/1105993349/eng/10_0_0.wav,command,telegram,1105993349,10,36,0,,,,
commands/529489061/eng/12_1_0.wav,command,telegram,529489061,12,41,0,,,,
commands/1407029395/eng/18_1_0.wav,command,telegram,1407029395,18,63,0,,,,
commands/67836100/eng/21_0_0.wav,command,telegram,67836100,21,67,0,,,,
rejects/eng/common_voice_en_19826686.wav,reject,mozilla,unknown,23,71,0,,,,
commands/767889938/eng/4_0_0.wav,command,telegram,767889938,4,12,0,,,,
commands/698176020/eng/8_0_0.wav,command,telegram,698176020,8,28,0,,,,
commands/985158911/eng/11_3_0.wav,command,telegram,985158911,11,39,1,,,,
rejects/eng/common_voice_en_20425918.wav,reject,mozilla,unknown,23,71,0,,,,
rejects/eng/sheila_6b7d5101_nohash_1.wav,reject,google_speech,6b7d5101,23,71,0,,,,
commands/697081431/eng/21_0_2.wav,command,telegram,697081431,21,67,0,,,,
rejects/eng/three_39543cfd_nohash_0.wav,reject,google_speech,39543cfd,23,71,0,,,,
commands/767889938/eng/18_1_1.wav,command,telegram,767889938,18,63,0,,,,
commands/973086726/eng/7_4_0.wav,command,telegram,973086726,7,24,1,,,,
rejects/eng/happy_1993db46_nohash_1.wav,reject,google_speech,1993db46,23,71,0,,,,
commands/67836100/eng/2_0_1.wav,command,telegram,67836100,2,4,0,,,,
rejects/eng/happy_5184ed3e_nohash_1.wav,reject,google_speech,5184ed3e,23,71,0,,,,
commands/5917294669/eng/22_0_0.wav,command,telegram,5917294669,22,67,1,,,,
rejects/eng/common_voice_en_18766081.wav,reject,mozilla,unknown,23,71,0,,,,
rejects/eng/bed_6ceeb9aa_nohash_0.wav,reject,google_speech,6ceeb9aa,23,71,0,,,,
rejects/eng/dog_3bfd30e6_nohash_0.wav,reject,google_speech,3bfd30e6,23,71,0,,,,
rejects/eng/common_voice_en_20650527.wav,reject,mozilla,unknown,23,71,0,,,,
commands/67836100/eng/16_2_1.wav,command,telegram,67836100,16,58,0,,,,
rejects/eng/common_voice_en_19638753.wav,reject,mozilla,unknown,23,71,0,,,,
commands/444849738/eng/21_0_3.wav,command,telegram,444849738,21,67,0,,,,
commands/157846555/eng/16_1_1.wav,command,telegram,157846555,16,57,0,,,,
rejects/eng/house_bfa63751_nohash_0.wav,reject,google_speech,bfa63751,23,71,0,,,,
commands/945222367/eng/16_2_0.wav,command,telegram,945222367,16,58,0,,,,
rejects/eng/eight_3efa7ec4_nohash_0.wav,reject,google_speech,3efa7ec4,23,71,0,,,,
commands/67836100/eng/6_0_1.wav,command,telegram,67836100,6,20,0,,,,
commands/702410657/eng/6_1_0.wav,command,telegram,702410657,6,21,0,,,,
commands/450427228/eng/8_0_3.wav,command,telegram,450427228,8,28,0,,,,
rejects/eng/common_voice_en_19611912.wav,reject,mozilla,unknown,23,71,0,,,,
commands/1254765304/eng/17_1_0.wav,command,telegram,1254765304,17,60,0,,,,
rejects/eng/four_3bfd30e6_nohash_0.wav,reject,google_speech,3bfd30e6,23,71,0,,,,
commands/190682718/eng/2_1_1.wav,command,telegram,190682718,2,5,0,,,,
commands/67836100/eng/20_0_0.wav,command,telegram,67836100,20,65,0,,,,
commands/5917294669/eng/0_0_0.wav,command,telegram,5917294669,0,0,0,,,,
commands/250424917/eng/9_6_0.wav,command,telegram,250424917,9,34,1,,,,
commands/235766480/eng/2_0_0.wav,command,telegram,235766480,2,4,0,,,,
commands/250424917/eng/11_2_0.wav,command,telegram,250424917,11,38,1,,,,
commands/2038272027/eng/5_0_0.wav,command,telegram,2038272027,5,12,1,,,,
commands/67836100/eng/5_6_0.wav,command,telegram,67836100,5,18,1,,,,
commands/1254765304/eng/3_5_0.wav,command,telegram,1254765304,3,9,1,,,,
rejects/eng/wow_14872d06_nohash_0.wav,reject,google_speech,14872d06,23,71,0,,,,
rejects/eng/bird_9e46cfa1_nohash_1.wav,reject,google_speech,9e46cfa1,23,71,0,,,,
commands/767889938/eng/0_0_1.wav,command,telegram,767889938,0,0,0,,,,
rejects/eng/six_dedc7fab_nohash_0.wav,reject,google_speech,dedc7fab,23,71,0,,,,
rejects/eng/on_7ea032f3_nohash_3.wav,reject,google_speech,7ea032f3,23,71,0,,,,
rejects/eng/tree_e6515415_nohash_0.wav,reject,google_speech,e6515415,23,71,0,,,,
rejects/eng/dog_a108341b_nohash_0.wav,reject,google_speech,a108341b,23,71,0,,,,
commands/945222367/eng/4_0_0.wav,command,telegram,945222367,4,12,0,,,,
rejects/eng/yes_ca58a8c6_nohash_1.wav,reject,google_speech,ca58a8c6,23,71,0,,,,
commands/381078203/eng/10_0_0.wav,command,telegram,381078203,10,36,0,,,,
commands/6394042332/eng/7_4_0.wav,command,telegram,6394042332,7,24,1,,,,
rejects/eng/tree_3e3fa7fd_nohash_0.wav,reject,google_speech,3e3fa7fd,23,71,0,,,,
commands/985158911/eng/5_0_0.wav,command,telegram,985158911,5,12,1,,,,
commands/767889938/eng/16_0_1.wav,command,telegram,767889938,16,56,0,,,,
commands/6127040556/eng/11_3_1.wav,command,telegram,6127040556,11,39,1,,,,
commands/679469464/eng/14_1_0.wav,command,telegram,679469464,14,49,0,,,,
commands/1407029395/eng/1_0_0.wav,command,telegram,1407029395,1,0,1,,,,
rejects/eng/wow_3bfd30e6_nohash_0.wav,reject,google_speech,3bfd30e6,23,71,0,,,,
commands/450427228/eng/1_2_0.wav,command,telegram,450427228,1,2,1,,,,
rejects/eng/common_voice_en_19607146.wav,reject,mozilla,unknown,23,71,0,,,,
rejects/eng/common_voice_en_19184941.wav,reject,mozilla,unknown,23,71,0,,,,
rejects/eng/common_voice_en_22975500.wav,reject,mozilla,unknown,23,71,0,,,,
rejects/eng/on_5184ed3e_nohash_1.wav,reject,google_speech,5184ed3e,23,71,0,,,,
commands/5637757826/eng/6_0_3.wav,command,telegram,5637757826,6,20,0,,,,
rejects/eng/sheila_71e6ab20_nohash_1.wav,reject,google_speech,71e6ab20,23,71,0,,,,
commands/883400960/eng/22_1_2.wav,command,telegram,883400960,22,68,1,,,,
rejects/eng/common_voice_en_23417051.wav,reject,mozilla,unknown,23,71,0,,,,
commands/564551272/eng/18_0_1.wav,command,telegram,564551272,18,62,0,,,,
commands/702410657/eng/0_0_1.wav,command,telegram,702410657,0,0,0,,,,
rejects/eng/bird_d1453a87_nohash_1.wav,reject,google_speech,d1453a87,23,71,0,,,,
commands/604008470/eng/22_2_0.wav,command,telegram,604008470,22,69,1,,,,
rejects/eng/common_voice_en_19723327.wav,reject,mozilla,unknown,23,71,0,,,,
rejects/eng/bed_bed06fac_nohash_2.wav,reject,google_speech,bed06fac,23,71,0,,,,
commands/971441735/eng/4_1_1.wav,command,telegram,971441735,4,13,0,,,,
commands/5637757826/eng/18_1_1.wav,command,telegram,5637757826,18,63,0,,,,
commands/697081431/eng/4_1_1.wav,command,telegram,697081431,4,13,0,,,,
commands/5637757826/eng/19_0_2.wav,command,telegram,5637757826,19,64,0,,,,
commands/250424917/eng/13_5_1.wav,command,telegram,250424917,13,45,1,,,,
rejects/eng/seven_9b402bc2_nohash_2.wav,reject,google_speech,9b402bc2,23,71,0,,,,
commands/973086726/eng/20_0_0.wav,command,telegram,973086726,20,65,0,,,,
commands/381078203/eng/10_0_2.wav,command,telegram,381078203,10,36,0,,,,
commands/883400960/eng/6_1_0.wav,command,telegram,883400960,6,21,0,,,,
commands/67836100/eng/5_3_0.wav,command,telegram,67836100,5,15,1,,,,
rejects/eng/one_1993db46_nohash_1.wav,reject,google_speech,1993db46,23,71,0,,,,
rejects/eng/dog_a9abc695_nohash_0.wav,reject,google_speech,a9abc695,23,71,0,,,,
commands/6127040556/eng/1_0_0.wav,command,telegram,6127040556,1,0,1,,,,
