path,type,subtype,speaker,intent,explicit,implicit,noise_path,noise_type,noise_subtype,snr
commands/538507591/ita/18_1_0.wav,command,telegram,538507591,18,52,0,,,,
rejects/ita/common_voice_it_25776607.wav,reject,mozilla,unknown,23,59,0,,,,
rejects/ita/common_voice_it_25853332.wav,reject,mozilla,unknown,23,59,0,,,,
commands/5911603813/ita/15_0_0.wav,command,telegram,5911603813,15,39,1,,,,
commands/698176020/ita/18_0_1.wav,command,telegram,698176020,18,51,0,,,,
rejects/ita/down_3e3fa7fd_nohash_0.wav,reject,google_speech,3e3fa7fd,23,59,0,,,,
commands/1407029395/ita/11_3_0.wav,command,telegram,1407029395,11,30,1,,,,
commands/5548507069/ita/0_0_0.wav,command,telegram,5548507069,0,0,0,,,,
rejects/ita/common_voice_it_20018753.wav,reject,mozilla,unknown,23,59,0,,,,
commands/132745516/ita/15_2_0.wav,command,telegram,132745516,15,41,1,,,,
rejects/ita/two_659b7fae_nohash_0.wav,reject,google_speech,659b7fae,23,59,0,,,,
commands/5937429232/ita/14_0_1.wav,command,telegram,5937429232,14,39,0,,,,
rejects/ita/house_3bfd30e6_nohash_0.wav,reject,google_speech,3bfd30e6,23,59,0,,,,
rejects/ita/bird_e652590d_nohash_0.wav,reject,google_speech,e652590d,23,59,0,,,,
commands/235766480/ita/20_1_0.wav,command,telegram,235766480,20,55,0,,,,
commands/529489061/ita/16_2_0.wav,command,telegram,529489061,16,47,0,,,,
commands/162060054/ita/12_1_0.wav,command,telegram,162060054,12,34,0,,,,
commands/529489061/ita/4_0_2.wav,command,telegram,529489061,4,9,0,,,,
rejects/ita/five_c1d39ce8_nohash_3.wav,reject,google_speech,c1d39ce8,23,59,0,,,,
rejects/ita/common_voice_it_25350517.wav,reject,mozilla,unknown,23,59,0,,,,
commands/1105993349/ita/1_1_0.wav,command,telegram,1105993349,1,1,1,,,,
commands/767889938/ita/18_0_1.wav,command,telegram,767889938,18,51,0,,,,
rejects/ita/nine_9aa21fa9_nohash_0.wav,reject,google_speech,9aa21fa9,23,59,0,,,,
commands/862556020/ita/5_0_1.wav,command,telegram,862556020,5,9,1,,,,
commands/727092146/ita/17_0_0.wav,command,telegram,727092146,17,48,0,,,,
rejects/ita/up_9e46cfa1_nohash_1.wav,reject,google_speech,9e46cfa1,23,59,0,,,,
commands/945222367/ita/16_1_1.wav,command,telegram,945222367,16,46,0,,,,
commands/235766480/ita/22_0_1.wav,command,telegram,235766480,22,56,1,,,,
commands/5937429232/ita/0_0_0.wav,command,telegram,5937429232,0,0,0,,,,
commands/564551272/ita/9_0_0.wav,command,telegram,564551272,9,21,1,,,,
commands/945222367/ita/18_0_0.wav,command,telegram,945222367,18,51,0,,,,
commands/946253748/ita/3_1_2.wav,command,telegram,946253748,3,4,1,,,,
commands/825879358/ita/5_1_0.wav,command,telegram,825879358,5,10,1,,,,
commands/6143888981/ita/12_0_0.wav,command,telegram,6143888981,12,33,0,,,,
commands/564551272/ita/18_0_0.wav,command,telegram,564551272,18,51,0,,,,
