path,type,subtype,speaker,command
../google_speech_commands_v1/seven/dc75148d_nohash_1.wav,reject,google_speech,seven,4
./commands/190682718/eng/7_3_1.wav,command,telegram_bot,190682718,0
../mozilla_common_voices/eng/common_voice_en_18003729.wav,reject,mozilla,18003729,4
../google_speech_commands_v1/cat/ad63d93c_nohash_0.wav,reject,google_speech,cat,4
../google_speech_commands_v1/eight/794cdfc5_nohash_0.wav,reject,google_speech,eight,4
../google_speech_commands_v1/cat/1aed7c6d_nohash_0.wav,reject,google_speech,cat,4
../mozilla_common_voices/eng/common_voice_en_19739365.wav,reject,mozilla,19739365,4
../google_speech_commands_v1/three/4c4d2526_nohash_1.wav,reject,google_speech,three,4
../google_speech_commands_v1/six/1b4c9b89_nohash_1.wav,reject,google_speech,six,4
../mozilla_common_voices/eng/common_voice_en_20750398.wav,reject,mozilla,20750398,4
../mozilla_common_voices/eng/common_voice_en_18580786.wav,reject,mozilla,18580786,4
../mozilla_common_voices/eng/common_voice_en_19743363.wav,reject,mozilla,19743363,4
../google_speech_commands_v1/stop/54d9ccb5_nohash_0.wav,reject,google_speech,stop,3
../mozilla_common_voices/eng/common_voice_en_19619247.wav,reject,mozilla,19619247,4
../MSI_exp0/rejects/eng/telegram_1254765304_15_4_0.wav,reject,telegram,1254765304,4
../google_speech_commands_v1/off/b49caed3_nohash_3.wav,reject,google_speech,off,4
../google_speech_commands_v1/nine/541120c7_nohash_1.wav,reject,google_speech,nine,4
../google_speech_commands_v1/yes/cd85758f_nohash_4.wav,reject,google_speech,yes,4
./commands/5637757826/eng/3_5_0.wav,command,telegram_bot,5637757826,1
../mozilla_common_voices/eng/common_voice_en_19184281.wav,reject,mozilla,19184281,4
../google_speech_commands_v1/eight/dbb40d24_nohash_1.wav,reject,google_speech,eight,4
../google_speech_commands_v1/marvin/6b81fead_nohash_0.wav,reject,google_speech,marvin,4
../mozilla_common_voices/eng/common_voice_en_18419852.wav,reject,mozilla,18419852,4
../mozilla_common_voices/eng/common_voice_en_20050423.wav,reject,mozilla,20050423,4
../mozilla_common_voices/eng/common_voice_en_18559637.wav,reject,mozilla,18559637,4
../google_speech_commands_v1/three/863880b7_nohash_0.wav,reject,google_speech,three,4
../google_speech_commands_v1/go/794cdfc5_nohash_1.wav,reject,google_speech,go,4
../google_speech_commands_v1/tree/5828dfa2_nohash_0.wav,reject,google_speech,tree,4
../google_speech_commands_v1/dog/a9f38bae_nohash_0.wav,reject,google_speech,dog,4
../mozilla_common_voices/eng/common_voice_en_23672180.wav,reject,mozilla,23672180,4
../mozilla_common_voices/eng/common_voice_en_19953535.wav,reject,mozilla,19953535,4
../mozilla_common_voices/eng/common_voice_en_23402636.wav,reject,mozilla,23402636,4
../google_speech_commands_v1/five/b49caed3_nohash_2.wav,reject,google_speech,five,4
../mozilla_common_voices/eng/common_voice_en_20321751.wav,reject,mozilla,20321751,4
../google_speech_commands_v1/marvin/24ad3ebe_nohash_3.wav,reject,google_speech,marvin,4
../mozilla_common_voices/eng/common_voice_en_19736811.wav,reject,mozilla,19736811,4
../MSI_exp0/rejects/eng/telegram_1153694021_15_5_0.wav,reject,telegram,1153694021,4
../MSI_exp0/rejects/eng/telegram_971441735_14_1_1.wav,reject,telegram,971441735,4
../google_speech_commands_v1/yes/f34e6f44_nohash_2.wav,reject,google_speech,yes,4
../google_speech_commands_v1/bed/ea356919_nohash_0.wav,reject,google_speech,bed,4
./commands/767889938/eng/9_0_0.wav,command,telegram_bot,767889938,2
../google_speech_commands_v1/off/653a48f5_nohash_2.wav,reject,google_speech,off,4
../mozilla_common_voices/eng/common_voice_en_18335065.wav,reject,mozilla,18335065,4
../google_speech_commands_v1/marvin/9a69672b_nohash_0.wav,reject,google_speech,marvin,4
./commands/679469464/eng/11_0_0.wav,command,telegram_bot,679469464,3
./commands/190682718/eng/3_5_0.wav,command,telegram_bot,190682718,1
../google_speech_commands_v1/happy/c2d15ea5_nohash_0.wav,reject,google_speech,happy,4
../google_speech_commands_v1/yes/5e3dde6b_nohash_0.wav,reject,google_speech,yes,4
./commands/529489061/eng/3_1_0.wav,command,telegram_bot,529489061,1
../google_speech_commands_v1/stop/54d9ccb5_nohash_2.wav,reject,google_speech,stop,3
../google_speech_commands_v1/right/aa48c94a_nohash_2.wav,reject,google_speech,right,2
../google_speech_commands_v1/eight/af130f12_nohash_0.wav,reject,google_speech,eight,4
../google_speech_commands_v1/bird/6a27a9bf_nohash_0.wav,reject,google_speech,bird,4
../google_speech_commands_v1/nine/f17be97f_nohash_3.wav,reject,google_speech,nine,4
../mozilla_common_voices/eng/common_voice_en_19599510.wav,reject,mozilla,19599510,4
../google_speech_commands_v1/off/7117fb6d_nohash_0.wav,reject,google_speech,off,4
../google_speech_commands_v1/no/50f55535_nohash_1.wav,reject,google_speech,no,4
../google_speech_commands_v1/yes/060cd039_nohash_0.wav,reject,google_speech,yes,4
../google_speech_commands_v1/go/0ab3b47d_nohash_1.wav,reject,google_speech,go,4
./commands/5053967515/eng/3_2_1.wav,command,telegram_bot,5053967515,1
../mozilla_common_voices/eng/common_voice_en_22351658.wav,reject,mozilla,22351658,4
../google_speech_commands_v1/four/6e916de8_nohash_1.wav,reject,google_speech,four,4
../google_speech_commands_v1/stop/9dc1889e_nohash_2.wav,reject,google_speech,stop,3
../google_speech_commands_v1/five/264f471d_nohash_4.wav,reject,google_speech,five,4
../google_speech_commands_v1/cat/3903b558_nohash_1.wav,reject,google_speech,cat,4
../google_speech_commands_v1/five/44c201dd_nohash_0.wav,reject,google_speech,five,4
./commands/140346462/eng/11_0_0.wav,command,telegram_bot,140346462,3
../google_speech_commands_v1/on/a6d586b7_nohash_3.wav,reject,google_speech,on,4
../google_speech_commands_v1/off/dc75148d_nohash_1.wav,reject,google_speech,off,4
../google_speech_commands_v1/four/bfbd0e6b_nohash_0.wav,reject,google_speech,four,4
../google_speech_commands_v1/six/e6e29c47_nohash_0.wav,reject,google_speech,six,4
./commands/5057013370/eng/9_6_0.wav,command,telegram_bot,5057013370,2
../google_speech_commands_v1/seven/44bc77f7_nohash_0.wav,reject,google_speech,seven,4
../mozilla_common_voices/eng/common_voice_en_18833678.wav,reject,mozilla,18833678,4
../mozilla_common_voices/eng/common_voice_en_20977654.wav,reject,mozilla,20977654,4
./commands/5917294669/eng/10_0_0.wav,command,telegram_bot,5917294669,3
../google_speech_commands_v1/no/b00dff7e_nohash_0.wav,reject,google_speech,no,4
../google_speech_commands_v1/house/2296b1af_nohash_0.wav,reject,google_speech,house,4
../mozilla_common_voices/eng/common_voice_en_17387394.wav,reject,mozilla,17387394,4
../mozilla_common_voices/eng/common_voice_en_21371735.wav,reject,mozilla,21371735,4
../google_speech_commands_v1/go/3ca784ec_nohash_0.wav,reject,google_speech,go,4
../mozilla_common_voices/eng/common_voice_en_21204078.wav,reject,mozilla,21204078,4
../mozilla_common_voices/eng/common_voice_en_20011638.wav,reject,mozilla,20011638,4
../google_speech_commands_v1/down/44bc77f7_nohash_0.wav,reject,google_speech,down,4
../mozilla_common_voices/eng/common_voice_en_18533404.wav,reject,mozilla,18533404,4
../mozilla_common_voices/eng/common_voice_en_19176731.wav,reject,mozilla,19176731,4
../mozilla_common_voices/eng/common_voice_en_23579779.wav,reject,mozilla,23579779,4
../google_speech_commands_v1/nine/94de6a6a_nohash_2.wav,reject,google_speech,nine,4
../google_speech_commands_v1/stop/26b28ea7_nohash_0.wav,reject,google_speech,stop,3
../google_speech_commands_v1/eight/283d7a53_nohash_0.wav,reject,google_speech,eight,4
../mozilla_common_voices/eng/common_voice_en_22680883.wav,reject,mozilla,22680883,4
../google_speech_commands_v1/four/dbb40d24_nohash_3.wav,reject,google_speech,four,4
../google_speech_commands_v1/zero/37dca74f_nohash_1.wav,reject,google_speech,zero,4
../google_speech_commands_v1/zero/b5d1e505_nohash_1.wav,reject,google_speech,zero,4
./commands/157846555/eng/2_0_0.wav,command,telegram_bot,157846555,1
./commands/5637757826/eng/7_5_0.wav,command,telegram_bot,5637757826,0
../google_speech_commands_v1/stop/5c8af87a_nohash_2.wav,reject,google_speech,stop,3
../mozilla_common_voices/eng/common_voice_en_21890184.wav,reject,mozilla,21890184,4
../google_speech_commands_v1/wow/c4cfbe43_nohash_0.wav,reject,google_speech,wow,4
../MSI_exp0/rejects/eng/telegram_1105993349_0_0_1.wav,reject,telegram,1105993349,4
../google_speech_commands_v1/on/cd85758f_nohash_1.wav,reject,google_speech,on,4
./commands/1254765304/eng/7_1_0.wav,command,telegram_bot,1254765304,0
../MSI_exp0/rejects/eng/telegram_444849738_22_1_0.wav,reject,telegram,444849738,4
../google_speech_commands_v1/go/881583a6_nohash_0.wav,reject,google_speech,go,4
../google_speech_commands_v1/on/52bfbce8_nohash_1.wav,reject,google_speech,on,4
../google_speech_commands_v1/happy/ab00c4b2_nohash_1.wav,reject,google_speech,happy,4
../google_speech_commands_v1/five/7dc95912_nohash_2.wav,reject,google_speech,five,4
../google_speech_commands_v1/bird/f292725f_nohash_0.wav,reject,google_speech,bird,4
../google_speech_commands_v1/stop/86478fab_nohash_0.wav,reject,google_speech,stop,3
../google_speech_commands_v1/nine/d103dd6e_nohash_1.wav,reject,google_speech,nine,4
../mozilla_common_voices/eng/common_voice_en_20305489.wav,reject,mozilla,20305489,4
../google_speech_commands_v1/seven/94de6a6a_nohash_2.wav,reject,google_speech,seven,4
../google_speech_commands_v1/six/85834399_nohash_1.wav,reject,google_speech,six,4
../google_speech_commands_v1/wow/dc75148d_nohash_0.wav,reject,google_speech,wow,4
../MSI_exp0/rejects/eng/telegram_71416697_21_0_0.wav,reject,telegram,71416697,4
../MSI_exp0/rejects/eng/telegram_235766480_1_3_0.wav,reject,telegram,235766480,4
../google_speech_commands_v1/stop/d91a159e_nohash_0.wav,reject,google_speech,stop,3
../google_speech_commands_v1/no/ab7b5acd_nohash_0.wav,reject,google_speech,no,4
../google_speech_commands_v1/dog/c24d96eb_nohash_0.wav,reject,google_speech,dog,4
../MSI_exp0/rejects/eng/telegram_1407029395_21_0_2.wav,reject,telegram,1407029395,4
../google_speech_commands_v1/left/a60a09cf_nohash_0.wav,reject,google_speech,left,0
./commands/190682718/eng/8_0_0.wav,command,telegram_bot,190682718,2
../google_speech_commands_v1/dog/44260689_nohash_1.wav,reject,google_speech,dog,4
