path,type,subtype,speaker,command
../mozilla_common_voices/ita/common_voice_it_26465768.wav,reject,mozilla,26465768,4
../google_speech_commands_v1/no/29b81b73_nohash_0.wav,reject,google_speech,no,4
../mozilla_common_voices/ita/common_voice_it_25834926.wav,reject,mozilla,25834926,4
../google_speech_commands_v1/house/dd086776_nohash_0.wav,reject,google_speech,house,4
../google_speech_commands_v1/seven/4f8ef132_nohash_0.wav,reject,google_speech,seven,4
../google_speech_commands_v1/left/7c1d8533_nohash_0.wav,reject,google_speech,left,4
../google_speech_commands_v1/four/b97c9f77_nohash_4.wav,reject,google_speech,four,4
../MSI_exp0/rejects/ita/telegram_162060054_21_0_0.wav,reject,telegram,162060054,4
../mozilla_common_voices/ita/common_voice_it_25474014.wav,reject,mozilla,25474014,4
../google_speech_commands_v1/wow/47d01978_nohash_1.wav,reject,google_speech,wow,4
../mozilla_common_voices/ita/common_voice_it_20664523.wav,reject,mozilla,20664523,4
../google_speech_commands_v1/five/dbb40d24_nohash_1.wav,reject,google_speech,five,4
../google_speech_commands_v1/zero/b83c1acf_nohash_4.wav,reject,google_speech,zero,4
../google_speech_commands_v1/go/ae927455_nohash_0.wav,reject,google_speech,go,4
../mozilla_common_voices/ita/common_voice_it_26079970.wav,reject,mozilla,26079970,4
../google_speech_commands_v1/no/caf9fceb_nohash_0.wav,reject,google_speech,no,4
../google_speech_commands_v1/house/91223b83_nohash_0.wav,reject,google_speech,house,4
../google_speech_commands_v1/happy/a8e25ebb_nohash_0.wav,reject,google_speech,happy,4
../mozilla_common_voices/ita/common_voice_it_20284169.wav,reject,mozilla,20284169,4
../google_speech_commands_v1/stop/d91a159e_nohash_0.wav,reject,google_speech,stop,3
./commands/5911603813/ita/9_3_1.wav,command,telegram_bot,5911603813,2
../google_speech_commands_v1/go/dbb40d24_nohash_5.wav,reject,google_speech,go,4
../google_speech_commands_v1/go/258f4559_nohash_0.wav,reject,google_speech,go,4
../google_speech_commands_v1/bed/cc592808_nohash_1.wav,reject,google_speech,bed,4
../mozilla_common_voices/ita/common_voice_it_19805566.wav,reject,mozilla,19805566,4
../mozilla_common_voices/ita/common_voice_it_24939872.wav,reject,mozilla,24939872,4
../google_speech_commands_v1/no/6f2f57c1_nohash_0.wav,reject,google_speech,no,4
../MSI_exp0/rejects/ita/telegram_862556020_21_0_0.wav,reject,telegram,862556020,4
