path,type,subtype,speaker,command
../google_speech_commands_v1/down/dca2797e_nohash_4.wav,reject,google_speech,down,4
../google_speech_commands_v1/wow/9a7c1f83_nohash_0.wav,reject,google_speech,wow,4
../google_speech_commands_v1/left/099d52ad_nohash_0.wav,reject,google_speech,left,4
../mozilla_common_voices/esp/common_voice_es_37923410.wav,reject,mozilla,37923410,4
../google_speech_commands_v1/two/95ba4996_nohash_0.wav,reject,google_speech,two,4
../mozilla_common_voices/esp/common_voice_es_37844397.wav,reject,mozilla,37844397,4
../google_speech_commands_v1/eight/7257420c_nohash_2.wav,reject,google_speech,eight,4
../mozilla_common_voices/esp/common_voice_es_37861272.wav,reject,mozilla,37861272,4
../google_speech_commands_v1/on/d9e9f554_nohash_0.wav,reject,google_speech,on,4
../google_speech_commands_v1/left/7fd25f7c_nohash_1.wav,reject,google_speech,left,4
../mozilla_common_voices/esp/common_voice_es_37850391.wav,reject,mozilla,37850391,4
../google_speech_commands_v1/eight/7c1d8533_nohash_2.wav,reject,google_speech,eight,4
../mozilla_common_voices/esp/common_voice_es_37354256.wav,reject,mozilla,37354256,4
../mozilla_common_voices/esp/common_voice_es_37415508.wav,reject,mozilla,37415508,4
../mozilla_common_voices/esp/common_voice_es_37907409.wav,reject,mozilla,37907409,4
../mozilla_common_voices/esp/common_voice_es_37441617.wav,reject,mozilla,37441617,4
../mozilla_common_voices/esp/common_voice_es_37955703.wav,reject,mozilla,37955703,4
../mozilla_common_voices/esp/common_voice_es_37530217.wav,reject,mozilla,37530217,4
../google_speech_commands_v1/six/d55aa56c_nohash_0.wav,reject,google_speech,six,4
../google_speech_commands_v1/wow/5c8af87a_nohash_0.wav,reject,google_speech,wow,4
../mozilla_common_voices/esp/common_voice_es_37861516.wav,reject,mozilla,37861516,4
../mozilla_common_voices/esp/common_voice_es_37992630.wav,reject,mozilla,37992630,4
../mozilla_common_voices/esp/common_voice_es_37502367.wav,reject,mozilla,37502367,4
../mozilla_common_voices/esp/common_voice_es_37781103.wav,reject,mozilla,37781103,4
../mozilla_common_voices/esp/common_voice_es_37850161.wav,reject,mozilla,37850161,4
../mozilla_common_voices/esp/common_voice_es_37841725.wav,reject,mozilla,37841725,4
../mozilla_common_voices/esp/common_voice_es_37845704.wav,reject,mozilla,37845704,4
../mozilla_common_voices/esp/common_voice_es_37287735.wav,reject,mozilla,37287735,4
../mozilla_common_voices/esp/common_voice_es_37566795.wav,reject,mozilla,37566795,4
../google_speech_commands_v1/three/7195ffa6_nohash_2.wav,reject,google_speech,three,4
../google_speech_commands_v1/four/b5d1e505_nohash_0.wav,reject,google_speech,four,4
../mozilla_common_voices/esp/common_voice_es_37822232.wav,reject,mozilla,37822232,4
../mozilla_common_voices/esp/common_voice_es_37354157.wav,reject,mozilla,37354157,4
../google_speech_commands_v1/bed/2ce7534c_nohash_0.wav,reject,google_speech,bed,4
../mozilla_common_voices/esp/common_voice_es_37404665.wav,reject,mozilla,37404665,4
./commands/2254966/esp/8_1_1.wav,command,telegram_bot,2254966,2
../mozilla_common_voices/esp/common_voice_es_37950207.wav,reject,mozilla,37950207,4
../mozilla_common_voices/esp/common_voice_es_37517035.wav,reject,mozilla,37517035,4
../google_speech_commands_v1/four/cd85758f_nohash_0.wav,reject,google_speech,four,4
../mozilla_common_voices/esp/common_voice_es_37360375.wav,reject,mozilla,37360375,4
../mozilla_common_voices/esp/common_voice_es_37992616.wav,reject,mozilla,37992616,4
../mozilla_common_voices/esp/common_voice_es_37821024.wav,reject,mozilla,37821024,4
../google_speech_commands_v1/stop/e41a903b_nohash_0.wav,reject,google_speech,stop,3
../mozilla_common_voices/esp/common_voice_es_37952437.wav,reject,mozilla,37952437,4
../google_speech_commands_v1/no/5c8af87a_nohash_1.wav,reject,google_speech,no,4
../google_speech_commands_v1/yes/f3cee168_nohash_0.wav,reject,google_speech,yes,4
../mozilla_common_voices/esp/common_voice_es_37288493.wav,reject,mozilla,37288493,4
../mozilla_common_voices/esp/common_voice_es_37845887.wav,reject,mozilla,37845887,4
../google_speech_commands_v1/zero/dca2797e_nohash_0.wav,reject,google_speech,zero,4
../google_speech_commands_v1/seven/b83c1acf_nohash_3.wav,reject,google_speech,seven,4
../google_speech_commands_v1/up/5fadb538_nohash_2.wav,reject,google_speech,up,4
../google_speech_commands_v1/wow/e54a0f16_nohash_0.wav,reject,google_speech,wow,4
../google_speech_commands_v1/seven/1816b768_nohash_1.wav,reject,google_speech,seven,4
../google_speech_commands_v1/zero/258f4559_nohash_0.wav,reject,google_speech,zero,4
../google_speech_commands_v1/sheila/f297e878_nohash_1.wav,reject,google_speech,sheila,4
../google_speech_commands_v1/eight/f292725f_nohash_0.wav,reject,google_speech,eight,4
