path,type,subtype,speaker,intent,explicit,implicit
commands/1210942711/ita/2_0_1.wav,command,telegram,1210942711,0,0,0
commands/1210942711/ita/5_1_0.wav,command,telegram,1210942711,3,7,1
commands/1210942711/ita/4_0_0.wav,command,telegram,1210942711,2,6,0
commands/1210942711/ita/4_0_1.wav,command,telegram,1210942711,2,6,0
commands/1210942711/ita/4_1_0.wav,command,telegram,1210942711,2,7,0
commands/1210942711/ita/2_0_0.wav,command,telegram,1210942711,0,0,0
commands/1210942711/ita/5_3_0.wav,command,telegram,1210942711,3,9,1
commands/1210942711/ita/2_1_0.wav,command,telegram,1210942711,0,1,0
commands/1210942711/ita/3_1_0.wav,command,telegram,1210942711,1,1,1
commands/1210942711/ita/5_2_0.wav,command,telegram,1210942711,3,8,1
commands/1210942711/ita/4_0_2.wav,command,telegram,1210942711,2,6,0
commands/1210942711/ita/2_0_2.wav,command,telegram,1210942711,0,0,0
commands/1210942711/ita/5_5_0.wav,command,telegram,1210942711,3,11,1
commands/1210942711/ita/3_1_1.wav,command,telegram,1210942711,1,1,1
commands/1210942711/ita/3_5_0.wav,command,telegram,1210942711,1,5,1
commands/1210942711/ita/3_2_0.wav,command,telegram,1210942711,1,2,1
commands/6269772923/ita/7_0_0.wav,command,telegram,6269772923,5,12,1
commands/6269772923/ita/2_0_1.wav,command,telegram,6269772923,0,0,0
commands/6269772923/ita/5_1_0.wav,command,telegram,6269772923,3,7,1
commands/6269772923/ita/7_3_1.wav,command,telegram,6269772923,5,15,1
commands/6269772923/ita/13_4_0.wav,command,telegram,6269772923,11,34,1
commands/6269772923/ita/9_2_0.wav,command,telegram,6269772923,7,20,1
commands/6269772923/ita/8_0_1.wav,command,telegram,6269772923,6,18,0
commands/6269772923/ita/9_2_1.wav,command,telegram,6269772923,7,20,1
commands/6269772923/ita/4_1_0.wav,command,telegram,6269772923,2,7,0
commands/6269772923/ita/13_0_0.wav,command,telegram,6269772923,11,30,1
commands/6269772923/ita/8_0_0.wav,command,telegram,6269772923,6,18,0
commands/6269772923/ita/2_0_0.wav,command,telegram,6269772923,0,0,0
commands/6269772923/ita/10_0_1.wav,command,telegram,6269772923,8,24,0
commands/6269772923/ita/6_0_0.wav,command,telegram,6269772923,4,12,0
commands/6269772923/ita/8_1_0.wav,command,telegram,6269772923,6,19,0
commands/6269772923/ita/6_1_0.wav,command,telegram,6269772923,4,13,0
commands/6269772923/ita/11_2_0.wav,command,telegram,6269772923,9,26,1
commands/6269772923/ita/9_5_0.wav,command,telegram,6269772923,7,23,1
commands/6269772923/ita/10_1_1.wav,command,telegram,6269772923,8,25,0
commands/6269772923/ita/2_1_0.wav,command,telegram,6269772923,0,1,0
commands/6269772923/ita/5_4_0.wav,command,telegram,6269772923,3,10,1
commands/6269772923/ita/3_1_0.wav,command,telegram,6269772923,1,1,1
commands/6269772923/ita/12_0_1.wav,command,telegram,6269772923,10,30,0
commands/6269772923/ita/5_2_0.wav,command,telegram,6269772923,3,8,1
commands/6269772923/ita/8_0_2.wav,command,telegram,6269772923,6,18,0
commands/6269772923/ita/11_3_1.wav,command,telegram,6269772923,9,27,1
commands/6269772923/ita/6_0_1.wav,command,telegram,6269772923,4,12,0
commands/6269772923/ita/6_1_1.wav,command,telegram,6269772923,4,13,0
commands/6269772923/ita/7_2_0.wav,command,telegram,6269772923,5,14,1
commands/6269772923/ita/13_4_1.wav,command,telegram,6269772923,11,34,1
commands/6269772923/ita/13_1_0.wav,command,telegram,6269772923,11,31,1
commands/6269772923/ita/9_3_0.wav,command,telegram,6269772923,7,21,1
