path,type,subtype,speaker,intent,explicit,implicit,noise_path,noise_type,noise_subtype,snr
rejects/eng/common_voice_en_20249230.wav,reject,mozilla,unknown,12,44,0,,,,
commands/973086726/eng/10_0_3.wav,command,telegram,973086726,8,32,0,,,,
rejects/eng/common_voice_en_19958758.wav,reject,mozilla,unknown,12,44,0,,,,
rejects/eng/telegram_604008470_14_1_1.wav,reject,telegram,604008470,12,44,0,,,,
commands/767889938/eng/3_4_0.wav,command,telegram,767889938,1,4,1,,,,
rejects/eng/telegram_697081431_21_0_0.wav,reject,telegram,697081431,12,44,0,,,,
rejects/eng/telegram_71416697_17_0_0.wav,reject,telegram,71416697,12,44,0,,,,
commands/697081431/eng/9_2_0.wav,command,telegram,697081431,7,26,1,,,,
rejects/eng/telegram_450427228_0_0_0.wav,reject,telegram,450427228,12,44,0,,,,
rejects/eng/telegram_157846555_22_0_0.wav,reject,telegram,157846555,12,44,0,,,,
commands/5637757826/eng/13_7_0.wav,command,telegram,5637757826,11,43,1,,,,
rejects/eng/off_39543cfd_nohash_0.wav,reject,google_speech,39543cfd,12,44,0,,,,
rejects/eng/telegram_767889938_0_0_0.wav,reject,telegram,767889938,12,44,0,,,,
rejects/eng/common_voice_en_20048968.wav,reject,mozilla,unknown,12,44,0,,,,
commands/529489061/eng/7_0_0.wav,command,telegram,529489061,5,16,1,,,,
rejects/eng/telegram_971441735_17_2_1.wav,reject,telegram,971441735,12,44,0,,,,
commands/945222367/eng/7_0_1.wav,command,telegram,945222367,5,16,1,,,,
commands/444849738/eng/5_0_0.wav,command,telegram,444849738,3,8,1,,,,
commands/6394042332/eng/10_0_2.wav,command,telegram,6394042332,8,32,0,,,,
rejects/eng/common_voice_en_19152197.wav,reject,mozilla,unknown,12,44,0,,,,
rejects/eng/four_7bae88ed_nohash_0.wav,reject,google_speech,7bae88ed,12,44,0,,,,
commands/381078203/eng/11_1_1.wav,command,telegram,381078203,9,33,1,,,,
commands/1153694021/eng/6_1_0.wav,command,telegram,1153694021,4,17,0,,,,
rejects/eng/telegram_71416697_1_1_0.wav,reject,telegram,71416697,12,44,0,,,,
rejects/eng/telegram_767889938_19_0_3.wav,reject,telegram,767889938,12,44,0,,,,
rejects/eng/common_voice_en_19723327.wav,reject,mozilla,unknown,12,44,0,,,,
commands/6127040556/eng/7_1_1.wav,command,telegram,6127040556,5,17,1,,,,
commands/945222367/eng/2_0_0.wav,command,telegram,945222367,0,0,0,,,,
rejects/eng/telegram_140346462_19_0_0.wav,reject,telegram,140346462,12,44,0,,,,
rejects/eng/common_voice_en_19724483.wav,reject,mozilla,unknown,12,44,0,,,,
rejects/eng/common_voice_en_19743346.wav,reject,mozilla,unknown,12,44,0,,,,
rejects/eng/telegram_67836100_22_3_1.wav,reject,telegram,67836100,12,44,0,,,,
rejects/eng/tree_459345ea_nohash_0.wav,reject,google_speech,459345ea,12,44,0,,,,
rejects/eng/six_dedc7fab_nohash_0.wav,reject,google_speech,dedc7fab,12,44,0,,,,
commands/190682718/eng/2_1_0.wav,command,telegram,190682718,0,1,0,,,,
rejects/eng/telegram_971441735_21_0_1.wav,reject,telegram,971441735,12,44,0,,,,
rejects/eng/telegram_698176020_14_1_1.wav,reject,telegram,698176020,12,44,0,,,,
rejects/eng/telegram_67836100_1_3_0.wav,reject,telegram,67836100,12,44,0,,,,
rejects/eng/telegram_381078203_14_1_2.wav,reject,telegram,381078203,12,44,0,,,,
commands/5171950827/eng/13_0_0.wav,command,telegram,5171950827,11,36,1,,,,
rejects/eng/zero_8a5acefd_nohash_1.wav,reject,google_speech,8a5acefd,12,44,0,,,,
commands/71416697/eng/2_1_0.wav,command,telegram,71416697,0,1,0,,,,
commands/67836100/eng/2_1_0.wav,command,telegram,67836100,0,1,0,,,,
rejects/eng/telegram_6269772923_20_0_2.wav,reject,telegram,6269772923,12,44,0,,,,
rejects/eng/telegram_2129086773_15_5_0.wav,reject,telegram,2129086773,12,44,0,,,,
rejects/eng/marvin_85834399_nohash_1.wav,reject,google_speech,85834399,12,44,0,,,,
commands/6269772923/eng/5_6_1.wav,command,telegram,6269772923,3,14,1,,,,
rejects/eng/telegram_67836100_1_3_1.wav,reject,telegram,67836100,12,44,0,,,,
commands/698176020/eng/8_1_2.wav,command,telegram,698176020,6,25,0,,,,
rejects/eng/telegram_157846555_15_6_0.wav,reject,telegram,157846555,12,44,0,,,,
commands/698176020/eng/4_0_0.wav,command,telegram,698176020,2,8,0,,,,
rejects/eng/telegram_71416697_14_1_0.wav,reject,telegram,71416697,12,44,0,,,,
rejects/eng/telegram_6394042332_0_0_0.wav,reject,telegram,6394042332,12,44,0,,,,
rejects/eng/telegram_945222367_15_5_0.wav,reject,telegram,945222367,12,44,0,,,,
commands/767889938/eng/11_2_2.wav,command,telegram,767889938,9,34,1,,,,
commands/381078203/eng/9_3_0.wav,command,telegram,381078203,7,27,1,,,,
rejects/eng/common_voice_en_23374823.wav,reject,mozilla,unknown,12,44,0,,,,
rejects/eng/telegram_971441735_18_0_0.wav,reject,telegram,971441735,12,44,0,,,,
rejects/eng/common_voice_en_20049576.wav,reject,mozilla,unknown,12,44,0,,,,
commands/6127040556/eng/13_0_0.wav,command,telegram,6127040556,11,36,1,,,,
rejects/eng/telegram_971441735_18_0_1.wav,reject,telegram,971441735,12,44,0,,,,
rejects/eng/cat_64220627_nohash_0.wav,reject,google_speech,64220627,12,44,0,,,,
rejects/eng/common_voice_en_18540518.wav,reject,mozilla,unknown,12,44,0,,,,
rejects/eng/telegram_945222367_22_1_0.wav,reject,telegram,945222367,12,44,0,,,,
commands/450427228/eng/9_4_0.wav,command,telegram,450427228,7,28,1,,,,
commands/604008470/eng/10_0_1.wav,command,telegram,604008470,8,32,0,,,,
rejects/eng/common_voice_en_19951789.wav,reject,mozilla,unknown,12,44,0,,,,
rejects/eng/telegram_6127040556_19_0_0.wav,reject,telegram,6127040556,12,44,0,,,,
commands/6269772923/eng/2_1_2.wav,command,telegram,6269772923,0,1,0,,,,
rejects/eng/bed_063d48cf_nohash_1.wav,reject,google_speech,063d48cf,12,44,0,,,,
rejects/eng/wow_14872d06_nohash_0.wav,reject,google_speech,14872d06,12,44,0,,,,
commands/697081431/eng/4_1_0.wav,command,telegram,697081431,2,9,0,,,,
commands/6394042332/eng/9_3_0.wav,command,telegram,6394042332,7,27,1,,,,
commands/444849738/eng/7_4_0.wav,command,telegram,444849738,5,20,1,,,,
commands/1407029395/eng/10_0_3.wav,command,telegram,1407029395,8,32,0,,,,
commands/2129086773/eng/9_4_0.wav,command,telegram,2129086773,7,28,1,,,,
commands/604008470/eng/10_0_3.wav,command,telegram,604008470,8,32,0,,,,
rejects/eng/telegram_140346462_15_1_0.wav,reject,telegram,140346462,12,44,0,,,,
rejects/eng/telegram_985158911_15_5_0.wav,reject,telegram,985158911,12,44,0,,,,
rejects/eng/common_voice_en_20461231.wav,reject,mozilla,unknown,12,44,0,,,,
rejects/eng/telegram_985158911_14_1_1.wav,reject,telegram,985158911,12,44,0,,,,
rejects/eng/six_1b755c65_nohash_1.wav,reject,google_speech,1b755c65,12,44,0,,,,
rejects/eng/house_5184ed3e_nohash_1.wav,reject,google_speech,5184ed3e,12,44,0,,,,
rejects/eng/house_a9abc695_nohash_0.wav,reject,google_speech,a9abc695,12,44,0,,,,
rejects/eng/telegram_697081431_18_1_1.wav,reject,telegram,697081431,12,44,0,,,,
rejects/eng/one_3e3fa7fd_nohash_0.wav,reject,google_speech,3e3fa7fd,12,44,0,,,,
commands/698176020/eng/12_1_0.wav,command,telegram,698176020,10,37,0,,,,
commands/5057013370/eng/12_0_2.wav,command,telegram,5057013370,10,36,0,,,,
rejects/eng/common_voice_en_20832912.wav,reject,mozilla,unknown,12,44,0,,,,
commands/140346462/eng/5_6_0.wav,command,telegram,140346462,3,14,1,,,,
rejects/eng/on_b4aa9fef_nohash_2.wav,reject,google_speech,b4aa9fef,12,44,0,,,,
rejects/eng/common_voice_en_19038553.wav,reject,mozilla,unknown,12,44,0,,,,
rejects/eng/common_voice_en_19981957.wav,reject,mozilla,unknown,12,44,0,,,,
commands/1254765304/eng/13_4_0.wav,command,telegram,1254765304,11,40,1,,,,
rejects/eng/common_voice_en_19989961.wav,reject,mozilla,unknown,12,44,0,,,,
rejects/eng/yes_c25a032b_nohash_2.wav,reject,google_speech,c25a032b,12,44,0,,,,
rejects/eng/telegram_1153694021_14_0_1.wav,reject,telegram,1153694021,12,44,0,,,,
rejects/eng/telegram_2129086773_19_0_1.wav,reject,telegram,2129086773,12,44,0,,,,
rejects/eng/common_voice_en_19663490.wav,reject,mozilla,unknown,12,44,0,,,,
commands/1407029395/eng/3_5_0.wav,command,telegram,1407029395,1,5,1,,,,
rejects/eng/three_7fd25f7c_nohash_2.wav,reject,google_speech,7fd25f7c,12,44,0,,,,
rejects/eng/common_voice_en_19164444.wav,reject,mozilla,unknown,12,44,0,,,,
commands/529489061/eng/10_0_1.wav,command,telegram,529489061,8,32,0,,,,
commands/2129086773/eng/10_0_2.wav,command,telegram,2129086773,8,32,0,,,,
rejects/eng/telegram_190682718_16_0_1.wav,reject,telegram,190682718,12,44,0,,,,
rejects/eng/four_c1d39ce8_nohash_3.wav,reject,google_speech,c1d39ce8,12,44,0,,,,
commands/1105993349/eng/5_4_0.wav,command,telegram,1105993349,3,12,1,,,,
rejects/eng/three_b4aa9fef_nohash_2.wav,reject,google_speech,b4aa9fef,12,44,0,,,,
commands/697081431/eng/7_0_0.wav,command,telegram,697081431,5,16,1,,,,
rejects/eng/telegram_1153694021_18_0_0.wav,reject,telegram,1153694021,12,44,0,,,,
commands/450427228/eng/8_0_1.wav,command,telegram,450427228,6,24,0,,,,
commands/1254765304/eng/9_6_0.wav,command,telegram,1254765304,7,30,1,,,,
rejects/eng/off_659b7fae_nohash_0.wav,reject,google_speech,659b7fae,12,44,0,,,,
commands/67836100/eng/6_0_0.wav,command,telegram,67836100,4,16,0,,,,
rejects/eng/two_b4aa9fef_nohash_2.wav,reject,google_speech,b4aa9fef,12,44,0,,,,
rejects/eng/telegram_450427228_16_1_0.wav,reject,telegram,450427228,12,44,0,,,,
commands/945222367/eng/2_1_0.wav,command,telegram,945222367,0,1,0,,,,
commands/235766480/eng/9_0_0.wav,command,telegram,235766480,7,24,1,,,,
rejects/eng/common_voice_en_19673106.wav,reject,mozilla,unknown,12,44,0,,,,
commands/971441735/eng/10_0_2.wav,command,telegram,971441735,8,32,0,,,,
rejects/eng/five_6727b579_nohash_4.wav,reject,google_speech,6727b579,12,44,0,,,,
rejects/eng/common_voice_en_19826686.wav,reject,mozilla,unknown,12,44,0,,,,
rejects/eng/telegram_71416697_21_0_0.wav,reject,telegram,71416697,12,44,0,,,,
rejects/eng/telegram_767889938_16_0_0.wav,reject,telegram,767889938,12,44,0,,,,
rejects/eng/common_voice_en_23357294.wav,reject,mozilla,unknown,12,44,0,,,,
commands/1254765304/eng/12_0_0.wav,command,telegram,1254765304,10,36,0,,,,
rejects/eng/telegram_6394042332_0_0_1.wav,reject,telegram,6394042332,12,44,0,,,,
commands/6394042332/eng/2_0_0.wav,command,telegram,6394042332,0,0,0,,,,
rejects/eng/telegram_973086726_17_0_0.wav,reject,telegram,973086726,12,44,0,,,,
rejects/eng/common_voice_en_18603199.wav,reject,mozilla,unknown,12,44,0,,,,
commands/1254765304/eng/3_3_0.wav,command,telegram,1254765304,1,3,1,,,,
commands/381078203/eng/7_0_0.wav,command,telegram,381078203,5,16,1,,,,
commands/444849738/eng/7_5_0.wav,command,telegram,444849738,5,21,1,,,,
rejects/eng/telegram_6269772923_1_0_0.wav,reject,telegram,6269772923,12,44,0,,,,
rejects/eng/sheila_85834399_nohash_1.wav,reject,google_speech,85834399,12,44,0,,,,
commands/1254765304/eng/11_1_0.wav,command,telegram,1254765304,9,33,1,,,,
rejects/eng/common_voice_en_19638624.wav,reject,mozilla,unknown,12,44,0,,,,
rejects/eng/one_bfa63751_nohash_0.wav,reject,google_speech,bfa63751,12,44,0,,,,
rejects/eng/on_14872d06_nohash_0.wav,reject,google_speech,14872d06,12,44,0,,,,
rejects/eng/common_voice_en_19866598.wav,reject,mozilla,unknown,12,44,0,,,,
rejects/eng/telegram_1105993349_21_0_0.wav,reject,telegram,1105993349,12,44,0,,,,
rejects/eng/telegram_529489061_20_0_1.wav,reject,telegram,529489061,12,44,0,,,,
rejects/eng/telegram_6394042332_22_1_1.wav,reject,telegram,6394042332,12,44,0,,,,
rejects/eng/telegram_883400960_0_0_0.wav,reject,telegram,883400960,12,44,0,,,,
rejects/eng/telegram_1105993349_17_1_1.wav,reject,telegram,1105993349,12,44,0,,,,
commands/698176020/eng/12_0_0.wav,command,telegram,698176020,10,36,0,,,,
rejects/eng/telegram_529489061_21_0_1.wav,reject,telegram,529489061,12,44,0,,,,
commands/5053967515/eng/4_1_1.wav,command,telegram,5053967515,2,9,0,,,,
rejects/eng/telegram_71416697_1_0_0.wav,reject,telegram,71416697,12,44,0,,,,
commands/140346462/eng/12_1_0.wav,command,telegram,140346462,10,37,0,,,,
rejects/eng/common_voice_en_1373592.wav,reject,mozilla,unknown,12,44,0,,,,
rejects/eng/telegram_140346462_17_1_0.wav,reject,telegram,140346462,12,44,0,,,,
rejects/eng/telegram_971441735_15_2_1.wav,reject,telegram,971441735,12,44,0,,,,
rejects/eng/off_28460a60_nohash_1.wav,reject,google_speech,28460a60,12,44,0,,,,
rejects/eng/telegram_697081431_19_0_0.wav,reject,telegram,697081431,12,44,0,,,,
commands/190682718/eng/3_6_0.wav,command,telegram,190682718,1,6,1,,,,
rejects/eng/common_voice_en_20312408.wav,reject,mozilla,unknown,12,44,0,,,,
rejects/eng/telegram_190682718_21_0_3.wav,reject,telegram,190682718,12,44,0,,,,
rejects/eng/telegram_381078203_21_0_1.wav,reject,telegram,381078203,12,44,0,,,,
rejects/eng/telegram_698176020_14_0_0.wav,reject,telegram,698176020,12,44,0,,,,
rejects/eng/telegram_1153694021_15_4_0.wav,reject,telegram,1153694021,12,44,0,,,,
rejects/eng/telegram_697081431_16_2_0.wav,reject,telegram,697081431,12,44,0,,,,
rejects/eng/telegram_2038272027_17_0_0.wav,reject,telegram,2038272027,12,44,0,,,,
commands/1105993349/eng/7_7_0.wav,command,telegram,1105993349,5,23,1,,,,
commands/529489061/eng/8_0_1.wav,command,telegram,529489061,6,24,0,,,,
