,0
0,1609876882
1,362625280
2,406576777
3,2121819999
4,1659685150
5,1785329822
6,296821092
7,445686566
8,1069744512
9,950255171
10,323966352
11,1202998179
12,911154958
13,224710733
14,1153694021
15,2125472936
16,899529674
17,697081431
18,1784612953
19,238016822
20,142490997
21,2129470480
22,179492157
23,2114791016
24,340310580
25,1430746625
26,370932516
27,881567288
28,779117346
29,134001349
30,365307573
31,198584602
32,1780966140
33,1483207948
34,132762273
35,30368201
36,867055321
37,166000575
38,238808563
39,623691937
40,769426504
41,719438104
42,892001330
43,2144090201
44,222556755
45,466977274
46,492297965
47,267561261
48,1520141330
49,388942547
50,1863268171
51,2055098585
52,924061663
53,2058616
54,2128855261
55,279297158
56,2143985449
57,698176020
58,630722423
59,2080397916
60,957543608
61,738867743
62,1224730345
63,692151419
64,63445529
65,282273095
66,5093320195
67,556469931
68,445789300
69,696351228
70,1306913040
71,395387919
72,268005350
73,482000749
74,1179001292
75,1304767958
76,523906610
77,1254765304
78,2109142388
79,279763508
80,1544136214
81,2145431989
82,2089995001
83,690728394
84,1864451770
85,802314253
86,1700542692
87,1525639750
88,1230421796
89,946730582
90,2146007936
91,1314783113
92,247786014
93,1212263007
94,1889914753
95,5062859821
96,432184911
97,436294034
98,2123568595
99,184960439
100,1953034279
101,5097115863
102,190682718
103,1035156532
104,298552117
105,322249374
106,1276203341
107,2066516850
108,1908497562
109,2045192328
110,2144627614
111,1323114146
112,202738934
113,133699592
114,538507591
115,5006572278
116,366052369
117,2025799315
118,1005594640
119,199231711
120,1936687856
121,592391617
122,145347160
123,2114682518
124,727092146
125,1364524938
126,573888762
127,334596431
128,580130061
129,937390897
130,694611773
131,225920774
132,694887817
133,2123570996
134,1153299253
135,802288530
136,985961747
137,1415529430
138,2112819853
139,269423705
140,357011102
141,914604355
142,1284329670
143,747267779
144,757577790
145,1385338327
146,507870188
147,589084963
148,604202480
149,1506793015
150,352792887
151,927800987
152,94638325
153,1770776685
154,767610558
155,407575728
156,1145359176
157,1944030722
158,322245354
159,551316026
160,1240446866
161,1883652161
162,179847597
163,1064283897
164,232282882
165,571275450
166,48724485
167,673586351
168,559248021
169,2131190666
170,706553514
171,189947376
172,757906339
173,1299468493
174,233601088
175,29503691
176,1086043658
177,617568216
178,891999531
179,1028780533
180,873992744
181,1630728501
182,2118597066
183,347330299
184,2115610208
185,1095491263
186,443061286
187,409714222
188,208525704
189,787588380
190,1237313710
191,540534542
192,2104392071
193,1908394421
194,1132842894
195,765587623
196,190987356
197,500947574
198,engine3
199,engine2
200,engine7
201,DiegoNeural
202,ElsaNeural
203,IsabellaNeural
204,IT_Wavenet_B
205,IT_Wavenet_C
206,IT_Wavenet_D
207,IT_Wavenet_A
208,IT_Standard_D
209,IT_Standard_A
210,IT_Standard_B
211,IT_Standard_C
212,vittorio
213,chiara
214,fabiana
215,Bianca
216,Carla
217,Giorgio
218,0c40e715
219,0ea0e2f4
220,105a0eea
221,1528225c
222,1b4c9b89
223,20d3f11f
224,2796ac50
225,283d7a53
226,2c6d3924
227,2d82a556
228,370844f7
229,37dca74f
230,3df9a3d4
231,3f2b358d
232,3ff840aa
233,422d3197
234,4290ca61
235,43fc47a7
236,44260689
237,4620dc14
238,47d01978
239,4845bb10
240,4c4d2526
241,4c7c95de
242,4c841771
243,50033893
244,553f1a79
245,563aa4e6
246,5744b6a7
247,5828dfa2
248,587f3271
249,5b1db3ee
250,5c8af87a
251,5e3dde6b
252,5ff3f9a1
253,6021f08b
254,62ff07ef
255,653a48f5
256,67961766
257,68dd409e
258,692a88e6
259,6b889021
260,6e916de8
261,6f2f57c1
262,7192fddc
263,7257420c
264,782c1305
265,7add4c5f
266,7dc95912
267,7e1054e7
268,80c45ed6
269,81dc4a94
270,82b99576
271,84d1e469
272,863880b7
273,881583a6
274,8c7f81df
275,8ec6dab6
276,91223b83
277,94de6a6a
278,964e8cfd
279,97f4c236
280,9a356ab9
281,9a69672b
282,9a7c1f83
283,9b3ea809
284,9dc1889e
285,9e2ce5e3
286,a2473d62
287,a4e8a997
288,a60a09cf
289,a8e25ebb
290,aa233654
291,aa48c94a
292,adebe223
293,af7a8296
294,b1f8326d
295,b49caed3
296,b83c1acf
297,b97c9f77
298,bb31b82b
299,bed06fac
300,c0e0f834
301,c22d3f18
302,c518d1b1
303,c7124b73
304,cc592808
305,cd85758f
306,cfde27ba
307,d0faf7e4
308,d103dd6e
309,d1a4fb3f
310,d5ca80c6
311,d7467392
312,d9e9f554
313,e1469561
314,e41a903b
315,e71b4ce6
316,ef2a3cfb
317,f0ae7203
318,f264e0df
319,f292725f
320,f297e878
321,f6af2457
322,fa446c16
323,fce96bac
324,fe1916ba
325,ffb86d3c
326,096456f9
327,0f250098
328,0fa1e7a9
329,1f3bece8
330,1f653d27
331,24ad3ebe
332,26b28ea7
333,27c30960
334,2fa39636
335,37fc5d97
336,412c675c
337,42beb5eb
338,44715c1c
339,48a8a69d
340,6736bc64
341,6f689791
342,798f702a
343,7bae88ed
344,83957201
345,85834399
346,8625475c
347,8a325749
348,8fe52b97
349,af130f12
350,b11a05d2
351,ca48dc76
352,caedb73a
353,caf9fceb
354,f428ca69
355,f5496439
356,135c6841
357,1fe4c891
358,2aa787cf
359,3efef882
360,840c366d
361,90b94017
362,95ba4996
363,a1533da4
364,aef8dcf5
365,b737ee80
366,daf230ac
367,3c165869
368,a591c2ea
369,af405b69
370,d91a159e
371,dc75148d
372,5f814c23
373,026290a7
374,060cd039
375,099d52ad
376,0e17f595
377,105e72bb
378,1657c9fa
379,16db1582
380,171b56dc
381,1942abd7
382,1a9afd33
383,1aed7c6d
384,1bc45db9
385,23ad12d8
386,257e17e0
387,264f471d
388,27b9a84f
389,2a89ad5c
390,2ce7534c
391,3903b558
392,3aa6f4e2
393,3ca784ec
394,409c962a
395,439c84f4
396,44bc77f7
397,44c201dd
398,471a0925
399,4abefdf5
400,50ed8a7b
401,52bfbce8
402,52e228e9
403,538e1856
404,541120c7
405,56eb74ae
406,57cb3575
407,591d32f3
408,5fadb538
409,605ed0ff
410,6071a214
411,61bcb275
412,65ec06e5
413,66774579
414,66cff190
415,67c7fecb
416,6c0f6493
417,6d818f6c
418,7be5a0f3
419,7c1d8533
420,7eee5973
421,7fd25f7c
422,826268f8
423,8335f893
424,8523766b
425,86402da1
426,8a5acefd
427,8b775397
428,962f27eb
429,96c67073
430,989a2213
431,9db2bfe9
432,a6d586b7
433,a7dd45cf
434,a8cf01bc
435,a9f38bae
436,ab00c4b2
437,ab7b5acd
438,ad63d93c
439,b00dff7e
440,b0c0197e
441,b1426003
442,b41a92a3
443,b487da60
444,b6ebe225
445,b7a6f709
446,bca56796
447,bdee441c
448,c099668c
449,c24d96eb
450,c256377f
451,c4cfbe43
452,c4e1f6e0
453,c50225fa
454,c6ee87a7
455,c90c0105
456,cab100c9
457,ccea893d
458,d197e3ae
459,d57febf0
460,d9462202
461,d9ae8983
462,da7689f1
463,db9d52d2
464,dbb40d24
465,dca2797e
466,dd086776
467,e14a99a5
468,e54a0f16
469,e6db3894
470,e6e29c47
471,e8c3c5ca
472,e95c70e2
473,eee9b9e2
474,f17be97f
475,f34e6f44
476,f3cee168
477,f5e5e8b0
478,f84762e5
479,fa7895de
480,fc94edb0
481,fd32732a
482,fde2dee7
483,1816b768
484,2296b1af
485,258f4559
486,29b81b73
487,2e0d80f7
488,3bdf05d3
489,3e2ba5f7
490,41285056
491,48bfde8e
492,53d5b86f
493,6d0ad764
494,7ca023e2
495,88f8a99c
496,8910e5ef
497,9cde5de8
498,9d32f10a
499,bc196f81
500,c2d15ea5
501,e63b69c5
502,f2dd248e
503,22aa3665
504,62641b88
505,7117fb6d
506,7195ffa6
507,d874a786
508,db43cd03
509,10f2bb12
510,6940f7f3
511,dbaf8fc6
512,e8e960fd
513,ec74a8a5
514,d55aa56c
515,ec21c46b
