path,type,subtype,speaker,label
synthetics/naturalreaders/neural/eng/mike_us_0.wav,synthetic,naturalreaders_neural,455,0
google_speech_commands_v1/one/b83c1acf_nohash_4.wav,reject,google_speech,2,31
google_speech_commands_v1/one/f3cee168_nohash_0.wav,reject,google_speech,184,31
google_speech_commands_v1/yes/e1469561_nohash_2.wav,reject,google_speech,182,31
synthetics/vocalware/neural/eng/engine3_voice5_cmd18.wav,synthetic,vocalware_neural,11,18
google_speech_commands_v1/zero/692a88e6_nohash_1.wav,reject,google_speech,82,31
commands/224710733/eng/eng_23.wav,command,telegram_bot,16,23
google_speech_commands_v1/off/ec21c46b_nohash_0.wav,reject,google_speech,481,31
synthetics/polly/standard/eng/Ivy_4.wav,synthetic,polly_standard,20,4
commands/132762273/eng/eng_10.wav,command,telegram_bot,89,10
google_speech_commands_v1/go/c6ee87a7_nohash_2.wav,reject,google_speech,9,31
google_speech_commands_v1/dog/1f3bece8_nohash_0.wav,reject,google_speech,301,31
google_speech_commands_v1/house/8fe52b97_nohash_0.wav,reject,google_speech,289,31
synthetics/google/standard/eng/IN_Wavenet_D_cmd12.wav,synthetic,google_standard,162,12
google_speech_commands_v1/sheila/f84762e5_nohash_0.wav,reject,google_speech,444,31
google_speech_commands_v1/five/67961766_nohash_0.wav,reject,google_speech,235,31
google_speech_commands_v1/cat/8ec6dab6_nohash_0.wav,reject,google_speech,85,31
google_speech_commands_v1/happy/5e3dde6b_nohash_0.wav,reject,google_speech,356,31
synthetics/azure/neural/eng/ConnorNeural_2.wav,synthetic,azure_neural,294,2
google_speech_commands_v1/stop/e54a0f16_nohash_0.wav,reject,google_speech,275,31
synthetics/polly/neural/eng/Emma_3.wav,synthetic,polly_neural,19,3
commands/2145431989/eng/eng_22.wav,command,telegram_bot,432,22
google_speech_commands_v1/six/026290a7_nohash_0.wav,reject,google_speech,83,31
synthetics/vocalware/neural/eng/engine3_voice4_cmd24.wav,synthetic,vocalware_neural,11,24
google_speech_commands_v1/cat/541120c7_nohash_0.wav,reject,google_speech,8,31
google_speech_commands_v1/five/264f471d_nohash_4.wav,reject,google_speech,145,31
commands/2144627614/eng/eng_3.wav,command,telegram_bot,434,3
synthetics/azure/neural/eng/ChristopherNeural_15.wav,synthetic,azure_neural,261,15
google_speech_commands_v1/happy/ef2a3cfb_nohash_0.wav,reject,google_speech,468,31
google_speech_commands_v1/on/3f2b358d_nohash_2.wav,reject,google_speech,212,31
synthetics/naturalreaders/neural/eng/rod_us_14.wav,synthetic,naturalreaders_neural,383,14
google_speech_commands_v1/four/026290a7_nohash_0.wav,reject,google_speech,83,31
google_speech_commands_v1/cat/8a5acefd_nohash_0.wav,reject,google_speech,77,31
google_speech_commands_v1/eight/a8e25ebb_nohash_1.wav,reject,google_speech,53,31
google_speech_commands_v1/bird/26b28ea7_nohash_0.wav,reject,google_speech,374,31
commands/5003958420/eng/eng_30.wav,command,telegram_bot,10,30
commands/2127261933/eng/eng_22.wav,command,telegram_bot,63,22
google_speech_commands_v1/stop/1fe4c891_nohash_1.wav,reject,google_speech,143,31
google_speech_commands_v1/up/135c6841_nohash_3.wav,reject,google_speech,105,31
commands/2112819853/eng/eng_8.wav,command,telegram_bot,62,8
commands/1630728501/eng/eng_6.wav,command,telegram_bot,419,6
commands/2066516850/eng/eng_30.wav,command,telegram_bot,410,30
commands/395387919/eng/eng_23.wav,command,telegram_bot,506,23
google_speech_commands_v1/yes/cd85758f_nohash_1.wav,reject,google_speech,266,31
google_speech_commands_v1/off/adebe223_nohash_0.wav,reject,google_speech,236,31
commands/2109142388/eng/eng_4.wav,command,telegram_bot,271,4
google_speech_commands_v1/left/964e8cfd_nohash_0.wav,reject,google_speech,38,31
google_speech_commands_v1/off/dca2797e_nohash_2.wav,reject,google_speech,183,31
google_speech_commands_v1/left/e54a0f16_nohash_0.wav,reject,google_speech,275,31
google_speech_commands_v1/happy/ccea893d_nohash_1.wav,reject,google_speech,319,31
google_speech_commands_v1/marvin/587f3271_nohash_0.wav,reject,google_speech,213,31
synthetics/polly/neural/eng/Justin_16.wav,synthetic,polly_neural,208,16
synthetics/google/standard/eng/IN_Wavenet_D_cmd0.wav,synthetic,google_standard,162,0
google_speech_commands_v1/dog/caf9fceb_nohash_0.wav,reject,google_speech,272,31
commands/2114791016/eng/eng_7.wav,command,telegram_bot,138,7
google_speech_commands_v1/marvin/cc592808_nohash_1.wav,reject,google_speech,336,31
google_speech_commands_v1/eight/2ce7534c_nohash_1.wav,reject,google_speech,165,31
google_speech_commands_v1/bed/b83c1acf_nohash_0.wav,reject,google_speech,2,31
google_speech_commands_v1/tree/95ba4996_nohash_0.wav,reject,google_speech,259,31
synthetics/polly/neural/eng/Amy_14.wav,synthetic,polly_neural,80,14
synthetics/google/standard/eng/GB_Neural2_C_cmd11.wav,synthetic,google_standard,246,11
google_speech_commands_v1/down/bdee441c_nohash_4.wav,reject,google_speech,188,31
google_speech_commands_v1/bed/44c201dd_nohash_0.wav,reject,google_speech,5,31
google_speech_commands_v1/three/9db2bfe9_nohash_3.wav,reject,google_speech,75,31
google_speech_commands_v1/one/692a88e6_nohash_3.wav,reject,google_speech,82,31
google_speech_commands_v1/left/863880b7_nohash_0.wav,reject,google_speech,341,31
google_speech_commands_v1/cat/692a88e6_nohash_0.wav,reject,google_speech,82,31
google_speech_commands_v1/happy/9a7c1f83_nohash_1.wav,reject,google_speech,0,31
google_speech_commands_v1/eight/798f702a_nohash_2.wav,reject,google_speech,471,31
synthetics/vocalware/neural/eng/engine3_voice6_cmd7.wav,synthetic,vocalware_neural,11,7
google_speech_commands_v1/no/962f27eb_nohash_0.wav,reject,google_speech,352,31
google_speech_commands_v1/go/c90c0105_nohash_0.wav,reject,google_speech,276,31
commands/133699592/eng/eng_0.wav,command,telegram_bot,318,0
google_speech_commands_v1/off/439c84f4_nohash_4.wav,reject,google_speech,43,31
synthetics/azure/neural/eng/GuyNeural_5.wav,synthetic,azure_neural,337,5
google_speech_commands_v1/right/1fe4c891_nohash_0.wav,reject,google_speech,143,31
synthetics/polly/neural/eng/Kevin_20.wav,synthetic,polly_neural,287,20
google_speech_commands_v1/yes/a6d586b7_nohash_1.wav,reject,google_speech,140,31
synthetics/google/standard/eng/GB_Wavenet_A_cmd1.wav,synthetic,google_standard,172,1
commands/1525639750/eng/eng_25.wav,command,telegram_bot,335,25
google_speech_commands_v1/eight/27c30960_nohash_1.wav,reject,google_speech,304,31
google_speech_commands_v1/on/471a0925_nohash_3.wav,reject,google_speech,72,31
google_speech_commands_v1/two/fce96bac_nohash_1.wav,reject,google_speech,195,31
google_speech_commands_v1/wow/67961766_nohash_0.wav,reject,google_speech,235,31
commands/1314783113/eng/eng_14.wav,command,telegram_bot,361,14
google_speech_commands_v1/happy/9cde5de8_nohash_0.wav,reject,google_speech,241,31
google_speech_commands_v1/up/a6d586b7_nohash_2.wav,reject,google_speech,140,31
commands/5003958420/eng/eng_16.wav,command,telegram_bot,10,16
commands/2146007936/eng/eng_11.wav,command,telegram_bot,262,11
google_speech_commands_v1/three/b49caed3_nohash_1.wav,reject,google_speech,187,31
google_speech_commands_v1/yes/863880b7_nohash_0.wav,reject,google_speech,341,31
google_speech_commands_v1/one/6021f08b_nohash_1.wav,reject,google_speech,405,31
google_speech_commands_v1/no/6940f7f3_nohash_1.wav,reject,google_speech,129,31
commands/1630728501/eng/eng_26.wav,command,telegram_bot,419,26
synthetics/google/standard/eng/AU_Neural2_A_cmd18.wav,synthetic,google_standard,119,18
google_speech_commands_v1/no/c6ee87a7_nohash_3.wav,reject,google_speech,9,31
google_speech_commands_v1/house/964e8cfd_nohash_0.wav,reject,google_speech,38,31
google_speech_commands_v1/six/135c6841_nohash_0.wav,reject,google_speech,105,31
synthetics/naturalreaders/neural/eng/karen_us_7.wav,synthetic,naturalreaders_neural,220,7
google_speech_commands_v1/nine/264f471d_nohash_4.wav,reject,google_speech,145,31
commands/365307573/eng/eng_26.wav,command,telegram_bot,249,26
commands/1202998179/eng/eng_14.wav,command,telegram_bot,66,14
google_speech_commands_v1/bed/d1a4fb3f_nohash_0.wav,reject,google_speech,168,31
synthetics/vocalware/neural/eng/engine3_voice3_cmd12.wav,synthetic,vocalware_neural,11,12
google_speech_commands_v1/wow/8ec6dab6_nohash_0.wav,reject,google_speech,85,31
google_speech_commands_v1/left/c6ee87a7_nohash_1.wav,reject,google_speech,9,31
commands/1483207948/eng/eng_23.wav,command,telegram_bot,142,23
synthetics/google/neural/eng/GB_Standard_A_cmd12.wav,synthetic,google_neural,117,12
google_speech_commands_v1/six/80c45ed6_nohash_0.wav,reject,google_speech,440,31
google_speech_commands_v1/stop/e54a0f16_nohash_2.wav,reject,google_speech,275,31
google_speech_commands_v1/right/f3cee168_nohash_0.wav,reject,google_speech,184,31
synthetics/google/neural/eng/IN_Standard_D_cmd1.wav,synthetic,google_neural,44,1
google_speech_commands_v1/dog/50033893_nohash_0.wav,reject,google_speech,176,31
google_speech_commands_v1/wow/16db1582_nohash_0.wav,reject,google_speech,370,31
google_speech_commands_v1/up/798f702a_nohash_0.wav,reject,google_speech,471,31
google_speech_commands_v1/wow/5744b6a7_nohash_0.wav,reject,google_speech,414,31
synthetics/vocalware/neural/eng/engine2_voice5_cmd18.wav,synthetic,vocalware_neural,33,18
synthetics/google/neural/eng/GB_Standard_A_cmd11.wav,synthetic,google_neural,117,11
google_speech_commands_v1/dog/b97c9f77_nohash_0.wav,reject,google_speech,90,31
synthetics/google/standard/eng/GB_Wavenet_C_cmd22.wav,synthetic,google_standard,134,22
google_speech_commands_v1/six/6c0f6493_nohash_0.wav,reject,google_speech,1,31
synthetics/polly/neural/eng/Kendra_23.wav,synthetic,polly_neural,102,23
google_speech_commands_v1/happy/e14a99a5_nohash_0.wav,reject,google_speech,226,31
google_speech_commands_v1/on/b83c1acf_nohash_5.wav,reject,google_speech,2,31
google_speech_commands_v1/up/97f4c236_nohash_3.wav,reject,google_speech,88,31
google_speech_commands_v1/down/a6d586b7_nohash_3.wav,reject,google_speech,140,31
commands/267561261/eng/eng_15.wav,command,telegram_bot,24,15
google_speech_commands_v1/down/9a69672b_nohash_0.wav,reject,google_speech,174,31
commands/2121819999/eng/eng_29.wav,command,telegram_bot,67,29
synthetics/naturalreaders/neural/eng/rachel_en_27.wav,synthetic,naturalreaders_neural,447,27
google_speech_commands_v1/yes/0fa1e7a9_nohash_0.wav,reject,google_speech,193,31
google_speech_commands_v1/bed/7e1054e7_nohash_0.wav,reject,google_speech,139,31
google_speech_commands_v1/go/91223b83_nohash_0.wav,reject,google_speech,115,31
synthetics/vocalware/neural/eng/engine3_voice2_cmd29.wav,synthetic,vocalware_neural,11,29
google_speech_commands_v1/two/82b99576_nohash_0.wav,reject,google_speech,354,31
google_speech_commands_v1/wow/23ad12d8_nohash_0.wav,reject,google_speech,141,31
synthetics/google/standard/eng/AU_Wavenet_A_cmd24.wav,synthetic,google_standard,48,24
google_speech_commands_v1/nine/8910e5ef_nohash_0.wav,reject,google_speech,209,31
google_speech_commands_v1/eight/d103dd6e_nohash_1.wav,reject,google_speech,353,31
google_speech_commands_v1/cat/52bfbce8_nohash_1.wav,reject,google_speech,446,31
google_speech_commands_v1/no/099d52ad_nohash_3.wav,reject,google_speech,225,31
synthetics/vocalware/neural/eng/engine2_voice11_cmd12.wav,synthetic,vocalware_neural,33,12
commands/1314783113/eng/eng_15.wav,command,telegram_bot,361,15
commands/2144627614/eng/eng_0.wav,command,telegram_bot,434,0
google_speech_commands_v1/go/3903b558_nohash_0.wav,reject,google_speech,473,31
google_speech_commands_v1/left/dc75148d_nohash_0.wav,reject,google_speech,466,31
google_speech_commands_v1/eight/4620dc14_nohash_1.wav,reject,google_speech,395,31
google_speech_commands_v1/no/b49caed3_nohash_0.wav,reject,google_speech,187,31
commands/2121819999/eng/eng_11.wav,command,telegram_bot,67,11
google_speech_commands_v1/no/5e3dde6b_nohash_4.wav,reject,google_speech,356,31
google_speech_commands_v1/right/37fc5d97_nohash_2.wav,reject,google_speech,469,31
google_speech_commands_v1/seven/6c0f6493_nohash_2.wav,reject,google_speech,1,31
google_speech_commands_v1/seven/a2473d62_nohash_0.wav,reject,google_speech,123,31
commands/1132842894/eng/eng_13.wav,command,telegram_bot,4,13
commands/1780966140/eng/eng_29.wav,command,telegram_bot,347,29
google_speech_commands_v1/four/2796ac50_nohash_0.wav,reject,google_speech,389,31
synthetics/polly/neural/eng/Amy_2.wav,synthetic,polly_neural,80,2
google_speech_commands_v1/seven/5828dfa2_nohash_0.wav,reject,google_speech,157,31
google_speech_commands_v1/sheila/dbaf8fc6_nohash_1.wav,reject,google_speech,418,31
google_speech_commands_v1/bird/da7689f1_nohash_0.wav,reject,google_speech,245,31
google_speech_commands_v1/on/9a356ab9_nohash_0.wav,reject,google_speech,329,31
google_speech_commands_v1/one/a6d586b7_nohash_0.wav,reject,google_speech,140,31
commands/322249374/eng/eng_15.wav,command,telegram_bot,219,15
google_speech_commands_v1/five/c518d1b1_nohash_1.wav,reject,google_speech,152,31
synthetics/polly/neural/eng/Ivy_28.wav,synthetic,polly_neural,20,28
google_speech_commands_v1/left/4c4d2526_nohash_0.wav,reject,google_speech,79,31
google_speech_commands_v1/dog/6c0f6493_nohash_0.wav,reject,google_speech,1,31
google_speech_commands_v1/down/7195ffa6_nohash_0.wav,reject,google_speech,217,31
commands/1908497562/eng/eng_24.wav,command,telegram_bot,14,24
synthetics/polly/neural/eng/Amy_29.wav,synthetic,polly_neural,80,29
google_speech_commands_v1/five/41285056_nohash_0.wav,reject,google_speech,253,31
google_speech_commands_v1/two/0ea0e2f4_nohash_1.wav,reject,google_speech,491,31
synthetics/azure/neural/eng/AnaNeural_10.wav,synthetic,azure_neural,27,10
google_speech_commands_v1/left/f17be97f_nohash_2.wav,reject,google_speech,35,31
google_speech_commands_v1/stop/6f689791_nohash_1.wav,reject,google_speech,313,31
synthetics/vocalware/neural/eng/engine3_voice3_cmd4.wav,synthetic,vocalware_neural,11,4
commands/2114791016/eng/eng_27.wav,command,telegram_bot,138,27
google_speech_commands_v1/left/a60a09cf_nohash_0.wav,reject,google_speech,397,31
commands/322249374/eng/eng_13.wav,command,telegram_bot,219,13
google_speech_commands_v1/one/3ff840aa_nohash_1.wav,reject,google_speech,250,31
synthetics/azure/neural/eng/AmberNeural_3.wav,synthetic,azure_neural,237,3
synthetics/naturalreaders/neural/eng/heather_us_10.wav,synthetic,naturalreaders_neural,73,10
commands/2140135041/eng/ita_23.wav,command,telegram_bot,216,23
google_speech_commands_v1/up/8ec6dab6_nohash_0.wav,reject,google_speech,85,31
google_speech_commands_v1/seven/1f3bece8_nohash_0.wav,reject,google_speech,301,31
google_speech_commands_v1/seven/6940f7f3_nohash_1.wav,reject,google_speech,129,31
synthetics/naturalreaders/neural/eng/laura_us_3.wav,synthetic,naturalreaders_neural,248,3
google_speech_commands_v1/tree/e71b4ce6_nohash_0.wav,reject,google_speech,154,31
google_speech_commands_v1/eight/471a0925_nohash_1.wav,reject,google_speech,72,31
google_speech_commands_v1/six/af7a8296_nohash_0.wav,reject,google_speech,279,31
synthetics/polly/neural/eng/Amy_17.wav,synthetic,polly_neural,80,17
synthetics/vocalware/neural/eng/engine2_voice8_cmd29.wav,synthetic,vocalware_neural,33,29
commands/1784612953/eng/eng_2.wav,command,telegram_bot,87,2
google_speech_commands_v1/no/cd85758f_nohash_3.wav,reject,google_speech,266,31
commands/2115610208/eng/eng_29.wav,command,telegram_bot,421,29
commands/1863268171/eng/eng_1.wav,command,telegram_bot,34,1
google_speech_commands_v1/bed/4845bb10_nohash_0.wav,reject,google_speech,489,31
commands/2140135041/eng/eng_29.wav,command,telegram_bot,216,29
google_speech_commands_v1/nine/0f250098_nohash_1.wav,reject,google_speech,15,31
google_speech_commands_v1/sheila/dca2797e_nohash_0.wav,reject,google_speech,183,31
commands/1179001292/eng/eng_22.wav,command,telegram_bot,179,22
google_speech_commands_v1/three/94de6a6a_nohash_0.wav,reject,google_speech,333,31
synthetics/google/neural/eng/US_Standard_C_cmd7.wav,synthetic,google_neural,409,7
commands/366052369/eng/eng_29.wav,command,telegram_bot,268,29
google_speech_commands_v1/on/7eee5973_nohash_0.wav,reject,google_speech,60,31
