path,type,subtype,speaker,command,gender,age
commands/0d2bcf9d/eng/eng_24_1.wav,command,google,0,24,,
synthetics/azure/neural/eng/MollyNeural_15.wav,synthetic,azure_neural,1,15,Female,
synthetics/google/neural/eng/US_Standard_J_cmd24.wav,synthetic,google_neural,2,24,Male,
synthetics/polly/neural/eng/Ivy_8.wav,synthetic,polly_neural,3,8,Female,
synthetics/polly/standard/eng/Ivy_25.wav,synthetic,polly_standard,3,25,Female,
rejects/eng/eight_89f3ab7d_nohash_0.wav,reject,google,4,31,,
commands/8012c69d/eng/eng_24_2.wav,command,google,5,24,,
rejects/eng/sheila_41dce6f5_nohash_0.wav,reject,google,6,31,,
rejects/eng/no_471a0925_nohash_4.wav,reject,google,7,31,,
synthetics/google/standard/eng/IN_Wavenet_B_cmd17.wav,synthetic,google_standard,2,17,Male,
synthetics/google/standard/eng/GB_Neural2_C_cmd28.wav,synthetic,google_standard,2,28,Male,
rejects/eng/seven_a8ee11c7_nohash_0.wav,reject,google,8,31,,
rejects/eng/common_voice_en_19676435.wav,reject,mozilla,9,31,,
rejects/eng/common_voice_en_19238911.wav,reject,mozilla,9,31,,
rejects/eng/common_voice_en_19767406.wav,reject,mozilla,9,31,,
rejects/eng/six_d9d6559e_nohash_0.wav,reject,google,10,31,,
commands/2146007936/eng/eng_12.wav,command,telegram_bot,11,12,Female,['40-50']
commands/2127261933/eng/eng_27.wav,command,telegram_bot,12,27,Female,['20-30']
rejects/eng/common_voice_en_20994102.wav,reject,mozilla,9,31,,
synthetics/azure/neural/eng/EricNeural_20.wav,synthetic,azure_neural,13,20,Female,
synthetics/azure/neural/eng/JennyNeural_7.wav,synthetic,azure_neural,14,7,Female,
commands/8c3c4715/eng/eng_24_0.wav,command,google,15,24,,
commands/282273095/eng/eng_3.wav,command,telegram_bot,16,3,Male,['20-30']
rejects/eng/common_voice_en_19944696.wav,reject,mozilla,9,31,,
rejects/eng/common_voice_en_19964439.wav,reject,mozilla,9,31,,
synthetics/naturalreaders/neural/eng/mike_us_22.wav,synthetic,naturalreaders_neural,17,22,Female,
commands/5c8af87a/eng/eng_24_3.wav,command,google,18,24,,
synthetics/google/standard/eng/US_Wavenet_E_cmd10.wav,synthetic,google_standard,2,10,Male,
rejects/eng/three_863880b7_nohash_0.wav,reject,google,19,31,,
rejects/eng/six_6a27a9bf_nohash_0.wav,reject,google,20,31,,
rejects/eng/zero_28612180_nohash_2.wav,reject,google,21,31,,
rejects/eng/marvin_38d78313_nohash_0.wav,reject,google,22,31,,
rejects/eng/dog_1aed7c6d_nohash_1.wav,reject,google,23,31,,
rejects/eng/zero_964e8cfd_nohash_3.wav,reject,google,24,31,,
commands/323966352/eng/eng_28.wav,command,telegram_bot,25,28,Male,['20-30']
rejects/eng/common_voice_en_20942132.wav,reject,mozilla,9,31,,
synthetics/polly/standard/eng/Kimberly_10.wav,synthetic,polly_standard,26,10,Female,
rejects/eng/common_voice_en_19189345.wav,reject,mozilla,9,31,,
