index,speaker,count
2034,unknown,4552
2016,google_male,1581
2024,nemo,140
1627,cb8f8307,72
1295,Joanna,62
1296,Joey,62
1300,Kimberly,62
1306,Matthew,62
1322,Salli,62
1291,Ivy,62
1298,Kendra,62
1287,Emma,62
1280,Brian,62
1275,Amy,62
1297,Justin,62
932,712e4d58,60
1029,7ea032f3,55
692,51055bda,50
1032,7f74626f,50
1272,9ff2d2f4,48
1763,dea820ce,48
445,324210dd,48
534,3bfd30e6,48
1469,b4aa9fef,48
532,3bc21161,48
1519,bbd0bbd0,48
1559,c1d39ce8,48
2014,ffd2ba2f,48
4,0132a06d,48
644,4a1e736b,48
1047,8134f43f,47
1612,c948d727,47
1767,df1d5024,47
854,6727b579,47
218,190821dc,47
399,2bdbe5f7,45
1234,9a7c1f83,40
1850,eb3f7d82,39
1197,964e8cfd,38
507,38d78313,38
84,0ff728b5,38
1145,8eb4a1bf,38
1468,b49caed3,38
1062,834f03fe,38
390,29fb33da,38
1624,cb2929ce,38
896,6c429c7b,38
774,5c39594f,38
894,6c0f6493,38
961,742d6431,37
1504,b97c9f77,37
1591,c634a189,36
1056,8281a2a8,34
321,21832144,34
1233,9a69672b,34
331,229978fd,34
1503,b959cd0c,34
1236,9aa21fa9,34
1150,8f4c551f,34
1914,f19c1390,34
1507,b9f46737,34
1855,ec201020,34
453,333784b7,34
6,0137b3f4,34
1547,c0445658,34
1641,cd7f8c1b,34
1611,c93d5e22,34
96,106a6183,33
472,352792887,32
824,630722423,32
127,1254765304,32
1182,946730582,32
703,523906610,32
749,580130061,32
875,697081431,32
678,5003958420,32
110,1153694021,32
485,366052369,32
182,166000575,32
111,1179001292,32
803,617568216,32
363,268005350,32
876,698176020,32
483,365307573,32
376,282273095,32
504,388942547,32
454,334596431,32
1039,802288530,32
964,747267779,32
725,5520968966,32
163,1520141330,32
198,179492157,32
1102,888a0c49,32
297,2114791016,32
713,538507591,32
592,432184911,32
571,406576777,32
286,2080397916,32
1308,MichelleNeural,31
1292,JacobNeural,31
1320,Russell,31
1321,RyanNeural,31
1290,GuyNeural,31
1318,Raveena,31
1289,Geraint,31
1288,EricNeural,31
1286,EmilyNeural,31
1323,SamNeural,31
1285,ElizabethNeural,31
1319,RosaNeural,31
1316,PrabhatNeural,31
1284,CoraNeural,31
1315,Olivia,31
1305,LunaNeural,31
1304,LukeNeural,31
1303,LibbyNeural,31
1302,LiamNeural,31
1301,LeahNeural,31
1309,MitchellNeural,31
1310,MollyNeural,31
1299,Kevin,31
1311,MonicaNeural,31
1325,WilliamNeural,31
1312,NatashaNeural,31
1326,YanNeural,31
2019,karen,31
1294,JennyNeural,31
1293,JamesNeural,31
1313,NeerjaNeural,31
1314,Nicole,31
1307,MiaNeural,31
2036,will,31
1283,ConnorNeural,31
1881,engine2_voice4,31
1282,ClaraNeural,31
1884,engine2_voice7,31
1885,engine2_voice8,31
1886,engine2_voice9,31
1887,engine3_voice1,31
1888,engine3_voice2,31
1889,engine3_voice3,31
1892,engine3_voice6,31
1893,engine3_voice7,31
1894,engine3_voice8,31
1895,engine7_voice1,31
1896,engine7_voice2,31
1897,engine7_voice3,31
1898,engine7_voice4,31
1899,engine7_voice5,31
1900,engine7_voice6,31
1901,engine7_voice7,31
1882,engine2_voice5,31
1883,engine2_voice6,31
1880,engine2_voice3,31
1274,AmberNeural,31
1281,ChristopherNeural,31
1279,BrandonNeural,31
1278,AshleyNeural,31
1277,AriaNeural,31
1276,AnaNeural,31
1273,Aditi,31
1324,WayneNeural,31
1876,engine2_voice1,31
1879,engine2_voice2,31
1878,engine2_voice11,31
1877,engine2_voice10,31
977,769426504,30
386,296821092,30
2030,ryan,30
2025,peter,30
2028,rod,30
479,362625280,30
2027,rachel,29
2023,mike,29
2032,tracy,29
1890,engine3_voice4,29
2020,laura,29
302,2123568595,28
1666,d1214f15,28
2018,heather,28
695,5184ed3e,28
1033,7fa5fa1f,28
1161,914604355,27
301,2121819999,27
525,3aa6f4e2,27
628,482000749,27
299,2118597066,27
298,2115610208,27
1090,873992744,27
622,466977274,27
936,719438104,27
295,2114178392,27
294,2112819853,27
291,2109142388,27
288,2089995001,27
951,72d75d96,27
285,2066516850,27
284,2058616,27
283,2055098585,27
282,2045192328,27
281,202738934,27
572,407575728,27
956,738867743,27
744,573888762,27
994,787588380,27
983,779117346,27
976,767610558,27
1159,911154958,27
305,2126502572,27
794,604202480,27
306,2127261933,27
443,322249374,27
444,323966352,27
680,500947574,27
385,29503691,27
825,63445529,27
372,279763508,27
730,559248021,27
868,692151419,27
362,267561261,27
334,232282882,27
872,694887817,27
1191,957543608,27
1185,950255171,27
326,224710733,27
325,222556755,27
641,49af4432,27
1181,94638325,27
317,2146007936,27
316,2145431989,27
315,2144627614,27
314,2144090201,27
312,2140135041,27
1498,b8897f1c,27
308,2129142900,27
307,2128855261,27
604,443061286,27
364,269423705,27
219,1908394421,27
97,1086043658,27
1936,f44f440f,27
194,1770776685,27
