id,speaker,gender,age
0,0d2bcf9d,,
1,MollyNeural,Female,
2,google_male,Male,
3,Ivy,Female,
4,89f3ab7d,,
5,8012c69d,,
6,41dce6f5,,
7,471a0925,,
8,a8ee11c7,,
9,unknown,,
10,d9d6559e,,
11,2146007936,Female,['40-50']
12,2127261933,Female,['20-30']
13,EricNeural,Female,
14,JennyNeural,Female,
15,8c3c4715,,
16,282273095,Male,['20-30']
17,mike,Female,
18,5c8af87a,,
19,863880b7,,
20,6a27a9bf,,
21,28612180,,
22,38d78313,,
23,1aed7c6d,,
24,964e8cfd,,
25,323966352,Male,['20-30']
26,Kimberly,Female,
27,ce49cb60,,
28,engine2_voice3,Female,
29,2128855261,Female,['50-60']
30,388942547,Male,['20-30']
31,e652590d,,
32,f9bdf10e,,
33,5c39594f,,
34,96c67073,,
35,41474817,,
36,will,Female,
37,2da58b32,,
38,2121819999,Female,
39,bbd0bbd0,,
40,538507591,Male,['20-30']
41,604202480,Male,['20-30']
42,c08e5058,,
43,engine3_voice7,Female,
44,443061286,Female,
45,432184911,Male,['20-30']
46,767610558,Female,['20-30']
47,nemo,Female,
48,630722423,Male,['20-30']
49,6e2ef3d5,,
50,747267779,Male,['30-40']
51,2055098585,Male,['70-80']
52,106a6183,,
53,5003958420,Male,['20-30']
54,bf70feda,,
55,5a0bc987,,
56,366052369,Male,['20-30']
57,946730582,Male,['20-30']
58,BrandonNeural,Female,
59,1525639750,Female,['20-30']
60,d90b4138,,
61,Olivia,Female,
62,engine3_voice1,Female,
63,712e4d58,,
64,3bc21161,,
65,cd85758f,,
66,1784612953,Female,['20-30']
67,132762273,Male,['20-30']
68,engine2_voice9,Female,
69,NatashaNeural,Female,
70,Justin,Female,
71,66774579,,
72,f2b8fc18,,
73,AriaNeural,Female,
74,279763508,Female,['20-30']
75,179a61b7,,
76,c6389ab0,,
77,2145431989,Male,['40-50']
78,86cb59b2,,
79,171b56dc,,
80,49f30eed,,
81,1630728501,Female,['10-20']
82,engine2_voice1,Female,
83,9a69672b,,
84,694887817,Male,['20-30']
85,28e47b1a,,
86,b25b6065,,
87,8e05039f,,
88,352792887,Male,['20-30']
89,17f0e206,,
90,e4200516,,
91,268005350,Male,['20-30']
92,3777c08e,,
93,Brian,Female,
94,b5552931,,
95,4422e51d,,
96,4abb2400,,
97,Salli,Female,
98,MonicaNeural,Female,
99,AshleyNeural,Female,
100,2123568595,Female,['40-50']
101,406576777,Male,['20-30']
102,engine7_voice5,Female,
103,324210dd,,
104,b9f46737,,
105,6c0f6493,,
106,5184ed3e,,
107,1785329822,Female,['50-60']
108,7211390b,,
109,dd6c6806,,
110,WayneNeural,Female,
111,Matthew,Female,
112,audrey,Female,
113,3efa7ec4,,
114,914604355,Female,['10-20']
115,692a88e6,,
116,Raveena,Female,
117,engine7_voice1,Female,
118,5705a0f9,,
119,1086043658,Female,['20-30']
120,c50225fa,,
121,49af4432,,
122,f35eedd7,,
123,3bfd30e6,,
124,b8872c20,,
125,a1a59b72,,
126,engine3_voice6,Female,
127,e7ea8b76,,
128,d8ee4734,,
129,3aa6f4e2,,
130,719438104,Male,['20-30']
131,c1d39ce8,,
132,e72aa705,,
133,Joanna,Female,
134,YanNeural,Female,
135,f9ebdba0,,
136,9e075bf1,,
137,ad63d93c,,
138,7ea032f3,,
139,9f22307d,,
140,738867743,Male,['10-20']
141,e98cb283,,
142,ff21fb59,,
143,580130061,Male,['20-30']
144,c948d727,,
145,9ff2d2f4,,
146,SamNeural,Female,
147,JacobNeural,Female,
148,2144090201,Female,['30-40']
149,697081431,Female,['30-40']
150,8134f43f,,
151,engine7_voice4,Female,
152,13d7b8c9,,
153,7f74626f,,
154,3e3fa7fd,,
155,Emma,Female,
156,24b82192,,
157,362625280,Male,['20-30']
158,7fd25f7c,,
159,Amy,Female,
160,d1214f15,,
161,30137d34,,
162,engine7_voice2,Female,
163,533c6564,,
164,e805a617,,
165,1780966140,Female,['30-40']
166,037c445a,,
167,0ff728b5,,
168,4a803e67,,
169,1706c35f,,
170,7fa5fa1f,,
171,5d9bb361,,
172,LibbyNeural,Female,
173,engine7_voice3,Female,
174,Joey,Female,
175,706553514,Male,['20-30']
176,f804cbb3,,
177,1908497562,Male,['10-20']
178,NeerjaNeural,Female,
