path,type,subtype,speaker,command
synthetics/google/standard/eng/AU_Neural2_C_cmd22.wav,synthetic,google_standard,234,22
commands/2114178392/eng/eng_3.wav,command,telegram_bot,0,3
rejects/eng/common_voice_en_19403306.wav,reject,mozilla,327,31
synthetics/polly/standard/eng/Geraint_4.wav,synthetic,polly_standard,263,4
commands/406576777/eng/eng_3.wav,command,telegram_bot,64,3
commands/1785329822/eng/eng_28.wav,command,telegram_bot,91,28
commands/1784612953/eng/eng_8.wav,command,telegram_bot,35,8
rejects/eng/common_voice_en_20368647.wav,reject,mozilla,327,31
commands/268005350/eng/eng_0.wav,command,telegram_bot,72,0
rejects/eng/common_voice_en_19418664.wav,reject,mozilla,327,31
rejects/eng/common_voice_en_203286.wav,reject,mozilla,327,31
rejects/eng/yes_29fb33da_nohash_3.wav,reject,google,17,31
rejects/eng/four_f19c1390_nohash_0.wav,reject,google,29,31
rejects/eng/three_38d78313_nohash_0.wav,reject,google,137,31
rejects/eng/nine_72d75d96_nohash_0.wav,reject,google,129,31
synthetics/azure/neural/eng/CoraNeural_21.wav,synthetic,azure_neural,295,21
rejects/eng/common_voice_en_20017725.wav,reject,mozilla,327,31
rejects/eng/common_voice_en_23402642.wav,reject,mozilla,327,31
rejects/eng/six_190821dc_nohash_2.wav,reject,google,138,31
rejects/eng/common_voice_en_22777174.wav,reject,mozilla,327,31
rejects/eng/common_voice_en_19483714.wav,reject,mozilla,327,31
rejects/eng/common_voice_en_19451702.wav,reject,mozilla,327,31
synthetics/azure/neural/eng/AriaNeural_24.wav,synthetic,azure_neural,267,24
synthetics/vocalware/neural/eng/engine7_voice4_cmd6.wav,synthetic,vocalware_neural,319,6
synthetics/azure/neural/eng/AshleyNeural_3.wav,synthetic,azure_neural,273,3
rejects/eng/no_3bc21161_nohash_4.wav,reject,google,73,31
rejects/eng/common_voice_en_21111750.wav,reject,mozilla,327,31
synthetics/polly/neural/eng/Kendra_8.wav,synthetic,polly_neural,252,8
synthetics/vocalware/neural/eng/engine7_voice5_cmd7.wav,synthetic,vocalware_neural,321,7
rejects/eng/common_voice_en_19376444.wav,reject,mozilla,327,31
synthetics/polly/standard/eng/Aditi_10.wav,synthetic,polly_standard,264,10
rejects/eng/common_voice_en_19719844.wav,reject,mozilla,327,31
commands/1609876882/eng/eng_7.wav,command,telegram_bot,1,7
rejects/eng/common_voice_en_23369834.wav,reject,mozilla,327,31
rejects/eng/common_voice_en_23376066.wav,reject,mozilla,327,31
synthetics/google/neural/eng/GB_Standard_A_cmd2.wav,synthetic,google_neural,205,2
commands/362625280/eng/eng_18.wav,command,telegram_bot,95,18
rejects/eng/common_voice_en_23558563.wav,reject,mozilla,327,31
rejects/eng/common_voice_en_20027433.wav,reject,mozilla,327,31
synthetics/polly/standard/eng/Nicole_25.wav,synthetic,polly_standard,262,25
commands/747267779/eng/eng_27.wav,command,telegram_bot,132,27
rejects/eng/common_voice_en_20277258.wav,reject,mozilla,327,31
rejects/eng/common_voice_en_19993987.wav,reject,mozilla,327,31
commands/63445529/eng/ita_23.wav,command,telegram_bot,40,23
synthetics/azure/neural/eng/ClaraNeural_22.wav,synthetic,azure_neural,293,22
synthetics/azure/neural/eng/AriaNeural_28.wav,synthetic,azure_neural,267,28
commands/1908394421/eng/eng_23.wav,command,telegram_bot,23,23
commands/5003958420/eng/eng_27.wav,command,telegram_bot,96,27
rejects/eng/sheila_712e4d58_nohash_0.wav,reject,google,58,31
rejects/eng/house_c93d5e22_nohash_0.wav,reject,google,152,31
synthetics/vocalware/neural/eng/engine3_voice3_cmd28.wav,synthetic,vocalware_neural,308,28
rejects/eng/house_229978fd_nohash_0.wav,reject,google,142,31
rejects/eng/common_voice_en_21797125.wav,reject,mozilla,327,31
commands/2128855261/eng/eng_14.wav,command,telegram_bot,56,14
synthetics/polly/neural/eng/Salli_17.wav,synthetic,polly_neural,259,17
synthetics/vocalware/neural/eng/engine3_voice3_cmd24.wav,synthetic,vocalware_neural,308,24
rejects/eng/yes_3bc21161_nohash_0.wav,reject,google,73,31
rejects/eng/common_voice_en_19991601.wav,reject,mozilla,327,31
commands/b959cd0c/eng/eng_24_2.wav,command,google,131,24
synthetics/azure/neural/eng/ElizabethNeural_22.wav,synthetic,azure_neural,271,22
rejects/eng/common_voice_en_19993523.wav,reject,mozilla,327,31
synthetics/google/standard/eng/IN_Wavenet_D_cmd30.wav,synthetic,google_standard,220,30
synthetics/azure/neural/eng/RyanNeural_10.wav,synthetic,azure_neural,279,10
rejects/eng/common_voice_en_20933154.wav,reject,mozilla,327,31
commands/2144627614/eng/eng_4.wav,command,telegram_bot,172,4
rejects/eng/common_voice_en_19715931.wav,reject,mozilla,327,31
commands/1306913040/eng/eng_14.wav,command,telegram_bot,20,14
synthetics/polly/standard/eng/Joanna_6.wav,synthetic,polly_standard,248,6
synthetics/polly/standard/eng/Ivy_8.wav,synthetic,polly_standard,250,8
synthetics/polly/standard/eng/Geraint_17.wav,synthetic,polly_standard,263,17
