path,type,subtype,speaker,command,gender,age
rejects/ita/three_7e6bd776_nohash_0.wav,reject,google,325,31,,
commands/199231711/ita/ita_22.wav,command,telegram_bot,286,22,Male,['20-30']
rejects/ita/common_voice_it_23923624.wav,reject,mozilla,2,31,,
synthetics/polly/neural/eng/Joanna_20.wav,synthetic,polly_neural,210,20,Female,
rejects/ita/bird_9ff2d2f4_nohash_0.wav,reject,google,430,31,,
rejects/eng/three_bfa63751_nohash_0.wav,reject,google,353,31,,
rejects/eng/sheila_541e4079_nohash_0.wav,reject,google,419,31,,
rejects/ita/six_a9abc695_nohash_0.wav,reject,google,413,31,,
commands/1659685150/ita/ita_9.wav,command,telegram_bot,305,9,Female,['10-20']
commands/6a861f21/eng/eng_22_0.wav,command,google,223,22,,
rejects/ita/common_voice_it_23871683.wav,reject,mozilla,2,31,,
rejects/ita/happy_e55a2b20_nohash_1.wav,reject,google,132,31,,
synthetics/polly/standard/eng/Joey_25.wav,synthetic,polly_standard,254,25,Female,
rejects/ita/two_97f4c236_nohash_4.wav,reject,google,278,31,,
rejects/ita/zero_6ceeb9aa_nohash_0.wav,reject,google,797,31,,
rejects/ita/common_voice_it_18369780.wav,reject,mozilla,2,31,,
rejects/eng/yes_6727b579_nohash_4.wav,reject,google,458,31,,
rejects/ita/off_4620dc14_nohash_2.wav,reject,google,622,31,,
commands/1520141330/ita/mc_ita_17.wav,command,google,271,17,Male,['20-30']
rejects/ita/happy_a709ddd3_nohash_0.wav,reject,google,704,31,,
commands/2114791016/ita/ita_21.wav,command,telegram_bot,169,21,Female,['10-20']
commands/6e2ef3d5/eng/eng_24_1.wav,command,google,82,24,,
commands/b06c19b0/eng/eng_22_0.wav,command,google,186,22,,
commands/1770776685/ita/ita_0.wav,command,telegram_bot,135,0,Male,['40-50']
rejects/ita/four_721f767c_nohash_1.wav,reject,google,61,31,,
rejects/eng/cat_b8872c20_nohash_0.wav,reject,google,712,31,,
commands/2144627614/ita/ita_22.wav,command,telegram_bot,468,22,Female,['30-40']
commands/1770776685/eng/eng_27.wav,command,telegram_bot,135,27,Male,['40-50']
rejects/ita/seven_f17be97f_nohash_2.wav,reject,google,564,31,,
commands/190821dc/ita/ita_24_2.wav,command,google,116,24,,
rejects/eng/two_5236848b_nohash_0.wav,reject,google,487,31,,
commands/5062859821/ita/ita_27.wav,command,telegram_bot,707,27,Female,['50-60']
rejects/ita/common_voice_it_25968290.wav,reject,mozilla,2,31,,
synthetics/azure/neural/eng/PrabhatNeural_1.wav,synthetic,azure_neural,590,1,Female,
rejects/eng/yes_0ff728b5_nohash_3.wav,reject,google,52,31,,
commands/145347160/eng/eng_23.wav,command,telegram_bot,385,23,Male,['20-30']
