,0
0,1609876882
1,362625280
2,406576777
3,2121819999
4,1785329822
5,296821092
6,950255171
7,2127261933
8,323966352
9,1202998179
10,911154958
11,224710733
12,1153694021
13,697081431
14,1784612953
15,142490997
16,179492157
17,2114791016
18,779117346
19,134001349
20,365307573
21,1780966140
22,1483207948
23,132762273
24,867055321
25,166000575
26,719438104
27,2144090201
28,222556755
29,466977274
30,267561261
31,1520141330
32,2140135041
33,388942547
34,1863268171
35,2055098585
36,2058616
37,2128855261
38,698176020
39,630722423
40,2080397916
41,5520968966
42,957543608
43,738867743
44,2114178392
45,1224730345
46,692151419
47,63445529
48,282273095
49,696351228
50,1306913040
51,268005350
52,482000749
53,1179001292
54,523906610
55,1254765304
56,2109142388
57,279763508
58,2145431989
59,2089995001
60,1525639750
61,5003958420
62,1230421796
63,946730582
64,2146007936
65,1314783113
66,1889914753
67,432184911
68,2123568595
69,322249374
70,2066516850
71,1908497562
72,2045192328
73,2144627614
74,202738934
75,133699592
76,538507591
77,366052369
78,2025799315
79,1936687856
80,592391617
81,573888762
82,334596431
83,580130061
84,694887817
85,1153299253
86,802288530
87,2112819853
88,269423705
89,914604355
90,747267779
91,757577790
92,1385338327
93,604202480
94,1506793015
95,352792887
96,94638325
97,1770776685
98,767610558
99,407575728
100,322245354
101,232282882
102,559248021
103,706553514
104,189947376
105,2129142900
106,29503691
107,1086043658
108,617568216
109,873992744
110,1630728501
111,2118597066
112,2115610208
113,2126502572
114,443061286
115,787588380
116,540534542
117,1908394421
118,1132842894
119,500947574
120,engine3
121,engine2
122,engine7
123,MiaNeural
124,EricNeural
125,JennyNeural
126,LeahNeural
127,CoraNeural
128,LibbyNeural
129,MitchellNeural
130,MollyNeural
131,AmberNeural
132,ElizabethNeural
133,JacobNeural
134,JamesNeural
135,EmilyNeural
136,LukeNeural
137,BrandonNeural
138,LiamNeural
139,NatashaNeural
140,LunaNeural
141,WayneNeural
142,ConnorNeural
143,WilliamNeural
144,MonicaNeural
145,YanNeural
146,RosaNeural
147,GuyNeural
148,AriaNeural
149,NeerjaNeural
150,MichelleNeural
151,ClaraNeural
152,AshleyNeural
153,AnaNeural
154,RyanNeural
155,PrabhatNeural
156,ChristopherNeural
157,SamNeural
158,GB_Neural2_A
159,US_Neural2_A
160,GB_Wavenet_A
161,IN_Wavenet_A
162,GB_Wavenet_D
163,AU_Wavenet_A
164,IN_Wavenet_D
165,US_Wavenet_F
166,US_Wavenet_D
167,GB_Neural2_C
168,US_Wavenet_I
169,AU_Wavenet_C
170,GB_Wavenet_C
171,US_Wavenet_A
172,US_Wavenet_B
173,IN_Wavenet_B
174,US_Wavenet_J
175,IN_Wavenet_C
176,US_Wavenet_C
177,AU_Wavenet_D
178,GB_Wavenet_F
179,US_Wavenet_G
180,AU_Neural2_C
181,US_Wavenet_E
182,GB_Wavenet_B
183,AU_Wavenet_B
184,US_Wavenet_H
185,AU_Neural2_A
186,IN_Standard_A
187,US_Standard_A
188,AU_Standard_D
189,IN_Standard_C
190,GB_Standard_A
191,US_Standard_G
192,AU_Standard_A
193,AU_Standard_C
194,AU_Standard_B
195,US_Standard_D
196,US_Standard_C
197,US_Standard_F
198,IN_Standard_D
199,US_Standard_I
200,GB_Standard_B
201,GB_Standard_F
202,US_Standard_E
203,US_Standard_J
204,US_Standard_B
205,GB_Standard_C
206,GB_Standard_D
207,US_Standard_H
208,IN_Standard_B
209,heather
210,tyler
211,rachel
212,tracy
213,karen
214,charles
215,sharon
216,lisa
217,graham
218,audrey
219,will
220,laura
221,lucy
222,mike
223,Joey
224,Geraint
225,Kendra
226,Aditi
227,Nicole
228,Amy
229,Raveena
230,Salli
231,Joanna
232,Brian
233,Russell
234,Matthew
235,Kimberly
236,Ivy
237,Justin
238,Emma
239,Olivia
240,Kevin
241,0c40e715
242,0ea0e2f4
243,105a0eea
244,1528225c
245,1b4c9b89
246,20d3f11f
247,2796ac50
248,283d7a53
249,2c6d3924
250,2d82a556
251,370844f7
252,37dca74f
253,3df9a3d4
254,3f2b358d
255,3ff840aa
256,422d3197
257,4290ca61
258,43fc47a7
259,44260689
260,4620dc14
261,47d01978
262,4845bb10
263,4c4d2526
264,4c7c95de
265,4c841771
266,50033893
267,553f1a79
268,563aa4e6
269,5744b6a7
270,5828dfa2
271,587f3271
272,5b1db3ee
273,5c8af87a
274,5e3dde6b
275,5ff3f9a1
276,6021f08b
277,62ff07ef
278,653a48f5
279,67961766
280,68dd409e
281,692a88e6
282,6b889021
283,6e916de8
284,6f2f57c1
285,7192fddc
286,7257420c
287,782c1305
288,94de6a6a
289,964e8cfd
290,97f4c236
291,9a69672b
292,9a7c1f83
293,a8e25ebb
294,aa233654
295,aa48c94a
296,adebe223
297,b49caed3
298,b83c1acf
299,b97c9f77
300,c22d3f18
301,c518d1b1
302,c7124b73
303,cc592808
304,cd85758f
305,cfde27ba
306,d0faf7e4
307,d103dd6e
308,d1a4fb3f
309,d5ca80c6
310,d7467392
311,d9e9f554
312,e1469561
313,e41a903b
314,096456f9
315,0f250098
316,0fa1e7a9
317,1f3bece8
318,1f653d27
319,24ad3ebe
320,26b28ea7
321,27c30960
322,2fa39636
323,37fc5d97
324,412c675c
325,42beb5eb
326,44715c1c
327,48a8a69d
328,6736bc64
329,6f689791
330,7bae88ed
331,ca48dc76
332,caedb73a
333,caf9fceb
334,135c6841
335,1fe4c891
336,2aa787cf
337,3efef882
338,daf230ac
339,3c165869
340,d91a159e
341,dc75148d
342,5f814c23
343,026290a7
344,099d52ad
345,0e17f595
346,105e72bb
347,1657c9fa
348,16db1582
349,171b56dc
350,1942abd7
351,1a9afd33
352,1aed7c6d
353,1bc45db9
354,23ad12d8
355,257e17e0
356,264f471d
357,27b9a84f
358,2a89ad5c
359,2ce7534c
360,3903b558
361,3aa6f4e2
362,3ca784ec
363,409c962a
364,439c84f4
365,44bc77f7
366,44c201dd
367,471a0925
368,4abefdf5
369,50ed8a7b
370,52bfbce8
371,52e228e9
372,538e1856
373,541120c7
374,56eb74ae
375,57cb3575
376,591d32f3
377,5fadb538
378,605ed0ff
379,6071a214
380,61bcb275
381,65ec06e5
382,66774579
383,66cff190
384,67c7fecb
385,6c0f6493
386,6d818f6c
387,7c1d8533
388,7fd25f7c
389,9db2bfe9
390,a6d586b7
391,a8cf01bc
392,a9f38bae
393,ab00c4b2
394,ab7b5acd
395,ad63d93c
396,bdee441c
397,c099668c
398,c24d96eb
399,c256377f
400,c4cfbe43
401,c4e1f6e0
402,c50225fa
403,c6ee87a7
404,c90c0105
405,cab100c9
406,ccea893d
407,d197e3ae
408,d57febf0
409,d9462202
410,d9ae8983
411,da7689f1
412,dbb40d24
413,dca2797e
414,dd086776
415,e14a99a5
416,e54a0f16
417,e6db3894
418,e6e29c47
419,f17be97f
420,1816b768
421,2296b1af
422,258f4559
423,29b81b73
424,2e0d80f7
425,3bdf05d3
426,3e2ba5f7
427,41285056
428,48bfde8e
429,53d5b86f
430,6d0ad764
431,c2d15ea5
432,e63b69c5
433,22aa3665
434,62641b88
435,7117fb6d
436,7195ffa6
437,d874a786
438,db43cd03
439,10f2bb12
440,6940f7f3
441,dbaf8fc6
442,d55aa56c
