path,type,subtype,speaker,label
synthetics/naturalreaders/neural/eng/graham_en_29.wav,synthetic,naturalreaders_neural,217,29
synthetics/vocalware/neural/eng/engine2_voice8_cmd15.wav,synthetic,vocalware_neural,121,15
synthetics/polly/standard/eng/Kendra_26.wav,synthetic,polly_standard,225,26
google_speech_commands_v1/tree/096456f9_nohash_0.wav,reject,google_speech,314,31
synthetics/azure/neural/eng/SamNeural_12.wav,synthetic,azure_neural,157,12
google_speech_commands_v1/tree/099d52ad_nohash_0.wav,reject,google_speech,344,31
google_speech_commands_v1/bed/0e17f595_nohash_0.wav,reject,google_speech,345,31
commands/5520968966/eng/eng_9.wav,command,telegram_bot,41,9
synthetics/google/neural/eng/US_Standard_E_cmd9.wav,synthetic,google_neural,202,9
synthetics/azure/neural/eng/AmberNeural_5.wav,synthetic,azure_neural,131,5
google_speech_commands_v1/left/4845bb10_nohash_1.wav,reject,google_speech,262,31
google_speech_commands_v1/no/258f4559_nohash_0.wav,reject,google_speech,422,31
google_speech_commands_v1/tree/e1469561_nohash_0.wav,reject,google_speech,312,31
commands/523906610/eng/eng_12.wav,command,telegram_bot,54,12
google_speech_commands_v1/seven/e1469561_nohash_0.wav,reject,google_speech,312,31
synthetics/polly/neural/eng/Kimberly_25.wav,synthetic,polly_neural,235,25
google_speech_commands_v1/on/591d32f3_nohash_1.wav,reject,google_speech,376,31
google_speech_commands_v1/tree/65ec06e5_nohash_0.wav,reject,google_speech,381,31
commands/950255171/eng/eng_21.wav,command,telegram_bot,6,21
synthetics/google/standard/eng/GB_Wavenet_A_cmd20.wav,synthetic,google_standard,160,20
synthetics/azure/neural/eng/WilliamNeural_5.wav,synthetic,azure_neural,143,5
commands/1889914753/eng/eng_11.wav,command,telegram_bot,66,11
google_speech_commands_v1/tree/0ea0e2f4_nohash_0.wav,reject,google_speech,242,31
google_speech_commands_v1/sheila/37dca74f_nohash_0.wav,reject,google_speech,252,31
commands/1306913040/eng/eng_4.wav,command,telegram_bot,50,4
