,0
0,362625280
1,406576777
2,2121819999
3,1659685150
4,296821092
5,224710733
6,1153694021
7,697081431
8,1784612953
9,238016822
10,179492157
11,2114791016
12,340310580
13,370932516
14,881567288
15,365307573
16,198584602
17,132762273
18,30368201
19,867055321
20,166000575
21,623691937
22,769426504
23,892001330
24,222556755
25,1520141330
26,388942547
27,698176020
28,630722423
29,2080397916
30,63445529
31,282273095
32,5093320195
33,556469931
34,445789300
35,268005350
36,482000749
37,1179001292
38,1304767958
39,523906610
40,1254765304
41,1544136214
42,2089995001
43,690728394
44,1700542692
45,946730582
46,247786014
47,1212263007
48,5062859821
49,432184911
50,436294034
51,2123568595
52,190682718
53,1035156532
54,298552117
55,322249374
56,1276203341
57,1908497562
58,1323114146
59,538507591
60,5006572278
61,366052369
62,1005594640
63,2114682518
64,727092146
65,1364524938
66,334596431
67,580130061
68,937390897
69,225920774
70,1153299253
71,802288530
72,2112819853
73,914604355
74,1284329670
75,747267779
76,757577790
77,507870188
78,589084963
79,352792887
80,927800987
81,767610558
82,322245354
83,179847597
84,571275450
85,48724485
86,559248021
87,189947376
88,1299468493
89,617568216
90,891999531
91,2118597066
92,443061286
93,409714222
94,208525704
95,540534542
96,765587623
97,500947574
98,engine3
99,engine2
100,engine7
101,DiegoNeural
102,ElsaNeural
103,IsabellaNeural
104,IT_Wavenet_B
105,IT_Wavenet_C
106,IT_Wavenet_D
107,IT_Wavenet_A
108,IT_Standard_D
109,IT_Standard_A
110,IT_Standard_B
111,IT_Standard_C
112,vittorio
113,fabiana
114,Bianca
115,Carla
116,Giorgio
117,0c40e715
118,0ea0e2f4
119,105a0eea
120,1528225c
121,1b4c9b89
122,20d3f11f
123,2796ac50
124,283d7a53
125,2c6d3924
126,2d82a556
127,370844f7
128,37dca74f
129,3df9a3d4
130,3f2b358d
131,3ff840aa
132,422d3197
133,4290ca61
134,43fc47a7
135,44260689
136,4620dc14
137,47d01978
138,4845bb10
139,4c4d2526
140,4c7c95de
141,4c841771
142,50033893
143,553f1a79
144,563aa4e6
145,5744b6a7
146,5828dfa2
147,587f3271
148,5b1db3ee
149,5c8af87a
150,5e3dde6b
151,5ff3f9a1
152,6021f08b
153,62ff07ef
