path,type,subtype,speaker,label,noise_path,noise_type,noise_subtype,snr
commands/48724485/ita/ita_5.wav,command,telegram_bot,85,5,,,,
commands/690728394/ita/ita_11.wav,command,telegram_bot,43,11,,,,
google_speech_commands_v1/zero/f292725f_nohash_0.wav,reject,google_speech,218,31,,,,
commands/2114791016/ita/ita_23.wav,command,telegram_bot,11,23,,,,
google_speech_commands_v1/one/61bcb275_nohash_0.wav,reject,google_speech,310,31,,,,
commands/1035156532/ita/ita_24.wav,command,telegram_bot,53,24,,,,
commands/727092146/ita/ita_4.wav,command,telegram_bot,64,4,,,,
google_speech_commands_v1/eight/e95c70e2_nohash_1.wav,reject,google_speech,371,31,,,,
google_speech_commands_v1/bed/587f3271_nohash_2.wav,reject,google_speech,147,31,,,,
google_speech_commands_v1/off/52e228e9_nohash_0.wav,reject,google_speech,301,31,,,,
google_speech_commands_v1/cat/7be5a0f3_nohash_0.wav,reject,google_speech,317,31,,,,
commands/238016822/ita/ita_27.wav,command,telegram_bot,9,27,,,,
google_speech_commands_v1/sheila/3ca784ec_nohash_1.wav,reject,google_speech,292,31,,,,
google_speech_commands_v1/off/6f689791_nohash_0.wav,reject,google_speech,240,31,,,,
commands/881567288/ita/eng_23.wav,command,telegram_bot,14,23,,,,
google_speech_commands_v1/yes/c6ee87a7_nohash_4.wav,reject,google_speech,353,31,,,,
google_speech_commands_v1/go/c6ee87a7_nohash_4.wav,reject,google_speech,353,31,,,,
google_speech_commands_v1/bed/f0ae7203_nohash_0.wav,reject,google_speech,216,31,,,,
commands/322249374/ita/ita_9.wav,command,telegram_bot,55,9,,,,
commands/523906610/ita/ita_24.wav,command,telegram_bot,39,24,,,,
commands/340310580/ita/eng_23.wav,command,telegram_bot,12,23,,,,
commands/5006572278/ita/ita_27.wav,command,telegram_bot,60,27,,,,
google_speech_commands_v1/down/c0e0f834_nohash_0.wav,reject,google_speech,199,31,,,,
commands/1544136214/ita/ita_18.wav,command,telegram_bot,41,18,,,,
google_speech_commands_v1/off/8c7f81df_nohash_1.wav,reject,google_speech,173,31,,,,
commands/2121819999/ita/ita_16.wav,command,telegram_bot,2,16,,,,
google_speech_commands_v1/on/f264e0df_nohash_0.wav,reject,google_speech,217,31,,,,
google_speech_commands_v1/no/b97c9f77_nohash_2.wav,reject,google_speech,196,31,,,,
google_speech_commands_v1/zero/1b4c9b89_nohash_3.wav,reject,google_speech,121,31,,,,
commands/559248021/ita/ita_12.wav,command,telegram_bot,86,12,,,,
google_speech_commands_v1/off/b83c1acf_nohash_3.wav,reject,google_speech,195,31,,,,
google_speech_commands_v1/two/c6ee87a7_nohash_2.wav,reject,google_speech,353,31,,,,
google_speech_commands_v1/eight/2296b1af_nohash_0.wav,reject,google_speech,383,31,,,,
google_speech_commands_v1/bird/c90c0105_nohash_1.wav,reject,google_speech,354,31,,,,
commands/769426504/ita/ita_29.wav,command,telegram_bot,22,29,,,,
google_speech_commands_v1/stop/d1a4fb3f_nohash_0.wav,reject,google_speech,208,31,,,,
google_speech_commands_v1/dog/e63b69c5_nohash_0.wav,reject,google_speech,400,31,,,,
google_speech_commands_v1/left/439c84f4_nohash_3.wav,reject,google_speech,294,31,,,,
commands/1908497562/ita/ita_30.wav,command,telegram_bot,57,30,,,,
google_speech_commands_v1/no/bdee441c_nohash_5.wav,reject,google_speech,346,31,,,,
google_speech_commands_v1/five/fde2dee7_nohash_0.wav,reject,google_speech,381,31,,,,
google_speech_commands_v1/bed/653a48f5_nohash_0.wav,reject,google_speech,154,31,,,,
google_speech_commands_v1/bird/8a5acefd_nohash_0.wav,reject,google_speech,325,31,,,,
google_speech_commands_v1/two/f84762e5_nohash_1.wav,reject,google_speech,377,31,,,,
google_speech_commands_v1/six/cd85758f_nohash_0.wav,reject,google_speech,204,31,,,,
synthetics/vocalware/neural/ita/engine2_voice10_cmd9.wav,synthetic,vocalware_neural,99,9,,,,
google_speech_commands_v1/stop/7fd25f7c_nohash_4.wav,reject,google_speech,320,31,,,,
google_speech_commands_v1/wow/1b4c9b89_nohash_0.wav,reject,google_speech,121,31,,,,
google_speech_commands_v1/yes/d0faf7e4_nohash_7.wav,reject,google_speech,206,31,,,,
google_speech_commands_v1/four/099d52ad_nohash_3.wav,reject,google_speech,274,31,,,,
google_speech_commands_v1/down/264f471d_nohash_1.wav,reject,google_speech,286,31,,,,
synthetics/vocalware/neural/ita/engine2_voice3_cmd24.wav,synthetic,vocalware_neural,99,24,,,,
commands/617568216/ita/ita_21.wav,command,telegram_bot,89,21,,,,
google_speech_commands_v1/house/db43cd03_nohash_0.wav,reject,google_speech,407,31,,,,
commands/189947376/ita/ita_30.wav,command,telegram_bot,87,30,,,,
commands/1153694021/ita/ita_14.wav,command,telegram_bot,6,14,,,,
commands/362625280/ita/ita_23.wav,command,telegram_bot,0,23,,,,
google_speech_commands_v1/three/026290a7_nohash_1.wav,reject,google_speech,272,31,,,,
google_speech_commands_v1/zero/cab100c9_nohash_0.wav,reject,google_speech,355,31,,,,
google_speech_commands_v1/four/9a69672b_nohash_1.wav,reject,google_speech,180,31,,,,
commands/698176020/ita/ita_3.wav,command,telegram_bot,27,3,,,,
google_speech_commands_v1/wow/0f250098_nohash_0.wav,reject,google_speech,226,31,,,,
google_speech_commands_v1/cat/471a0925_nohash_0.wav,reject,google_speech,297,31,,,,
commands/580130061/ita/ita_10.wav,command,telegram_bot,67,10,,,,
google_speech_commands_v1/right/563aa4e6_nohash_3.wav,reject,google_speech,144,31,,,,
google_speech_commands_v1/two/7192fddc_nohash_3.wav,reject,google_speech,161,31,,,,
google_speech_commands_v1/zero/1b4c9b89_nohash_0.wav,reject,google_speech,121,31,,,,
google_speech_commands_v1/six/e1469561_nohash_2.wav,reject,google_speech,212,31,,,,
google_speech_commands_v1/one/29b81b73_nohash_0.wav,reject,google_speech,385,31,,,,
google_speech_commands_v1/right/4c7c95de_nohash_1.wav,reject,google_speech,140,31,,,,
google_speech_commands_v1/five/840c366d_nohash_0.wav,reject,google_speech,259,31,,,,
commands/1520141330/ita/ita_0.wav,command,telegram_bot,25,0,,,,
synthetics/vocalware/neural/ita/engine3_voice1_cmd14.wav,synthetic,vocalware_neural,98,14,,,,
commands/247786014/ita/ita_2.wav,command,telegram_bot,46,2,,,,
google_speech_commands_v1/on/57cb3575_nohash_1.wav,reject,google_speech,305,31,,,,
google_speech_commands_v1/nine/47d01978_nohash_1.wav,reject,google_speech,137,31,,,,
synthetics/google/standard/ita/IT_Wavenet_B_cmd16.wav,synthetic,google_standard,104,16,,,,
google_speech_commands_v1/bed/3df9a3d4_nohash_1.wav,reject,google_speech,129,31,,,,
google_speech_commands_v1/down/9a356ab9_nohash_0.wav,reject,google_speech,179,31,,,,
google_speech_commands_v1/six/c4e1f6e0_nohash_2.wav,reject,google_speech,351,31,,,,
google_speech_commands_v1/up/7195ffa6_nohash_0.wav,reject,google_speech,405,31,,,,
google_speech_commands_v1/on/88f8a99c_nohash_0.wav,reject,google_speech,394,31,,,,
google_speech_commands_v1/house/fe1916ba_nohash_1.wav,reject,google_speech,223,31,,,,
google_speech_commands_v1/six/1b4c9b89_nohash_1.wav,reject,google_speech,121,31,,,,
google_speech_commands_v1/left/bdee441c_nohash_0.wav,reject,google_speech,346,31,,,,
synthetics/vocalware/neural/ita/engine2_voice2_cmd11.wav,synthetic,vocalware_neural,99,11,,,,
google_speech_commands_v1/down/8a5acefd_nohash_1.wav,reject,google_speech,325,31,,,,
google_speech_commands_v1/five/563aa4e6_nohash_0.wav,reject,google_speech,144,31,,,,
commands/914604355/ita/ita_29.wav,command,telegram_bot,73,29,,,,
google_speech_commands_v1/happy/3c165869_nohash_2.wav,reject,google_speech,266,31,,,,
google_speech_commands_v1/up/a6d586b7_nohash_0.wav,reject,google_speech,331,31,,,,
commands/538507591/ita/mc_ita_16.wav,command,telegram_bot,59,16,,,,
google_speech_commands_v1/eight/1f653d27_nohash_1.wav,reject,google_speech,229,31,,,,
google_speech_commands_v1/zero/84d1e469_nohash_2.wav,reject,google_speech,170,31,,,,
google_speech_commands_v1/cat/8b775397_nohash_0.wav,reject,google_speech,326,31,,,,
google_speech_commands_v1/bed/9db2bfe9_nohash_0.wav,reject,google_speech,330,31,,,,
google_speech_commands_v1/sheila/67c7fecb_nohash_0.wav,reject,google_speech,314,31,,,,
google_speech_commands_v1/right/4abefdf5_nohash_0.wav,reject,google_speech,298,31,,,,
commands/617568216/ita/ita_6.wav,command,telegram_bot,89,6,,,,
google_speech_commands_v1/three/c2d15ea5_nohash_0.wav,reject,google_speech,399,31,,,,
google_speech_commands_v1/on/d197e3ae_nohash_0.wav,reject,google_speech,357,31,,,,
google_speech_commands_v1/bed/f34e6f44_nohash_2.wav,reject,google_speech,374,31,,,,
google_speech_commands_v1/six/7fd25f7c_nohash_4.wav,reject,google_speech,320,31,,,,
