speaker,count
114,341
113,242
115,217
433,119
321,117
461,116
296,114
272,113
478,112
243,112
310,111
259,110
419,110
422,110
430,110
236,110
446,110
435,110
488,110
479,110
409,110
472,110
468,110
452,110
412,110
265,110
264,110
292,110
328,110
319,110
315,110
311,110
309,110
295,110
327,110
291,110
401,110
389,108
293,107
482,104
445,83
245,67
214,62
222,62
223,62
219,62
225,62
226,62
227,62
228,62
229,62
216,62
221,62
41,32
12,32
80,32
81,32
75,32
17,32
40,32
84,32
13,32
88,32
31,32
92,32
20,32
102,32
38,32
2,32
16,32
24,32
76,32
52,32
62,32
50,32
53,32
54,32
48,32
33,32
60,32
66,32
39,32
176,31
149,31
175,31
166,31
174,31
173,31
177,31
172,31
148,31
170,31
169,31
168,31
167,31
155,31
165,31
164,31
178,31
163,31
162,31
161,31
150,31
160,31
151,31
159,31
158,31
152,31
153,31
154,31
157,31
156,31
198,31
179,31
196,31
231,31
230,31
224,31
220,31
218,31
217,31
215,31
209,31
146,31
206,31
201,31
200,31
199,31
197,31
195,31
180,31
194,31
193,31
192,31
191,31
190,31
189,31
188,31
187,31
186,31
185,31
184,31
183,31
182,31
181,31
147,31
171,31
145,31
129,31
144,31
116,31
117,31
118,31
119,31
120,31
121,31
122,31
123,31
124,31
125,31
127,31
128,31
126,31
130,31
137,31
143,31
142,31
141,31
140,31
131,31
138,31
139,31
136,31
135,31
134,31
133,31
132,31
391,30
384,30
390,30
515,30
388,30
387,30
386,30
385,30
380,30
516,30
517,30
518,30
383,30
519,30
520,30
382,30
381,30
393,30
392,30
406,30
394,30
395,30
410,30
511,30
512,30
408,30
407,30
378,30
405,30
404,30
403,30
402,30
513,30
514,30
400,30
399,30
398,30
397,30
396,30
379,30
524,30
377,30
362,30
360,30
359,30
527,30
528,30
358,30
357,30
356,30
355,30
354,30
353,30
352,30
351,30
350,30
349,30
348,30
347,30
346,30
361,30
363,30
376,30
526,30
375,30
374,30
373,30
372,30
371,30
521,30
522,30
523,30
370,30
369,30
368,30
510,30
367,30
366,30
365,30
525,30
364,30
411,30
506,30
509,30
467,30
470,30
471,30
473,30
474,30
475,30
476,30
444,30
443,30
477,30
442,30
441,30
480,30
440,30
439,30
438,30
437,30
481,30
469,30
466,30
484,30
465,30
344,30
447,30
448,30
449,30
450,30
451,30
453,30
454,30
455,30
456,30
457,30
458,30
459,30
460,30
462,30
463,30
464,30
483,30
485,30
413,30
431,30
429,30
428,30
427,30
505,30
426,30
425,30
424,30
423,30
507,30
421,30
420,30
508,30
418,30
417,30
416,30
415,30
414,30
504,30
432,30
486,30
503,30
487,30
489,30
490,30
491,30
492,30
493,30
494,30
495,30
496,30
497,30
498,30
499,30
500,30
436,30
501,30
434,30
502,30
345,30
529,30
343,30
253,30
255,30
256,30
257,30
258,30
260,30
261,30
262,30
263,30
1,30
266,30
267,30
268,30
269,30
270,30
271,30
273,30
274,30
275,30
276,30
277,30
278,30
254,30
252,30
280,30
251,30
5,30
25,30
205,30
208,30
342,30
232,30
233,30
234,30
235,30
237,30
238,30
239,30
240,30
241,30
242,30
244,30
246,30
247,30
248,30
249,30
250,30
279,30
213,30
281,30
339,30
316,30
317,30
318,30
320,30
322,30
323,30
282,30
325,30
326,30
329,30
330,30
331,30
332,30
333,30
334,30
335,30
336,30
337,30
340,30
341,30
338,30
314,30
313,30
312,30
308,30
283,30
284,30
285,30
286,30
287,30
288,30
289,30
290,30
294,30
297,30
298,30
299,30
300,30
301,30
302,30
303,30
304,30
305,30
306,30
307,30
203,29
204,29
210,29
324,29
212,29
202,28
67,28
4,27
44,27
34,27
35,27
36,27
37,27
42,27
43,27
46,27
45,27
30,27
47,27
49,27
51,27
55,27
56,27
57,27
58,27
32,27
28,27
29,27
14,27
3,27
6,27
7,27
8,27
9,27
10,27
11,27
15,27
61,27
18,27
19,27
21,27
22,27
23,27
26,27
27,27
59,27
96,27
63,27
105,27
95,27
97,27
98,27
99,27
100,27
101,27
103,27
104,27
106,27
64,27
107,27
108,27
109,27
110,27
111,27
112,27
207,27
211,27
94,27
93,27
91,27
90,27
65,27
68,27
69,27
70,27
71,27
72,27
73,27
74,27
77,27
79,27
82,27
83,27
85,27
86,27
87,27
89,27
0,27
78,26
