speaker,count
185,310
405,119
293,117
433,116
268,114
244,113
215,112
450,112
282,111
418,110
444,110
208,110
381,110
402,110
451,110
384,110
460,110
394,110
391,110
263,110
264,110
373,110
237,110
440,110
287,110
299,110
424,110
291,110
281,110
300,110
231,110
407,110
283,110
236,110
267,110
361,108
265,107
454,104
417,83
217,67
184,62
186,62
107,34
35,34
70,34
69,34
53,34
116,34
78,34
46,34
45,34
2,34
4,32
97,32
29,32
82,32
39,32
85,32
174,32
89,32
24,32
121,32
23,32
22,32
95,32
17,32
6,32
140,32
139,32
14,32
30,32
108,32
109,32
110,32
134,32
181,32
120,32
119,32
165,32
63,32
61,32
71,32
55,32
160,32
36,32
150,32
126,32
64,32
153,32
67,32
154,32
54,32
72,32
75,32
164,32
37,31
193,31
197,31
195,31
201,31
202,31
187,31
1,31
194,31
192,31
188,31
191,31
189,31
196,31
203,31
190,31
358,30
359,30
372,30
357,30
368,30
360,30
371,30
370,30
362,30
363,30
364,30
365,30
369,30
366,30
367,30
251,30
356,30
355,30
325,30
324,30
323,30
322,30
321,30
320,30
319,30
318,30
317,30
316,30
315,30
314,30
313,30
312,30
311,30
310,30
309,30
308,30
307,30
306,30
305,30
304,30
303,30
302,30
301,30
326,30
327,30
328,30
343,30
354,30
353,30
352,30
351,30
350,30
349,30
348,30
347,30
346,30
345,30
344,30
342,30
329,30
341,30
340,30
339,30
337,30
336,30
335,30
334,30
333,30
332,30
331,30
330,30
338,30
401,30
374,30
461,30
472,30
471,30
470,30
469,30
468,30
467,30
466,30
465,30
464,30
463,30
462,30
459,30
474,30
458,30
457,30
456,30
455,30
453,30
452,30
449,30
448,30
447,30
446,30
445,30
473,30
475,30
442,30
489,30
500,30
499,30
498,30
497,30
496,30
495,30
494,30
493,30
492,30
491,30
490,30
488,30
476,30
487,30
486,30
485,30
484,30
483,30
482,30
481,30
480,30
479,30
478,30
477,30
443,30
441,30
375,30
390,30
404,30
403,30
297,30
400,30
399,30
398,30
397,30
396,30
395,30
393,30
392,30
389,30
408,30
388,30
387,30
386,30
385,30
383,30
382,30
380,30
379,30
378,30
377,30
376,30
406,30
409,30
439,30
426,30
438,30
437,30
436,30
435,30
434,30
432,30
431,30
430,30
429,30
428,30
427,30
425,30
410,30
423,30
422,30
421,30
420,30
419,30
416,30
415,30
414,30
413,30
412,30
411,30
298,30
501,30
198,30
224,30
226,30
227,30
228,30
229,30
230,30
233,30
234,30
235,30
238,30
239,30
240,30
241,30
242,30
243,30
245,30
225,30
223,30
247,30
222,30
204,30
205,30
206,30
207,30
209,30
210,30
211,30
212,30
213,30
214,30
216,30
218,30
219,30
220,30
221,30
246,30
232,30
248,30
272,30
274,30
275,30
276,30
277,30
278,30
279,30
280,30
284,30
285,30
249,30
288,30
289,30
290,30
292,30
294,30
273,30
286,30
271,30
257,30
270,30
250,30
252,30
253,30
254,30
255,30
256,30
295,30
258,30
260,30
261,30
262,30
266,30
259,30
269,30
133,29
125,29
129,29
132,29
143,29
136,29
115,29
41,29
34,29
33,29
117,29
104,29
60,29
62,29
68,29
101,29
99,29
98,29
96,29
91,29
90,29
88,29
156,29
77,29
296,29
86,29
183,29
173,29
175,29
169,29
19,29
18,29
13,29
26,29
3,29
200,29
118,28
81,28
168,28
76,27
12,27
9,27
74,27
79,27
73,27
10,27
8,27
11,27
66,27
65,27
7,27
5,27
59,27
83,27
80,27
27,27
58,27
28,27
31,27
32,27
25,27
21,27
38,27
40,27
20,27
42,27
43,27
44,27
47,27
48,27
16,27
49,27
50,27
51,27
52,27
15,27
56,27
57,27
149,27
84,27
145,27
147,27
148,27
151,27
152,27
155,27
157,27
158,27
159,27
161,27
162,27
163,27
166,27
167,27
170,27
171,27
172,27
176,27
177,27
178,27
179,27
180,27
182,27
199,27
146,27
144,27
87,27
142,27
92,27
93,27
94,27
100,27
102,27
103,27
105,27
106,27
111,27
112,27
113,27
114,27
122,27
123,27
124,27
127,27
128,27
130,27
131,27
135,27
137,27
138,27
141,27
0,27
