,0
0,1609876882
1,362625280
2,406576777
3,2121819999
4,1659685150
5,1785329822
6,296821092
7,445686566
8,1069744512
9,950255171
10,323966352
11,1202998179
12,911154958
13,224710733
14,1153694021
15,2125472936
16,899529674
17,697081431
18,1784612953
19,238016822
20,142490997
21,2129470480
22,179492157
23,2114791016
24,340310580
25,1430746625
26,881567288
27,779117346
28,134001349
29,365307573
30,198584602
31,1780966140
32,1483207948
33,132762273
34,30368201
35,166000575
36,623691937
37,769426504
38,719438104
39,892001330
40,2144090201
41,222556755
42,466977274
43,492297965
44,267561261
45,1520141330
46,388942547
47,1863268171
48,2055098585
49,2058616
50,2128855261
51,279297158
52,2143985449
53,698176020
54,630722423
55,2080397916
56,957543608
57,738867743
58,1224730345
59,692151419
60,63445529
61,282273095
62,5093320195
63,556469931
64,445789300
65,1306913040
66,395387919
67,268005350
68,482000749
69,1179001292
70,1304767958
71,523906610
72,1254765304
73,2109142388
74,279763508
75,1544136214
76,2145431989
77,2089995001
78,690728394
79,802314253
80,1525639750
81,1230421796
82,946730582
83,2146007936
84,1314783113
85,247786014
86,1212263007
87,1889914753
88,5062859821
89,432184911
90,436294034
91,2123568595
92,184960439
93,1953034279
94,5097115863
95,190682718
96,1035156532
97,298552117
98,322249374
99,1276203341
100,2066516850
101,1908497562
102,2045192328
103,2144627614
104,1323114146
105,202738934
106,133699592
107,538507591
108,5006572278
109,366052369
110,1005594640
111,199231711
112,1936687856
113,592391617
114,145347160
115,2114682518
116,727092146
117,1364524938
118,573888762
119,334596431
120,580130061
121,937390897
122,694611773
123,694887817
124,2123570996
125,1153299253
126,802288530
127,985961747
128,1415529430
129,2112819853
130,269423705
131,357011102
132,914604355
133,1284329670
134,747267779
135,1385338327
136,507870188
137,604202480
138,1506793015
139,352792887
140,927800987
141,94638325
142,1770776685
143,767610558
144,407575728
145,1145359176
146,1944030722
147,551316026
148,1240446866
149,1883652161
150,179847597
151,1064283897
152,232282882
153,571275450
154,48724485
155,673586351
156,559248021
157,2131190666
158,706553514
159,757906339
160,1299468493
161,233601088
162,29503691
163,1086043658
164,617568216
165,891999531
166,1028780533
167,873992744
168,1630728501
169,2118597066
170,347330299
171,2115610208
172,1095491263
173,443061286
174,409714222
175,208525704
176,787588380
177,1237313710
178,2104392071
179,1908394421
180,1132842894
181,765587623
182,190987356
183,500947574
184,engine3
185,engine2
186,engine7
187,DiegoNeural
188,ElsaNeural
189,IsabellaNeural
190,IT_Wavenet_B
191,IT_Wavenet_C
192,IT_Wavenet_D
193,IT_Wavenet_A
194,IT_Standard_D
195,IT_Standard_A
196,IT_Standard_B
197,IT_Standard_C
198,vittorio
199,chiara
200,fabiana
201,Bianca
202,Carla
203,Giorgio
204,0c40e715
205,0ea0e2f4
206,105a0eea
207,1528225c
208,1b4c9b89
209,20d3f11f
210,2796ac50
211,283d7a53
212,2c6d3924
213,2d82a556
214,370844f7
215,37dca74f
216,3df9a3d4
217,3f2b358d
218,3ff840aa
219,422d3197
220,4290ca61
221,43fc47a7
222,44260689
223,4620dc14
224,47d01978
225,4845bb10
226,4c4d2526
227,4c7c95de
228,4c841771
229,50033893
230,553f1a79
231,563aa4e6
232,5744b6a7
233,5828dfa2
234,587f3271
235,5b1db3ee
236,5c8af87a
237,5e3dde6b
238,5ff3f9a1
239,6021f08b
240,62ff07ef
241,653a48f5
242,67961766
243,68dd409e
244,692a88e6
245,6b889021
246,6e916de8
247,6f2f57c1
248,7192fddc
249,7257420c
250,782c1305
251,7add4c5f
252,7dc95912
253,7e1054e7
254,80c45ed6
255,81dc4a94
256,82b99576
257,84d1e469
258,863880b7
259,881583a6
260,8c7f81df
261,8ec6dab6
262,91223b83
263,94de6a6a
264,964e8cfd
265,97f4c236
266,9a356ab9
267,9a69672b
268,9a7c1f83
269,9b3ea809
270,9dc1889e
271,9e2ce5e3
272,a2473d62
273,a4e8a997
274,a60a09cf
275,a8e25ebb
276,aa233654
277,aa48c94a
278,adebe223
279,af7a8296
280,b1f8326d
281,b49caed3
282,b83c1acf
283,b97c9f77
284,bb31b82b
285,bed06fac
286,c0e0f834
287,c22d3f18
288,c518d1b1
289,c7124b73
290,cc592808
291,cd85758f
292,cfde27ba
293,d0faf7e4
294,d103dd6e
295,d1a4fb3f
296,d5ca80c6
297,d7467392
298,d9e9f554
299,e1469561
300,e41a903b
301,e71b4ce6
302,ef2a3cfb
303,f0ae7203
304,f264e0df
305,f292725f
306,f297e878
307,f6af2457
308,fa446c16
309,fce96bac
310,fe1916ba
311,ffb86d3c
312,096456f9
313,0f250098
314,0fa1e7a9
315,1f3bece8
316,1f653d27
317,24ad3ebe
318,26b28ea7
319,27c30960
320,2fa39636
321,37fc5d97
322,412c675c
323,42beb5eb
324,44715c1c
325,48a8a69d
326,6736bc64
327,6f689791
328,798f702a
329,7bae88ed
330,83957201
331,85834399
332,8625475c
333,8a325749
334,8fe52b97
335,af130f12
336,b11a05d2
337,ca48dc76
338,caedb73a
339,caf9fceb
340,f428ca69
341,f5496439
342,135c6841
343,1fe4c891
344,2aa787cf
345,3efef882
346,840c366d
347,90b94017
348,95ba4996
349,a1533da4
350,aef8dcf5
351,b737ee80
352,daf230ac
353,3c165869
354,a591c2ea
355,af405b69
356,d91a159e
357,dc75148d
358,5f814c23
359,026290a7
360,060cd039
361,099d52ad
362,0e17f595
363,105e72bb
364,1657c9fa
365,16db1582
366,171b56dc
367,1942abd7
368,1a9afd33
369,1aed7c6d
370,1bc45db9
371,23ad12d8
372,257e17e0
373,264f471d
374,27b9a84f
375,2a89ad5c
376,2ce7534c
377,3903b558
378,3aa6f4e2
379,3ca784ec
380,409c962a
381,439c84f4
382,44bc77f7
383,44c201dd
384,471a0925
385,4abefdf5
386,50ed8a7b
387,52bfbce8
388,52e228e9
389,538e1856
390,541120c7
391,56eb74ae
392,57cb3575
393,591d32f3
394,5fadb538
395,605ed0ff
396,6071a214
397,61bcb275
398,65ec06e5
399,66774579
400,66cff190
401,67c7fecb
402,6c0f6493
403,6d818f6c
404,7be5a0f3
405,7c1d8533
406,7eee5973
407,7fd25f7c
408,826268f8
409,8335f893
410,8523766b
411,86402da1
412,8a5acefd
413,8b775397
414,962f27eb
415,96c67073
416,989a2213
417,9db2bfe9
418,a6d586b7
419,a7dd45cf
420,a8cf01bc
421,a9f38bae
422,ab00c4b2
423,ab7b5acd
424,ad63d93c
425,b00dff7e
426,b0c0197e
427,b1426003
428,b41a92a3
429,b487da60
430,b6ebe225
431,b7a6f709
432,bca56796
433,bdee441c
434,c099668c
435,c24d96eb
436,c256377f
437,c4cfbe43
438,c4e1f6e0
439,c50225fa
440,c6ee87a7
441,c90c0105
442,cab100c9
443,ccea893d
444,d197e3ae
445,d57febf0
446,d9462202
447,d9ae8983
448,da7689f1
449,db9d52d2
450,dbb40d24
451,dca2797e
452,dd086776
453,e14a99a5
454,e54a0f16
455,e6db3894
456,e6e29c47
457,e8c3c5ca
458,e95c70e2
459,eee9b9e2
460,f17be97f
461,f34e6f44
462,f3cee168
463,f5e5e8b0
464,f84762e5
465,fa7895de
466,fc94edb0
467,fd32732a
468,fde2dee7
469,1816b768
470,2296b1af
471,258f4559
472,29b81b73
473,2e0d80f7
474,3bdf05d3
475,3e2ba5f7
476,41285056
477,48bfde8e
478,53d5b86f
479,6d0ad764
480,7ca023e2
481,88f8a99c
482,8910e5ef
483,9cde5de8
484,9d32f10a
485,bc196f81
486,c2d15ea5
487,e63b69c5
488,f2dd248e
489,22aa3665
490,62641b88
491,7117fb6d
492,7195ffa6
493,d874a786
494,db43cd03
495,10f2bb12
496,6940f7f3
497,dbaf8fc6
498,e8e960fd
499,ec74a8a5
500,d55aa56c
501,ec21c46b
