speaker,count
185,248
405,97
293,95
268,92
433,92
450,92
244,91
263,90
440,90
381,90
215,90
287,90
208,90
384,90
391,90
291,90
402,90
361,90
237,90
282,89
460,88
264,88
451,88
407,88
418,88
444,88
394,88
283,88
231,88
373,88
281,88
265,87
299,86
300,86
236,86
424,86
267,86
454,82
417,65
186,50
217,49
184,46
78,28
35,28
107,28
30,28
82,28
71,28
53,28
202,27
195,27
414,26
85,26
276,26
337,26
75,26
388,26
403,26
401,26
346,26
140,26
139,26
363,26
153,26
366,26
121,26
286,26
339,26
378,26
116,26
380,26
386,26
97,26
397,26
301,26
343,26
472,26
449,26
249,26
484,26
266,26
39,26
498,26
223,26
225,26
29,26
323,26
489,26
262,26
228,26
255,26
24,26
23,26
261,26
476,26
230,26
232,26
313,26
452,26
269,26
428,26
150,26
423,26
72,26
70,26
69,26
327,26
67,26
426,26
447,26
64,26
14,26
61,26
2,26
435,26
216,26
441,26
54,26
442,26
445,26
187,25
190,25
151,25
1,25
133,25
132,25
191,25
189,25
84,25
101,25
196,25
197,25
18,25
169,25
117,25
115,25
77,25
60,25
194,25
28,25
201,25
100,25
37,25
203,25
309,24
297,24
312,24
295,24
311,24
304,24
251,24
294,24
272,24
248,24
252,24
254,24
257,24
259,24
271,24
273,24
289,24
277,24
278,24
279,24
284,24
285,24
288,24
314,24
375,24
316,24
468,24
465,24
463,24
458,24
456,24
455,24
448,24
438,24
437,24
427,24
425,24
420,24
419,24
415,24
412,24
408,24
467,24
469,24
404,24
473,24
500,24
499,24
496,24
495,24
493,24
490,24
488,24
486,24
485,24
482,24
481,24
480,24
478,24
475,24
474,24
406,24
396,24
317,24
355,24
353,24
348,24
347,24
345,24
344,24
341,24
338,24
336,24
335,24
332,24
330,24
326,24
324,24
322,24
318,24
354,24
357,24
393,24
358,24
392,24
390,24
387,24
385,24
382,24
377,24
376,24
372,24
370,24
369,24
368,24
367,24
365,24
364,24
360,24
245,24
501,24
243,24
219,24
46,24
212,24
210,24
209,24
207,24
206,24
205,24
204,24
160,24
181,24
95,24
108,24
109,24
119,24
174,24
120,24
126,24
168,24
164,24
45,24
63,24
220,24
226,24
4,24
241,24
6,24
17,24
22,24
36,24
227,24
235,24
224,24
221,24
49,23
5,23
114,23
15,23
12,23
38,23
122,23
124,23
125,23
129,23
130,23
105,23
131,23
136,23
137,23
138,23
141,23
43,23
144,23
145,23
149,23
155,23
19,23
104,23
48,23
79,23
50,23
34,23
33,23
26,23
51,23
56,23
57,23
47,23
66,23
76,23
86,23
103,23
87,23
88,23
21,23
90,23
91,23
94,23
41,23
96,23
98,23
99,23
159,23
0,23
175,23
193,23
182,23
200,23
192,23
171,23
161,23
199,23
183,23
188,23
436,22
432,22
434,22
329,22
198,22
439,22
430,22
55,22
443,22
280,22
431,22
422,22
429,22
211,22
421,22
290,22
81,22
331,22
413,22
292,22
411,22
410,22
409,22
89,22
446,22
275,22
400,22
258,22
247,22
242,22
497,22
250,22
494,22
492,22
491,22
487,22
483,22
253,22
479,22
477,22
256,22
234,22
470,22
274,22
233,22
466,22
260,22
464,22
229,22
462,22
461,22
459,22
457,22
218,22
270,22
453,22
214,22
213,22
298,22
416,22
399,22
383,22
307,22
379,22
118,22
308,22
325,22
349,22
374,22
246,22
350,22
371,22
351,22
352,22
315,22
165,22
356,22
134,22
362,22
321,22
319,22
320,22
359,22
303,22
306,22
302,22
389,22
334,22
395,22
333,22
305,22
110,22
340,22
328,22
154,22
40,21
158,21
7,21
157,21
142,21
143,21
3,21
13,21
156,21
16,21
9,21
32,21
31,21
163,21
10,21
11,21
146,21
148,21
20,21
147,21
135,21
42,21
296,21
80,21
111,21
178,21
73,21
44,21
68,21
112,21
65,21
113,21
180,21
102,21
62,21
176,21
92,21
173,21
58,21
172,21
93,21
170,21
127,21
128,21
166,21
179,21
239,20
398,20
240,20
310,20
222,20
342,20
471,20
238,20
177,19
8,19
162,19
83,19
74,19
152,19
27,19
59,19
52,19
167,19
123,19
106,17
25,17
