,0
0,769426504
1,rod
2,peter
3,ryan
4,7add4c5f
5,7dc95912
6,7e1054e7
7,80c45ed6
8,81dc4a94
9,82b99576
10,84d1e469
11,863880b7
12,881583a6
13,8c7f81df
14,8ec6dab6
15,91223b83
16,9a356ab9
17,9b3ea809
18,9dc1889e
19,9e2ce5e3
20,a2473d62
21,a4e8a997
22,a60a09cf
23,af7a8296
24,b1f8326d
25,bb31b82b
26,bed06fac
27,c0e0f834
28,e71b4ce6
29,ef2a3cfb
30,f0ae7203
31,f264e0df
32,f292725f
33,f297e878
34,f6af2457
35,fa446c16
36,fce96bac
37,fe1916ba
38,ffb86d3c
39,798f702a
40,83957201
41,85834399
42,8625475c
43,8a325749
44,8fe52b97
45,af130f12
46,b11a05d2
47,f428ca69
48,f5496439
49,840c366d
50,90b94017
51,95ba4996
52,a1533da4
53,aef8dcf5
54,b737ee80
55,a591c2ea
56,af405b69
57,060cd039
58,7be5a0f3
59,7eee5973
60,826268f8
61,8335f893
62,8523766b
63,86402da1
64,8a5acefd
65,8b775397
66,962f27eb
67,96c67073
68,989a2213
69,a7dd45cf
70,b00dff7e
71,b0c0197e
72,b1426003
73,b41a92a3
74,b487da60
75,b6ebe225
76,b7a6f709
77,bca56796
78,db9d52d2
79,e8c3c5ca
80,e95c70e2
81,eee9b9e2
82,f34e6f44
83,f3cee168
84,f5e5e8b0
85,f84762e5
86,fa7895de
87,fc94edb0
88,fd32732a
89,fde2dee7
90,7ca023e2
91,88f8a99c
92,8910e5ef
93,9cde5de8
94,9d32f10a
95,bc196f81
96,f2dd248e
97,e8e960fd
98,ec74a8a5
99,ec21c46b
