,0
0,1609876882
1,1785329822
2,445686566
3,1069744512
4,950255171
5,323966352
6,1202998179
7,911154958
8,2125472936
9,899529674
10,142490997
11,2129470480
12,1430746625
13,779117346
14,134001349
15,1780966140
16,1483207948
17,238808563
18,719438104
19,2144090201
20,466977274
21,492297965
22,267561261
23,1863268171
24,2055098585
25,924061663
26,2058616
27,2128855261
28,279297158
29,2143985449
30,957543608
31,738867743
32,1224730345
33,692151419
34,696351228
35,1306913040
36,395387919
37,2109142388
38,279763508
39,2145431989
40,802314253
41,1525639750
42,1230421796
43,2146007936
44,1314783113
45,1889914753
46,184960439
47,1953034279
48,5097115863
49,2066516850
50,2045192328
51,2144627614
52,202738934
53,133699592
54,2025799315
55,199231711
56,1936687856
57,592391617
58,145347160
59,573888762
60,694611773
61,694887817
62,2123570996
63,985961747
64,1415529430
65,269423705
66,357011102
67,1385338327
68,604202480
69,1506793015
70,94638325
71,1770776685
72,407575728
73,1145359176
74,1944030722
75,551316026
76,1240446866
77,1883652161
78,1064283897
79,232282882
80,673586351
81,2131190666
82,706553514
83,757906339
84,233601088
85,29503691
86,1086043658
87,1028780533
88,873992744
89,1630728501
90,347330299
91,2115610208
92,1095491263
93,787588380
94,1237313710
95,2104392071
96,1908394421
97,1132842894
98,190987356
99,chiara
