path,type,subtype,speaker,command,noise_path,noise_type,noise_subtype,snr
./synthetics/azure/neural/eng/JamesNeural_27.wav,synthetic,azure_neural,JamesNeural,27,,,,
./commands/279763508/eng/eng_13.wav,command,telegram_bot,279763508,13,,,,
./synthetics/azure/neural/eng/CoraNeural_12.wav,synthetic,azure_neural,CoraNeural,12,,,,
./commands/2055098585/eng/eng_8.wav,command,telegram_bot,2055098585,8,,,,
./synthetics/vocalware/neural/eng/engine2_voice4_cmd24.wav,synthetic,vocalware_neural,engine2,24,,,,
./synthetics/google/standard/eng/GB_Wavenet_C_cmd7.wav,synthetic,google_standard,GB_Wavenet_C,7,,,,
./commands/365307573/eng/eng_19.wav,command,telegram_bot,365307573,19,,,,
./synthetics/google/standard/eng/GB_Wavenet_D_cmd18.wav,synthetic,google_standard,GB_Wavenet_D,18,,,,
./commands/222556755/eng/eng_1.wav,command,telegram_bot,222556755,1,,,,
./synthetics/vocalware/neural/eng/engine2_voice4_cmd20.wav,synthetic,vocalware_neural,engine2,20,,,,
./commands/2126502572/eng/eng_1.wav,command,telegram_bot,2126502572,1,,,,
./commands/2114791016/eng/eng_11.wav,command,telegram_bot,2114791016,11,,,,
./commands/523906610/eng/eng_20.wav,command,telegram_bot,523906610,20,,,,
./commands/1095491263/eng/eng_24.wav,command,telegram_bot,1095491263,24,,,,
./synthetics/google/neural/eng/GB_Standard_C_cmd6.wav,synthetic,google_neural,GB_Standard_C,6,,,,
./commands/589084963/eng/eng_24.wav,command,telegram_bot,589084963,24,,,,
./commands/184960439/eng/eng_23.wav,command,telegram_bot,184960439,23,,,,
./synthetics/polly/standard/eng/Justin_17.wav,synthetic,polly_standard,Justin,17,,,,
./synthetics/google/standard/eng/IN_Wavenet_B_cmd17.wav,synthetic,google_standard,IN_Wavenet_B,17,,,,
./synthetics/polly/standard/eng/Geraint_22.wav,synthetic,polly_standard,Geraint,22,,,,
./synthetics/polly/neural/eng/Joanna_7.wav,synthetic,polly_neural,Joanna,7,,,,
