,ita
Più luce,0
Meno luce,0
Più alto,0
Più basso,0
Più inclinato,0
Meno inclinato,0
Portami l'avvitatore elettrico,0
Prendi l'avvitatore elettrico,0
Portami l'avvitatore a gomito,0
Prendi l'avvitatore a gomito,0
Portami il martello,0
Prendi il martello,0
Portami il cacciavite,0
Prendi il cacciavite,0
Portami la leva,0
Prendi la leva,0
Portami la mostrina comandi,0
Prendi la mostrina comandi,0
Portami lo specchietto retrovisore,0
Prendi lo specchietto retrovisore,0
Rilascia,0
Vieni,0
Libero,0
Start,0
Stop,0
Vai a destra,0
Vai a sinistra,0
Vai su,0
Vai giù,0
Vai avanti,0
Vai indietro,0
