,eng
Increase the illumination,51
Decrease the illumination,51
Increase the height,51
Decrease the height,51
Increase the inclination,51
Decrease the inclination,51
Bring me the gun screwdriver,51
Take the gun screwdriver,51
Bring me the elbow screwdriver,51
Take the elbow screwdriver,51
Bring me the hammer,51
Take the hammer,51
Bring me the screwdriver,51
Take the screwdriver,51
Bring me the lever,51
Take the lever,51
Bring me the windows control panel,51
Take the windows control panel,51
Bring me the rearview mirror,51
Take the rearview mirror,51
Release,51
Come here,51
Go,51
Start,51
Stop,51
Move to the right,51
Move to the left,51
Move up,51
Move down,51
Move forward,51
Move backward,51
