,ita
Più luce,8
Meno luce,8
Più alto,8
Più basso,8
Più inclinato,8
Meno inclinato,8
Portami l'avvitatore elettrico,8
Prendi l'avvitatore elettrico,8
Portami l'avvitatore a gomito,8
Prendi l'avvitatore a gomito,8
Portami il martello,8
Prendi il martello,8
Portami il cacciavite,8
Prendi il cacciavite,8
Portami la leva,8
Prendi la leva,8
Portami la mostrina comandi,8
Prendi la mostrina comandi,8
Portami lo specchietto retrovisore,8
Prendi lo specchietto retrovisore,8
Rilascia,8
Vieni,8
Libero,8
Start,8
Stop,8
Vai a destra,8
Vai a sinistra,8
Vai su,8
Vai giù,8
Vai avanti,8
Vai indietro,8
