,eng
Increase the illumination,25
Decrease the illumination,25
Increase the height,25
Decrease the height,25
Increase the inclination,26
Decrease the inclination,26
Bring me the gun screwdriver,26
Take the gun screwdriver,26
Bring me the elbow screwdriver,26
Take the elbow screwdriver,26
Bring me the hammer,26
Take the hammer,26
Bring me the screwdriver,26
Take the screwdriver,26
Bring me the lever,26
Take the lever,26
Bring me the windows control panel,26
Take the windows control panel,26
Bring me the rearview mirror,26
Take the rearview mirror,26
Release,26
Come here,26
Go,26
Start,26
Stop,26
Move to the right,26
Move to the left,26
Move up,26
Move down,26
Move forward,25
Move backward,25
