path,type,subtype,speaker,intent,explicit,implicit
common_voice_en_19182167.wav,reject,mozilla,unknown,23,70,0
common_voice_en_21023153.wav,reject,mozilla,unknown,23,70,0
common_voice_en_20730235.wav,reject,mozilla,unknown,23,70,0
common_voice_en_19699680.wav,reject,mozilla,unknown,23,70,0
common_voice_en_23370119.wav,reject,mozilla,unknown,23,70,0
common_voice_en_19848031.wav,reject,mozilla,unknown,23,70,0
common_voice_en_21783129.wav,reject,mozilla,unknown,23,70,0
common_voice_en_19238911.wav,reject,mozilla,unknown,23,70,0
common_voice_en_23371091.wav,reject,mozilla,unknown,23,70,0
common_voice_en_21781834.wav,reject,mozilla,unknown,23,70,0
common_voice_en_23681143.wav,reject,mozilla,unknown,23,70,0
common_voice_en_19975280.wav,reject,mozilla,unknown,23,70,0
common_voice_en_19961008.wav,reject,mozilla,unknown,23,70,0
common_voice_en_23342771.wav,reject,mozilla,unknown,23,70,0
common_voice_en_18623642.wav,reject,mozilla,unknown,23,70,0
common_voice_en_19680504.wav,reject,mozilla,unknown,23,70,0
common_voice_en_20629183.wav,reject,mozilla,unknown,23,70,0
common_voice_en_20312408.wav,reject,mozilla,unknown,23,70,0
common_voice_en_18697857.wav,reject,mozilla,unknown,23,70,0
common_voice_en_19663941.wav,reject,mozilla,unknown,23,70,0
common_voice_en_21650665.wav,reject,mozilla,unknown,23,70,0
common_voice_en_20039700.wav,reject,mozilla,unknown,23,70,0
common_voice_en_19472002.wav,reject,mozilla,unknown,23,70,0
common_voice_en_21381659.wav,reject,mozilla,unknown,23,70,0
common_voice_en_21433424.wav,reject,mozilla,unknown,23,70,0
common_voice_en_18314946.wav,reject,mozilla,unknown,23,70,0
common_voice_en_19051569.wav,reject,mozilla,unknown,23,70,0
common_voice_en_18556340.wav,reject,mozilla,unknown,23,70,0
common_voice_en_19476877.wav,reject,mozilla,unknown,23,70,0
common_voice_en_19686448.wav,reject,mozilla,unknown,23,70,0
common_voice_en_18485044.wav,reject,mozilla,unknown,23,70,0
common_voice_en_21300786.wav,reject,mozilla,unknown,23,70,0
common_voice_en_19693294.wav,reject,mozilla,unknown,23,70,0
common_voice_en_20791655.wav,reject,mozilla,unknown,23,70,0
common_voice_en_21765609.wav,reject,mozilla,unknown,23,70,0
common_voice_en_19182180.wav,reject,mozilla,unknown,23,70,0
common_voice_en_19287998.wav,reject,mozilla,unknown,23,70,0
common_voice_en_19294199.wav,reject,mozilla,unknown,23,70,0
common_voice_en_22944767.wav,reject,mozilla,unknown,23,70,0
common_voice_en_20602241.wav,reject,mozilla,unknown,23,70,0
common_voice_en_19964439.wav,reject,mozilla,unknown,23,70,0
common_voice_en_18490057.wav,reject,mozilla,unknown,23,70,0
common_voice_en_20511393.wav,reject,mozilla,unknown,23,70,0
common_voice_en_20182106.wav,reject,mozilla,unknown,23,70,0
common_voice_en_19991360.wav,reject,mozilla,unknown,23,70,0
common_voice_en_18695960.wav,reject,mozilla,unknown,23,70,0
common_voice_en_17781157.wav,reject,mozilla,unknown,23,70,0
common_voice_en_19754533.wav,reject,mozilla,unknown,23,70,0
common_voice_en_19759368.wav,reject,mozilla,unknown,23,70,0
common_voice_en_18944731.wav,reject,mozilla,unknown,23,70,0
common_voice_en_19646870.wav,reject,mozilla,unknown,23,70,0
common_voice_en_19713765.wav,reject,mozilla,unknown,23,70,0
common_voice_en_19737397.wav,reject,mozilla,unknown,23,70,0
